"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Jude Bellingham","Real Madrid","ENG","MF",NA,20,42,34,80.952380952381,36,36,33.3,55,5,50,21,17,0
"Fran Beltrán","Celta Vigo","ESP","MF",NA,24,56,32,57.1428571428571,63,63,38.1,28,2,26,18,34,0
"Carlos Benavídez","Alavés","URU","MF",NA,25,56,35,62.5,34,34,55.9,13,5,8,19,31,0
"Yuri Berchiche","Athletic Club","ESP","DF",NA,33,33,25,75.7575757575758,33,33,57.6,28,9,19,20,62,0
"Álex Berenguer","Athletic Club","ESP","FW",NA,28,23,14,60.8695652173913,24,24,29.2,23,0,23,5,13,0
"Antonio Blanco","Alavés","ESP","MF",NA,23,61,36,59.016393442623,86,86,36,25,2,23,35,30,0
"Daley Blind","Girona","NED","DF",NA,33,47,21,44.6808510638298,47,47,61.7,37,19,18,21,113,0
"Lucas Boyé","Granada","ARG","FW",NA,27,50,25,50,34,34,41.2,35,5,30,10,46,0
"Darko Brašanac","Osasuna","SRB","MF",NA,31,1,0,0,1,1,100,1,0,1,0,0,0
"Brau","Granada","ESP","DF",NA,21,1,0,0,1,1,100,0,0,0,0,2,0
"Claudio Bravo","Betis","CHI","GK",NA,40,0,0,NA,1,1,0,0,0,0,0,2,0
"Ben Brereton","Villarreal","CHI","FW","MF",24,2,2,100,2,2,0,0,0,0,0,0,0
"Ante Budimir","Osasuna","CRO","FW",NA,32,21,15,71.4285714285714,14,14,35.7,19,5,14,5,18,0
"Manu Bueno","Sevilla","ESP","MF",NA,19,4,2,50,3,3,100,3,0,3,0,1,0
"Pablo Busto","Betis","ESP","DF",NA,17,1,1,100,1,1,100,0,0,0,1,3,0
"José Callejón","Granada","ESP","MF","FW",36,13,6,46.1538461538462,22,22,36.4,7,1,6,5,10,0
"Eduardo Camavinga","Real Madrid","FRA","MF","DF",20,76,47,61.8421052631579,39,39,59,36,8,28,29,29,1
"Sergio Camello","Rayo Vallecano","ESP","FW",NA,22,16,5,31.25,15,15,40,10,2,8,3,15,0
"José Campaña","Las Palmas","ESP","MF",NA,30,2,2,100,2,2,0,3,2,1,2,3,0
"João Cancelo","Barcelona","POR","DF",NA,29,64,44,68.75,58,58,65.5,35,6,29,29,59,1
"Sergi Canós","Valencia","ESP","MF","FW",26,23,13,56.5217391304348,24,24,41.7,14,2,12,11,9,0
"Étienne Capoue","Villarreal","FRA","MF",NA,35,32,18,56.25,22,22,68.2,20,4,16,22,24,1
"Isaac Carcelen","Cádiz","ESP","DF",NA,30,50,31,62,45,45,55.6,24,7,17,27,87,2
"Marc Cardona","Las Palmas","ESP","FW",NA,28,9,8,88.8888888888889,12,12,8.3,5,0,5,2,7,0
"Sergi Cardona","Las Palmas","ESP","DF",NA,24,90,55,61.1111111111111,96,96,57.3,45,7,38,46,102,0
"Johnny Cardoso","Betis","USA","MF",NA,21,48,29,60.4166666666667,33,33,66.7,20,5,15,32,31,0
"Carmona","Getafe","ESP","DF","MF",21,30,21,70,28,28,32.1,15,2,13,21,25,0
"Yannick Carrasco","Atlético Madrid","BEL","DF",NA,29,4,4,100,7,7,28.6,2,0,2,1,6,0
"Álvaro Carreras","Granada","ESP","MF","FW",20,13,8,61.5384615384615,11,11,45.5,5,1,4,7,9,1
"Dani Carvajal","Real Madrid","ESP","DF",NA,31,47,32,68.0851063829787,42,42,54.8,28,9,19,22,54,4
"William Carvalho","Betis","POR","MF",NA,31,20,12,60,16,16,62.5,8,1,7,8,9,1
"Marc Casado","Barcelona","ESP","MF",NA,19,1,1,100,1,1,100,0,0,0,1,2,0
"Catena","Osasuna","ESP","DF",NA,28,33,18,54.5454545454545,35,35,54.3,24,15,9,15,119,3
"Dani Ceballos","Real Madrid","ESP","MF","FW",26,10,5,50,14,14,35.7,9,2,7,0,4,1
"Álex Centelles","Almería","ESP","DF",NA,25,11,6,54.5454545454545,18,18,44.4,5,2,3,18,29,0
"Franco Cervi","Celta Vigo","ARG","MF","DF",29,24,18,75,24,24,54.2,16,0,16,9,4,0
"Pep Chavarría","Rayo Vallecano","ESP","DF","MF",25,23,18,78.2608695652174,17,17,64.7,15,3,12,6,29,1
"Andreas Christensen","Barcelona","DEN","DF","MF",27,23,14,60.8695652173913,28,28,57.1,23,10,13,21,41,0
"Chumi","Almería","ESP","DF",NA,24,34,22,64.7058823529412,26,26,61.5,38,23,15,14,107,3
"Víctor Chust","Cádiz","ESP","DF",NA,23,29,18,62.0689655172414,32,32,56.3,27,21,6,11,92,1
"Pathé Ciss","Rayo Vallecano","SEN","MF",NA,29,44,24,54.5454545454545,29,29,55.2,27,10,17,30,54,0
"Silvi Clúa","Girona","ESP","MF",NA,18,2,0,0,2,2,100,1,0,1,0,0,0
"Saúl Coco","Las Palmas","EQG","DF",NA,24,32,19,59.375,18,18,61.1,27,15,12,20,120,3
"Santi Comesaña","Villarreal","ESP","MF",NA,26,44,26,59.0909090909091,38,38,50,33,9,24,22,27,1
"Copete","Mallorca","ESP","DF",NA,23,45,27,60,43,43,69.8,12,6,6,32,47,1
"Francis Coquelin","Villarreal","FRA","MF",NA,32,20,12,60,13,13,38.5,14,4,10,16,15,0
"Theo Corbeanu","Granada","CAN","MF","FW",21,5,2,40,3,3,33.3,3,0,3,3,2,0
"Ángel Correa","Atlético Madrid","ARG","FW","MF",28,22,15,68.1818181818182,17,17,29.4,13,0,13,2,6,0
"Thierry Correia","Valencia","POR","DF",NA,24,63,35,55.5555555555556,49,49,57.1,39,16,23,33,61,0
"Jaume Costa","Mallorca","ESP","DF",NA,35,38,22,57.8947368421053,29,29,62.1,14,4,10,16,35,0
"Samu Costa","Mallorca","POR","MF",NA,22,91,50,54.9450549450549,93,93,49.5,28,14,14,39,59,3
"Yan Couto","Girona","BRA","DF","FW",21,45,34,75.5555555555556,40,40,50,14,2,12,10,31,1
"Crespo","Rayo Vallecano","POR","MF",NA,26,16,9,56.25,17,17,52.9,15,6,9,10,7,0
"Juan Cruz Armada","Osasuna","ESP","DF",NA,31,27,15,55.5555555555556,25,25,68,14,7,7,12,39,1
"Juan Cruz","Betis","ESP","FW",NA,23,0,0,NA,1,1,0,0,0,0,0,0,0
"Pau Cubarsí","Barcelona","ESP","DF",NA,16,22,14,63.6363636363636,18,18,72.2,20,16,4,12,65,0
"Jorge Cuenca","Villarreal","ESP","DF",NA,23,42,29,69.047619047619,30,30,63.3,26,15,11,21,114,0
"Eric Curbelo","Las Palmas","ESP","DF","MF",29,4,3,75,4,4,75,3,1,2,2,5,1
"Sergi Darder","Mallorca","ESP","MF",NA,29,39,26,66.6666666666667,31,31,38.7,20,4,16,16,16,0
"Rodrigo De Paul","Atlético Madrid","ARG","MF",NA,29,31,21,67.741935483871,38,38,39.5,28,1,27,11,15,2
"Mouctar Diakhaby","Valencia","GUI","DF","MF",26,18,11,61.1111111111111,13,13,84.6,17,7,10,11,62,0
"Assane Diao","Betis","ESP","FW",NA,17,20,12,60,17,17,35.3,22,4,18,7,7,0
"Brahim Díaz","Real Madrid","MAR","FW","MF",23,29,19,65.5172413793103,13,13,46.2,16,1,15,5,2,0
"Víctor Díaz","Granada","ESP","DF","MF",35,5,3,60,3,3,33.3,1,0,1,1,8,0
"Famara Diedhiou","Granada","SEN","FW","MF",30,1,1,100,1,1,0,0,0,0,0,2,0
"Stole Dimitrievski","Rayo Vallecano","MKD","GK",NA,29,1,1,100,1,1,100,0,0,0,0,17,3
"Djené","Getafe","TOG","DF","MF",31,34,19,55.8823529411765,26,26,57.7,31,15,16,23,70,0
"Marko Dmitrović","Sevilla","SRB","GK",NA,31,1,1,100,2,2,50,0,0,0,1,5,0
"Carlos Dominguez","Celta Vigo","ESP","DF",NA,22,33,21,63.6363636363636,37,37,62.2,24,12,12,22,78,0
"Carlos Dotor","Celta Vigo","ESP","MF",NA,22,14,7,50,13,13,30.8,12,2,10,4,4,0
"Anastasios Douvikas","Celta Vigo","GRE","FW",NA,23,15,7,46.6666666666667,8,8,37.5,6,3,3,2,9,0
"Artem Dovbyk","Girona","UKR","FW",NA,26,4,3,75,2,2,0,8,1,7,0,17,0
"Domingos Duarte","Getafe","POR","DF",NA,28,7,4,57.1428571428571,7,7,71.4,7,5,2,8,27,0
"Rubén Duarte","Alavés","ESP","DF",NA,27,39,20,51.2820512820513,31,31,67.7,21,6,15,23,69,0
"Hugo Duro","Valencia","ESP","FW",NA,23,16,8,50,29,29,31,24,5,19,5,27,0
"Aritz Elustondo","Real Sociedad","ESP","DF",NA,29,11,7,63.6363636363636,14,14,42.9,12,10,2,7,26,0
"Adri Embarba","Almería","ESP","FW","MF",31,55,37,67.2727272727273,53,53,49.1,37,1,36,15,12,0
"Youssef En-Nesyri","Sevilla","MAR","FW",NA,26,10,7,70,10,10,0,9,1,8,7,29,1
"Gonzalo Escalante","Cádiz","ARG","MF",NA,30,39,24,61.5384615384615,55,55,36.4,23,5,18,26,33,2
"Alfonso Espino","Rayo Vallecano","URU","DF",NA,31,67,45,67.1641791044776,82,82,36.6,26,4,22,40,63,0
"Bernardo Espinosa","Girona","COL","DF",NA,34,1,1,100,1,1,100,0,0,0,0,2,0
"Abde Ezzalzouli","Barcelona","MAR","FW","MF",21,1,1,100,1,1,0,1,0,1,0,0,0
"Abde Ezzalzouli","Betis","MAR","FW",NA,21,17,14,82.3529411764706,14,14,28.6,10,0,10,5,5,0
"Radamel Falcao","Rayo Vallecano","COL","FW","DF",37,7,5,71.4285714285714,3,3,33.3,2,0,2,3,4,0
"Fali","Cádiz","ESP","DF",NA,29,41,26,63.4146341463415,36,36,58.3,38,24,14,27,120,0
"Ansu Fati","Barcelona","ESP","MF","FW",20,0,0,NA,1,1,0,0,0,0,0,0,0
"Peter Federico","Valencia","DOM","MF","FW",21,5,3,60,10,10,10,11,0,11,7,10,0
"Nabil Fekir","Betis","FRA","MF","FW",30,15,10,66.6666666666667,10,10,50,9,0,9,7,3,0
"Luiz Felipe","Betis","ITA","DF",NA,26,7,3,42.8571428571429,5,5,80,10,4,6,4,16,0
"João Félix","Barcelona","POR","FW",NA,23,22,16,72.7272727272727,22,22,36.4,14,1,13,10,11,0
"Kiko Femenía","Villarreal","ESP","DF",NA,32,35,25,71.4285714285714,34,34,55.9,21,6,15,31,45,0
"Aitor Fernández","Osasuna","ESP","GK",NA,32,0,0,NA,1,1,0,0,0,0,0,5,1
"Álex Fernández","Cádiz","ESP","MF",NA,30,19,9,47.3684210526316,22,22,50,17,5,12,15,30,0
"Carlos Fernández","Real Sociedad","ESP","FW",NA,27,11,7,63.6363636363636,2,2,0,4,0,4,0,5,0
"Raúl Fernández","Granada","ESP","GK",NA,35,0,0,NA,1,1,0,0,0,0,0,1,2
"Valery Fernández","Girona","ESP","MF","FW",23,11,9,81.8181818181818,8,8,75,6,1,5,1,4,0
"Fernando","Sevilla","BRA","MF",NA,36,9,8,88.8888888888889,9,9,55.6,2,0,2,7,9,0
"André Ferreira","Granada","POR","GK",NA,27,0,0,NA,1,1,0,0,0,0,0,9,2
"Pablo Fornals","Betis","ESP","FW","MF",27,24,16,66.6666666666667,22,22,54.5,14,0,14,22,10,2
"Héctor Fort","Barcelona","ESP","DF",NA,16,6,5,83.3333333333333,10,10,40,0,0,0,2,4,0
"Dimitri Foulquier","Valencia","FRA","DF","MF",30,39,22,56.4102564102564,26,26,69.2,10,1,9,16,49,1
"Juan Foyth","Villarreal","ARG","DF",NA,25,26,15,57.6923076923077,27,27,44.4,17,4,13,12,44,0
"Jorge de Frutos","Rayo Vallecano","ESP","FW","MF",26,19,8,42.1052631578947,22,22,31.8,12,0,12,7,18,0
"Matteo Gabbia","Villarreal","ITA","DF",NA,23,10,6,60,8,8,62.5,5,2,3,8,36,1
"Javi Galán","Atlético Madrid","ESP","DF",NA,28,5,4,80,5,5,80,1,0,1,1,3,0
"Javi Galán","Real Sociedad","ESP","DF",NA,28,38,22,57.8947368421053,30,30,50,24,1,23,14,17,1
"Iñigo Ruiz de Galarreta","Athletic Club","ESP","MF",NA,29,49,31,63.265306122449,49,49,49,18,5,13,12,17,0
"Aleix García","Girona","ESP","MF",NA,26,49,28,57.1428571428571,54,54,51.9,45,17,28,36,53,3
"Álvaro García","Rayo Vallecano","ESP","FW","MF",30,34,25,73.5294117647059,34,34,20.6,35,0,35,36,33,0
"Dani García","Athletic Club","ESP","MF",NA,33,17,11,64.7058823529412,24,24,50,9,3,6,8,11,0
"David García","Osasuna","ESP","DF",NA,29,29,18,62.0689655172414,26,26,61.5,40,19,21,18,115,2
"Eric García","Girona","ESP","DF",NA,22,55,37,67.2727272727273,49,49,69.4,36,18,18,30,79,2
"Fran Garcia","Real Madrid","ESP","DF",NA,23,25,17,68,31,31,41.9,16,3,13,19,28,1
"Gonzalo García","Real Madrid","ESP","FW","MF",19,0,0,NA,1,1,0,1,1,0,0,1,0
"Raúl García","Athletic Club","ESP","FW","MF",37,9,6,66.6666666666667,9,9,44.4,10,1,9,3,9,0
"Rubén García","Osasuna","ESP","FW","MF",30,32,18,56.25,33,33,39.4,23,3,20,12,23,0
"Santiago García","Getafe","ESP","FW",NA,21,1,0,0,1,1,100,0,0,0,0,0,0
"Unai García","Osasuna","ESP","DF",NA,31,12,9,75,10,10,50,7,1,6,8,18,0
"Yarek Gasiorowski","Valencia","ESP","DF",NA,18,22,12,54.5454545454545,19,19,68.4,15,8,7,15,50,1
"Federico Gattoni","Sevilla","ARG","DF","FW",24,1,0,0,1,1,100,0,0,0,0,1,0
"Gavi","Barcelona","ESP","MF","FW",18,39,21,53.8461538461538,36,36,50,19,3,16,8,16,1
"Paulo Gazzaniga","Girona","ARG","GK",NA,31,2,2,100,4,4,50,0,0,0,0,12,1
"David Gil","Cádiz","ESP","GK",NA,29,0,0,NA,1,1,0,0,0,0,0,3,0
"Maxi Gómez","Cádiz","URU","FW",NA,26,6,4,66.6666666666667,5,5,60,8,3,5,3,3,0
"Moi Gómez","Osasuna","ESP","MF","FW",29,30,19,63.3333333333333,24,24,37.5,15,1,14,11,22,0
"Unai Gómez","Athletic Club","ESP","MF",NA,20,12,10,83.3333333333333,10,10,50,13,2,11,2,9,0
"Édgar González","Almería","ESP","DF","MF",26,45,21,46.6666666666667,49,49,51,48,28,20,38,130,3
"Fabio González","Las Palmas","ESP","MF",NA,26,2,2,100,2,2,50,2,0,2,0,0,0
"Giovanni González","Mallorca","URU","DF",NA,28,73,45,61.6438356164384,81,81,49.4,24,3,21,31,60,2
"Urko González","Real Sociedad","ESP","MF",NA,22,4,1,25,2,2,100,1,0,1,1,6,0
"Andoni Gorosabel","Alavés","ESP","DF",NA,26,62,42,67.741935483871,75,75,50.7,24,8,16,28,69,0
"Pablo Gozalbez","Valencia","ESP","MF","FW",22,1,0,0,6,6,16.7,0,0,0,1,2,0
"Mason Greenwood","Getafe","ENG","MF","FW",21,11,6,54.5454545454545,21,21,19,9,0,9,4,4,0
"Antoine Griezmann","Atlético Madrid","FRA","FW","MF",32,33,19,57.5757575757576,41,41,36.6,34,3,31,10,23,1
"Vicente Guaita","Celta Vigo","ESP","GK",NA,36,1,1,100,2,2,50,0,0,0,0,9,1
"Andrés Guardado","Betis","MEX","MF",NA,36,17,12,70.5882352941177,14,14,50,4,2,2,6,5,0
"Sergi Guardiola","Cádiz","ESP","FW","MF",32,10,7,70,9,9,44.4,10,0,10,0,4,0
"Nemanja Gudelj","Sevilla","SRB","DF","MF",31,31,24,77.4193548387097,31,31,54.8,17,9,8,27,56,0
"Gonçalo Guedes","Villarreal","POR","FW","MF",26,6,4,66.6666666666667,7,7,28.6,8,0,8,2,3,0
"Javier Guerra","Valencia","ESP","MF",NA,20,54,24,44.4444444444444,58,58,37.9,27,7,20,18,44,0
"Ander Guevara","Alavés","ESP","MF",NA,26,59,32,54.2372881355932,64,64,48.4,34,12,22,13,46,1
"Hugo Guillamón","Valencia","ESP","MF",NA,23,24,15,62.5,17,17,64.7,8,3,5,12,25,2
"Arda Güler","Real Madrid","TUR","FW","MF",18,6,4,66.6666666666667,8,8,62.5,0,0,0,2,5,0
"Gerard Gumbau","Granada","ESP","MF",NA,28,55,34,61.8181818181818,62,62,37.1,24,5,19,25,30,2
"İlkay Gündoğan","Barcelona","GER","MF",NA,32,32,22,68.75,39,39,30.8,19,4,15,21,18,1
"Jon Guridi","Alavés","ESP","MF",NA,28,42,24,57.1428571428571,45,45,26.7,23,3,20,22,22,0
"Gorka Guruzeta","Athletic Club","ESP","FW",NA,26,34,23,67.6470588235294,30,30,30,36,2,34,17,23,0
"Miguel Gutiérrez","Girona","ESP","DF",NA,22,29,18,62.0689655172414,35,35,37.1,27,11,16,22,66,2
"Munir El Haddadi","Las Palmas","MAR","FW",NA,27,40,27,67.5,38,38,44.7,27,1,26,11,16,0
"Ianis Hagi","Alavés","ROU","MF","FW",24,17,12,70.5882352941177,12,12,41.7,8,0,8,5,4,0
"Luiz Henrique","Betis","BRA","FW",NA,22,15,11,73.3333333333333,14,14,64.3,11,0,11,5,8,0
"Mario Hermoso","Atlético Madrid","ESP","DF",NA,28,46,25,54.3478260869565,51,51,54.9,27,9,18,30,93,0
"Javi Hernández","Cádiz","ESP","DF",NA,25,43,24,55.8139534883721,46,46,54.3,34,9,25,19,72,1
"Aridane Hernández","Rayo Vallecano","ESP","DF",NA,34,10,8,80,11,11,36.4,19,14,5,14,98,1
"Luis Hernández","Cádiz","ESP","DF",NA,34,7,3,42.8571428571429,8,8,50,3,2,1,8,25,0
"Jorge Herrando","Osasuna","ESP","DF",NA,22,29,19,65.5172413793103,19,19,63.2,20,11,9,15,69,1
"Ander Herrera","Athletic Club","ESP","MF",NA,33,44,32,72.7272727272727,36,36,55.6,16,6,10,15,18,1
"Cristian Herrera","Las Palmas","ESP","FW","MF",32,1,1,100,2,2,50,1,0,1,0,2,0
"Sergio Herrera","Osasuna","ESP","GK",NA,30,2,2,100,3,3,66.7,0,0,0,0,22,3
"Yangel Herrera","Girona","VEN","MF",NA,25,64,37,57.8125,56,56,53.6,30,8,22,24,45,1
"Juan Herzog","Las Palmas","ESP","DF",NA,20,6,5,83.3333333333333,6,6,50,4,1,3,2,17,0
"Martin Hongla","Granada","CMR","MF","DF",25,7,3,42.8571428571429,9,9,33.3,6,3,3,6,13,1
"Pablo Ibáñez","Osasuna","ESP","MF",NA,24,18,9,50,21,21,23.8,26,3,23,9,17,0
"Iglesias","Getafe","ESP","DF","FW",25,41,22,53.6585365853659,33,33,63.6,18,7,11,16,53,0
"Borja Iglesias","Betis","ESP","FW",NA,30,0,0,NA,3,3,0,0,0,0,2,2,0
"Imanol","Athletic Club","ESP","DF",NA,23,7,5,71.4285714285714,18,18,27.8,6,0,6,7,15,0
"Isco","Betis","ESP","MF",NA,31,41,27,65.8536585365854,38,38,36.8,19,1,18,10,7,0
"Adnan Januzaj","Sevilla","BEL","FW","MF",28,3,3,100,1,1,0,2,0,2,1,0,0
"Mikel Jauregizar","Athletic Club","ESP","MF",NA,19,0,0,NA,6,6,0,5,0,5,0,2,0
"Luis Javier Suárez","Almería","COL","FW",NA,25,7,5,71.4285714285714,6,6,33.3,11,0,11,0,13,0
"Frenkie de Jong","Barcelona","NED","MF",NA,26,43,26,60.4651162790698,19,19,42.1,18,8,10,14,28,1
"Joan Jordán","Sevilla","ESP","MF",NA,29,8,7,87.5,15,15,46.7,4,2,2,4,2,0
"Jordi","Getafe","ESP","MF","DF",22,16,11,68.75,15,15,46.7,7,2,5,8,7,0
"Willian José","Betis","BRA","FW",NA,31,7,3,42.8571428571429,5,5,40,8,2,6,2,15,0
"Joselu","Real Madrid","ESP","FW",NA,33,6,3,50,7,7,0,11,1,10,6,11,0
"Kamil Jóźwiak","Granada","POL","MF",NA,25,13,10,76.9230769230769,17,17,52.9,4,0,4,2,6,0
"Juanmi","Cádiz","ESP","FW",NA,30,9,4,44.4444444444444,9,9,22.2,6,0,6,6,3,0
"Juanpe","Girona","ESP","DF",NA,32,11,8,72.7272727272727,10,10,90,17,11,6,7,50,1
"Vinicius Júnior","Real Madrid","BRA","FW",NA,23,18,13,72.2222222222222,12,12,25,13,0,13,1,3,2
"Filip Jørgensen","Villarreal","DEN","GK",NA,21,3,1,33.3333333333333,4,4,75,0,0,0,2,10,3
"Sory Kaba","Las Palmas","GUI","FW",NA,28,2,0,0,5,5,0,6,0,6,0,9,0
"Kaiky","Almería","BRA","DF",NA,19,7,4,57.1428571428571,6,6,50,9,7,2,3,29,1
"Kiké","Alavés","ESP","FW","MF",33,8,4,50,9,9,44.4,16,5,11,1,12,0
"Koke","Atlético Madrid","ESP","MF",NA,31,66,44,66.6666666666667,79,79,45.6,37,12,25,16,34,1
"Ibrahima Koné","Almería","MLI","FW",NA,24,1,0,0,1,1,100,1,0,1,0,4,0
"Rominigue Kouamé","Cádiz","MLI","MF",NA,26,14,9,64.2857142857143,15,15,46.7,10,2,8,13,10,1
"Jules Koundé","Barcelona","FRA","DF",NA,24,37,23,62.1621621621622,51,51,54.9,32,12,20,25,83,5
"Toni Kroos","Real Madrid","GER","MF",NA,33,53,34,64.1509433962264,59,59,40.7,22,4,18,17,11,1
"Takefusa Kubo","Real Sociedad","JPN","FW","MF",22,26,17,65.3846153846154,23,23,39.1,21,2,19,11,8,1
"Luca de la Torre","Celta Vigo","USA","MF",NA,25,39,21,53.8461538461538,43,43,51.2,23,4,19,12,17,0
"Érik Lamela","Sevilla","ARG","FW","MF",31,21,14,66.6666666666667,15,15,66.7,12,0,12,1,5,0
"Bruno Langa","Almería","MOZ","DF",NA,25,17,12,70.5882352941177,14,14,42.9,11,4,7,4,33,2
"Cyle Larin","Mallorca","CAN","FW",NA,28,17,8,47.0588235294118,7,7,28.6,16,5,11,3,17,0
"Juanmi Latasa","Getafe","ESP","FW",NA,22,9,7,77.7777777777778,11,11,9.1,9,0,9,4,21,0
"Toni Lato","Mallorca","ESP","DF",NA,25,38,23,60.5263157894737,27,27,59.3,17,3,14,17,27,0
"Lázaro","Almería","BRA","FW","MF",21,4,1,25,8,8,25,4,0,4,1,1,0
"Robin Le Normand","Real Sociedad","ESP","DF",NA,26,31,22,70.9677419354839,30,30,56.7,26,15,11,28,96,1
"Jeremías Ledesma","Cádiz","ARG","GK",NA,30,1,1,100,4,4,25,0,0,0,0,15,3
"Florian Lejeune","Rayo Vallecano","FRA","DF",NA,32,39,25,64.1025641025641,30,30,63.3,33,18,15,23,155,1
"Iñigo Lekue","Athletic Club","ESP","DF",NA,30,40,22,55,53,53,50.9,24,6,18,15,50,0
"Thomas Lemar","Atlético Madrid","FRA","MF",NA,27,3,1,33.3333333333333,2,2,50,0,0,0,0,0,0
"Álvaro Lemos","Las Palmas","ESP","DF",NA,30,4,1,25,2,2,0,3,1,2,2,4,0
"Ruben Lendinez","Valencia","ESP","DF",NA,20,2,2,100,1,1,100,0,0,0,0,1,0
"Robert Lewandowski","Barcelona","POL","FW",NA,34,8,5,62.5,12,12,33.3,13,4,9,9,18,0
"Samuel Lino","Atlético Madrid","BRA","DF","MF",23,61,34,55.7377049180328,70,70,50,37,1,36,14,27,0
"Javier Llabrés","Mallorca","ESP","MF","FW",20,3,1,33.3333333333333,2,2,50,1,0,1,3,4,0
"Marcos Llorente","Atlético Madrid","ESP","MF","DF",28,40,23,57.5,44,44,36.4,36,11,25,14,35,0
"Enzo Loiodice","Las Palmas","FRA","MF",NA,22,62,35,56.4516129032258,42,42,47.6,20,2,18,12,16,1
"David López","Girona","ESP","DF",NA,33,33,20,60.6060606060606,22,22,77.3,28,19,9,20,63,4
"Diego López","Valencia","ESP","MF","FW",21,37,25,67.5675675675676,56,56,23.2,23,1,22,20,12,0
"Fermin López","Barcelona","ESP","MF","FW",20,41,21,51.219512195122,40,40,35,14,1,13,4,9,0
"Javi López","Alavés","ESP","DF",NA,21,23,12,52.1739130434783,26,26,57.7,25,9,16,10,77,1
"Unai López","Rayo Vallecano","ESP","MF",NA,27,48,24,50,53,53,39.6,24,3,21,16,15,2
"Dion Lopy","Almería","SEN","MF",NA,21,62,37,59.6774193548387,44,44,38.6,23,5,18,15,22,2
"Anthony Lozano","Getafe","HON","MF","FW",30,0,0,NA,1,1,0,0,0,0,0,1,0
"Anthony Lozano","Almería","HON","FW",NA,30,7,5,71.4285714285714,7,7,57.1,6,1,5,2,12,0
"Lucas","Cádiz","BRA","DF",NA,22,47,27,57.4468085106383,55,55,58.2,27,4,23,17,45,0
"José Luis Gayà","Valencia","ESP","DF",NA,28,71,36,50.7042253521127,67,67,64.2,18,3,15,11,42,0
"José Luis Morales","Villarreal","ESP","FW","MF",36,5,3,60,13,13,23.1,9,1,8,7,4,0
"Dodi Lukebakio","Sevilla","BEL","FW","MF",25,5,2,40,6,6,16.7,9,2,7,2,5,0
"Andriy Lunin","Real Madrid","UKR","GK",NA,24,0,0,NA,1,1,0,0,0,0,0,15,1
"Darwin Machís","Cádiz","VEN","MF",NA,30,23,14,60.8695652173913,24,24,54.2,8,1,7,4,2,0
"Pablo Maffeo","Mallorca","ESP","DF",NA,26,35,22,62.8571428571429,40,40,57.5,12,2,10,10,23,0
"Jon Magunacelaya","Real Sociedad","ESP","FW","MF",23,5,3,60,8,8,50,3,0,3,0,2,0
"Nemanja Maksimović","Getafe","SRB","MF",NA,28,65,43,66.1538461538462,41,41,56.1,56,23,33,46,61,0
"Giorgi Mamardashvili","Valencia","GEO","GK",NA,22,4,3,75,4,4,100,1,0,1,2,22,2
"Wilson Manafá","Granada","POR","DF","MF",29,6,4,66.6666666666667,7,7,57.1,1,0,1,1,4,1
"Reinildo Mandava","Atlético Madrid","MOZ","DF",NA,29,30,22,73.3333333333333,22,22,86.4,10,2,8,15,21,0
"Aïssa Mandi","Villarreal","ALG","DF",NA,31,13,8,61.5384615384615,14,14,50,10,7,3,8,41,0
"Javier Manquillo","Celta Vigo","ESP","DF","MF",29,15,11,73.3333333333333,15,15,53.3,14,3,11,3,17,0
"Faitout Maouassa","Granada","FRA","DF","MF",25,8,5,62.5,5,5,80,6,0,6,1,3,0
"Marcão","Sevilla","BRA","DF",NA,27,9,6,66.6666666666667,10,10,60,8,6,2,4,11,1
"Óscar de Marcos","Athletic Club","ESP","DF",NA,34,56,39,69.6428571428571,71,71,59.2,28,6,22,15,44,0
"Alberto Marí","Valencia","ESP","FW",NA,22,4,2,50,1,1,100,3,0,3,0,5,0
"José Mari","Cádiz","ESP","MF","FW",35,2,1,50,2,2,50,0,0,0,0,0,0
"José María Giménez","Atlético Madrid","URU","DF",NA,28,18,10,55.5555555555556,16,16,31.3,16,12,4,10,95,0
"Mariano","Sevilla","DOM","FW","MF",29,1,1,100,1,1,0,1,0,1,0,2,0
"Rafa Marín","Alavés","ESP","DF",NA,21,32,20,62.5,27,27,51.9,34,21,13,33,129,2
"Mika Màrmol","Las Palmas","ESP","DF",NA,21,70,42,60,53,53,66,39,19,20,44,147,2
"Roger Martí","Cádiz","ESP","FW",NA,32,12,6,50,7,7,28.6,16,1,15,7,4,0
"Iván Martín","Girona","ESP","MF",NA,24,44,25,56.8181818181818,57,57,38.6,25,3,22,21,14,0
"Mario Martín","Real Madrid","ESP","MF",NA,19,5,1,20,4,4,75,2,1,1,0,0,0
"Arnau Martinez","Girona","ESP","DF",NA,20,25,16,64,32,32,46.9,15,5,10,10,41,3
"Iñigo Martínez","Barcelona","ESP","DF",NA,32,10,7,70,8,8,75,13,10,3,11,50,0
"Marc Martínez","Granada","ESP","GK",NA,33,0,0,NA,1,1,0,0,0,0,0,1,0
"Marvin","Las Palmas","ESP","FW","DF",23,39,25,64.1025641025641,36,36,50,28,2,26,14,18,1
