"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Paco Sanz","Almería","ESP","DF",NA,18,0,0,NA,1,1,0,0,0,0,0,4,0
"Stefan Savić","Atlético Madrid","MNE","DF",NA,32,27,19,70.3703703703704,30,30,50,29,15,14,27,61,1
"Sávio","Girona","BRA","FW","MF",19,42,25,59.5238095238095,28,28,57.1,34,0,34,18,11,1
"Aleksandar Sedlar","Alavés","SRB","DF",NA,31,14,10,71.4285714285714,16,16,62.5,8,4,4,13,43,0
"André Silva","Real Sociedad","POR","FW",NA,27,2,2,100,4,4,0,3,0,3,1,3,0
"Rui Silva","Betis","POR","GK",NA,29,0,0,NA,3,3,0,0,0,0,1,13,1
"Giuliano Simeone","Alavés","ARG","FW",NA,20,7,5,71.4285714285714,17,17,29.4,10,0,10,5,3,0
"Unai Simón","Athletic Club","ESP","GK",NA,26,2,1,50,3,3,66.7,0,0,0,1,9,0
"Daley Sinkgraven","Las Palmas","NED","DF",NA,28,11,5,45.4545454545455,8,8,25,5,3,2,6,9,0
"Jailson Siqueira","Celta Vigo","BRA","DF","MF",27,27,18,66.6666666666667,24,24,54.2,13,5,8,12,32,0
"Antonio Sivera","Alavés","ESP","GK",NA,26,0,0,NA,1,1,0,0,0,0,0,17,1
"Rubén Sobrino","Cádiz","ESP","MF","FW",31,52,28,53.8461538461538,51,51,43.1,26,2,24,16,18,0
"Alex Sola","Alavés","ESP","FW","MF",24,27,15,55.5555555555556,26,26,53.8,18,2,16,11,16,0
"Jhon Solis","Girona","COL","MF",NA,18,10,8,80,12,12,33.3,8,3,5,8,7,1
"David Soria","Getafe","ESP","GK",NA,30,0,0,NA,2,2,0,0,0,0,0,21,6
"Hugo Sotelo","Celta Vigo","ESP","MF",NA,19,19,17,89.4736842105263,20,20,40,7,1,6,2,5,0
"Boubakary Soumaré","Sevilla","FRA","MF",NA,24,39,28,71.7948717948718,26,26,53.8,25,7,18,26,20,1
"Djibril Sow","Sevilla","SUI","MF",NA,26,28,21,75,25,25,36,20,3,17,17,8,1
"Carl Starfelt","Celta Vigo","SWE","DF",NA,28,36,30,83.3333333333333,28,28,67.9,35,28,7,34,159,2
"Jørgen Strand Larsen","Celta Vigo","NOR","FW",NA,23,21,11,52.3809523809524,38,38,21.1,15,1,14,5,17,0
"Cristhian Stuani","Girona","URU","FW",NA,36,14,11,78.5714285714286,7,7,57.1,9,2,7,5,13,0
"Álex Suárez","Las Palmas","ESP","DF",NA,30,53,36,67.9245283018868,37,37,83.8,33,14,19,18,84,0
"Damián Suárez","Getafe","URU","DF",NA,35,36,21,58.3333333333333,45,45,57.8,13,3,10,10,31,0
"Denis Suárez","Villarreal","ESP","MF","FW",29,0,0,NA,2,2,0,2,2,0,0,4,0
"Suso","Sevilla","ESP","MF","FW",29,24,17,70.8333333333333,28,28,28.6,9,0,9,5,4,0
"Williot Swedberg","Celta Vigo","SWE","FW","MF",19,9,4,44.4444444444444,8,8,62.5,11,1,10,0,4,0
"Alexander Sørloth","Villarreal","NOR","FW",NA,27,6,3,50,6,6,33.3,9,4,5,0,26,0
"Renato Tapia","Celta Vigo","PER","MF","DF",28,41,29,70.7317073170732,25,25,56,31,7,24,21,50,1
"Aurélien Tchouaméni","Real Madrid","FRA","MF","DF",23,38,23,60.5263157894737,18,18,50,21,13,8,28,52,1
"Nahuel Tenaglia","Alavés","ARG","DF",NA,27,29,19,65.5172413793103,28,28,57.1,14,8,6,12,59,0
"Ramón Terrats","Villarreal","ESP","MF","DF",22,17,13,76.4705882352941,15,15,46.7,11,1,10,3,9,0
"Kieran Tierney","Real Sociedad","SCO","DF",NA,26,37,24,64.8648648648649,27,27,66.7,22,8,14,10,45,0
"Raúl de Tomás","Rayo Vallecano","ESP","FW",NA,28,9,5,55.5555555555556,6,6,50,3,0,3,1,8,0
"Pablo Torre","Girona","ESP","MF","FW",20,5,2,40,10,10,40,10,2,8,4,6,1
"Raúl Torrente","Granada","ESP","DF",NA,21,29,16,55.1724137931034,22,22,77.3,16,10,6,11,68,2
"Ferrán Torres","Barcelona","ESP","FW",NA,23,9,6,66.6666666666667,16,16,31.3,7,1,6,5,6,0
"Óliver Torres","Sevilla","ESP","MF",NA,28,37,22,59.4594594594595,57,57,38.6,40,4,36,6,6,0
"Lucas Torró","Osasuna","ESP","MF",NA,29,25,15,60,28,28,39.3,10,2,8,33,37,0
"Bertrand Traoré","Villarreal","BFA","MF",NA,27,5,4,80,4,4,25,6,0,6,1,2,0
"Hamari Traoré","Real Sociedad","MLI","DF",NA,31,44,19,43.1818181818182,43,43,58.1,27,8,19,24,59,2
"Óscar Trejo","Rayo Vallecano","ARG","FW","MF",35,27,15,55.5555555555556,21,21,61.9,21,1,20,5,9,0
