"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Dylan Bronn","Metz","TUN","DF",NA,26,1995,30,2545,85,74.4,28,90,27,2,13,0.8,28,55,16154,840000
"Dylan Chambost","Troyes","FRA","MF","FW",23,1997,19,753,40,22,9,70,2,10,12,1,7,9,385,20000
"Edon Zhegrova","Lille","KVX","MF","FW",22,1999,13,481,37,14.1,5,67,1,8,18,1.08,7,8,23077,1200000
"El Bilal Touré","Reims","MLI","FW",NA,19,2001,21,1194,57,34.9,15,71,2,6,22,1.29,17,14,4808,250000
"Elba Rashani","Clermont Foot","KVX","FW","MF",28,1993,29,1759,61,51.4,22,73,4,7,21,0.97,22,31,2692,140000
"Eliot Matazo","Monaco","BEL","MF",NA,19,2002,18,790,44,23.1,8,78,3,10,16,1.89,15,9,769,40000
"Elye Wahi","Montpellier","FRA","FW",NA,18,2003,33,1786,54,52.2,21,71,5,12,24,1.18,32,25,1923,1e+05
"Emerson Palmieri","Lyon","ITA","DF",NA,26,1994,29,2264,78,66.2,26,84,19,3,31,1.59,42,39,52692,2740000
"Enock Kwateng","Bordeaux","FRA","DF",NA,24,1997,29,2002,69,58.5,22,86,17,7,17,0.9,34,53,4038,210000
"Enzo Ebosse","Angers","CMR","DF",NA,22,1999,27,1890,70,55.3,21,85,17,6,16,1,21,32,769,40000
"Enzo Le Fée","Lorient","FRA","MF","FW",21,2000,36,2194,61,64.2,25,79,10,11,20,0.92,20,41,1923,1e+05
"Erik Palmer-Brown","Troyes","USA","DF",NA,24,1997,21,1734,83,50.7,19,88,15,2,34,1,17,26,1154,60000
"Evann Guessand","Nice","CIV","FW",NA,20,2001,20,438,22,12.8,2,71,1,18,17,1.4,11,7,769,40000
"Fabien Centonze","Metz","FRA","DF",NA,25,1996,19,1586,83,46.4,18,86,17,1,45,0.84,21,34,4038,210000
"Fabien Lemoine","Lorient","FRA","MF",NA,34,1987,21,1117,53,32.7,13,79,3,8,12,0.95,14,21,11154,580000
"Fábio","Nantes","BRA","DF",NA,31,1990,27,1667,62,48.7,21,73,5,6,22,1.52,31,26,15000,780000
"Facundo Medina","Lens","ARG","DF",NA,22,1999,31,2593,84,75.8,30,86,25,1,12,1.71,48,36,2308,120000
"Falaye Sacko","Saint-Étienne","MLI","DF",NA,26,1995,9,667,74,19.5,8,80,7,1,27,1.44,10,8,2692,140000
"Farid Boulaya","Metz","ALG","MF","FW",28,1993,24,1526,64,44.6,18,75,7,6,31,0.83,16,34,13462,7e+05
"Flavien Tait","Rennes","FRA","MF",NA,28,1993,28,2125,76,62.1,24,85,14,4,21,1.71,44,23,27692,1440000
"Flavius Daniliuc","Nice","AUT","DF",NA,20,2001,24,1293,54,37.8,14,82,9,10,15,2.04,22,14,769,40000
"Florent Mollet","Montpellier","FRA","FW","MF",29,1991,35,2630,75,76.9,32,81,12,3,16,0.97,31,44,29423,1530000
"Florent Ogier","Clermont Foot","FRA","DF",NA,32,1989,30,2429,81,71,29,84,23,1,1,0.9,30,45,5385,280000
"Florian Sotoca","Lens","FRA","FW","MF",30,1990,35,2480,71,72.5,28,81,11,7,30,1.77,48,36,4615,240000
"Florian Tardieu","Troyes","FRA","MF",NA,29,1992,30,2632,88,77,29,90,29,1,22,0.9,28,39,3269,170000
"Fodé Doucouré","Reims","MLI","DF","FW",20,2001,3,154,51,4.5,1,90,1,2,32,0.33,2,4,577,30000
"Fransérgio","Bordeaux","BRA","MF",NA,30,1990,26,1258,48,36.8,14,75,6,12,17,0.69,17,47,28654,1490000
"Fraser Hornby","Reims","SCO","FW","MF",21,1999,8,350,44,10.2,4,67,0,4,21,0.88,0,1,4231,220000
"Frederic Guilbert","Strasbourg","FRA","DF",NA,26,1994,33,2516,76,73.6,28,86,19,5,21,1.7,47,30,46538,2420000
"Gabriel Gudmundsson","Lille","SWE","DF","MF",22,1999,30,1344,45,39.3,15,72,4,15,18,1.5,14,21,7692,4e+05
"Gabriel Silva","Saint-Étienne","BRA","DF","MF",30,1991,13,713,55,20.8,9,71,5,4,19,0.62,7,16,14038,730000
"Gaël Kakuta","Lens","COD","MF","FW",30,1991,29,1673,58,48.9,20,74,1,9,22,1.76,27,22,20000,1040000
"Gaëtan Laborde","Rennes","FRA","FW",NA,27,1994,34,2729,80,79.8,32,84,16,2,27,1.79,65,30,41538,2160000
"Gelson Martins","Monaco","POR","MF","FW",26,1995,32,1905,60,55.7,24,70,1,8,29,1.66,33,18,69231,3600000
"Georginio Wijnaldum","Paris S-G","NED","MF",NA,30,1990,31,1653,53,48.3,18,79,6,13,18,2.29,51,20,244808,12730000
"Gerson","Marseille","BRA","MF","FW",24,1997,35,2544,73,74.4,29,84,16,6,18,1.86,46,33,76923,4e+06
"Gerson Rodrigues","Troyes","LUX","FW","MF",26,1995,12,848,71,24.8,9,85,6,3,27,0.92,6,15,1346,70000
"Gerzino Nyamsi","Strasbourg","FRA","DF",NA,24,1997,34,2984,88,87.3,33,90,33,1,14,1.74,54,33,8654,450000
"Gideon Mensah","Bordeaux","GHA","DF",NA,23,1998,23,1208,53,35.3,13,79,8,10,18,0.48,14,35,6731,350000
"Giulian Biancone","Troyes","FRA","DF","MF",21,2000,33,2292,69,67,26,83,18,7,21,1.03,27,33,577,30000
"Grejohn Kyei","Clermont Foot","FRA","FW",NA,25,1995,14,396,28,11.6,4,67,0,10,13,1,2,9,5769,3e+05
"Guillermo Maripán","Monaco","CHI","DF",NA,27,1994,26,1832,70,53.6,21,86,18,5,4,1.92,36,19,26923,1400000
"Habib Diallo","Strasbourg","SEN","FW",NA,26,1995,31,1541,50,45.1,16,77,6,15,21,1.52,28,19,11731,610000
