"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Warren Tchimbembé","Metz","CGO","MF",NA,23,1998,9,205,23,6,1,67,0,8,17,1.22,0,3,2885,150000
"Wesley Saïd","Lens","FRA","FW","MF",26,1995,21,654,31,19.1,7,57,0,14,18,1.86,15,7,8269,430000
"Willem Geubbels","Nantes","FRA","FW","MF",19,2001,22,544,25,15.9,4,57,0,18,18,1.41,9,13,14615,760000
"William Mikelbrencis","Metz","FRA","DF",NA,17,2004,9,610,68,17.8,8,66,2,1,79,0.89,5,15,769,40000
"Wissam Ben Yedder","Monaco","FRA","FW",NA,30,1990,37,2529,68,73.9,29,79,7,8,29,1.84,50,28,150000,7800000
"Wuilker Faríñez","Lens","VEN","GK",NA,23,1998,13,1105,85,32.3,11,90,11,2,58,1.92,24,15,9038,470000
"Wylan Cyprien","Nantes","FRA","MF",NA,26,1995,24,1490,62,43.6,17,79,6,7,22,1.33,29,24,17308,9e+05
"Xavi Simons","Paris S-G","NED","MF","FW",18,2003,6,132,22,3.9,1,65,0,5,13,2.67,1,0,11538,6e+05
"Xavier Chavalerin","Reims","FRA","MF",NA,30,1991,3,220,73,6.4,2,90,2,1,40,1,3,3,5385,280000
"Xavier Chavalerin","Troyes","FRA","MF",NA,30,1991,34,2717,80,79.4,31,85,22,3,24,1.09,32,40,5385,280000
"Xeka","Lille","POR","MF",NA,26,1994,23,1619,70,47.3,19,82,13,4,13,1.74,21,18,27692,1440000
"Xherdan Shaqiri","Lyon","SUI","FW","MF",29,1991,11,679,62,19.9,9,71,1,2,18,2.18,13,7,80769,4200000
"Yacine Adli","Bordeaux","FRA","MF","FW",21,2000,36,2260,63,66.1,25,78,10,11,28,0.75,33,59,15962,830000
"Yannick Cahuzac","Lens","FRA","MF",NA,36,1985,17,618,36,18.1,6,85,2,11,10,1.67,14,15,8654,450000
"Yasser Larouci","Troyes","ALG","DF",NA,20,2001,12,341,28,10,2,79,0,10,18,1.08,5,7,385,20000
"Yoann Salmier","Troyes","GUF","DF",NA,28,1992,31,2668,86,78,30,88,26,1,14,1.06,28,40,5769,3e+05
"Yoann Touzghar","Troyes","TUN","FW",NA,34,1986,28,1457,52,42.6,16,72,1,12,26,0.93,15,23,1538,80000
"Yohann Magnin","Clermont Foot","FRA","MF","DF",24,1997,24,1717,72,50.2,19,84,15,5,24,0.96,20,34,577,30000
"Youcef Atal","Nice","ALG","DF",NA,25,1996,17,1140,67,33.3,13,78,6,4,31,1.29,20,12,34615,1800000
"Youcef Belaïli","Brest","ALG","MF","FW",29,1992,13,825,63,24.1,11,68,1,2,38,0.85,15,16,13846,720000
"Youssouf Fofana","Monaco","FRA","MF",NA,22,1999,33,2190,66,64,23,85,19,10,24,1.94,44,27,5385,280000
"Youssouf Koné","Troyes","MLI","DF",NA,26,1995,21,980,47,28.7,11,73,5,10,18,1.05,8,18,3077,160000
"Youssouph Badji","Brest","SEN","FW","MF",19,2001,9,135,15,3.9,1,71,0,8,8,0.33,2,3,2308,120000
"Yusuf Yazıcı","Lille","TUR","MF","FW",24,1997,15,509,34,14.9,5,71,0,10,16,1.33,8,13,20192,1050000
"Yvan Neyou","Saint-Étienne","CMR","MF",NA,24,1997,16,936,59,27.4,12,71,4,4,20,0.38,7,25,3654,190000
"Yvann Macon","Saint-Étienne","FRA","DF",NA,22,1998,22,1529,70,44.7,19,77,9,3,20,0.77,15,34,4231,220000
"Zaydou Youssouf","Saint-Étienne","FRA","MF",NA,22,1999,30,1553,52,45.4,18,70,2,12,25,0.93,14,35,13462,7e+05
"Zeki Çelik","Lille","TUR","DF",NA,24,1997,32,2696,84,78.8,30,88,27,2,23,1.38,38,38,17308,9e+05
