"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Thomas Fontaine","Lorient","MAD","DF",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Thomas Mangani","Angers","FRA","MF",NA,34,2,9,6,6,12,3,25,0.08,0.33,27.1,2,52,35,17,5,3,2
"Thomas Monconduit","Lorient","FRA","MF",NA,30,2,5,0,0,36,12,33.3,0.08,0.25,25.6,0,67,45,22,3,2,1
"Tiago Djaló","Lille","POR","DF",NA,21,1,2,0,0,12,5,41.7,0.08,0.2,12.6,0,24,17,7,3,1,2
"Tiago Ribeiro","Monaco","POR","FW",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Timothée Kolodziejczak","Saint-Étienne","FRA","DF",NA,29,3,5,0,0,15,6,40,0.13,0.33,12.7,0,36,32,4,4,3,1
"Timothee Pembele","Bordeaux","FRA","DF",NA,18,1,2,0,0,18,4,22.2,0.06,0.25,15.9,0,36,20,16,5,3,2
"Timothy Weah","Lille","USA","MF","FW",21,4,7,0,0,34,9,26.5,0.09,0.33,18.2,0,53,37,16,9,5,4
"Tino Kadewere","Lyon","ZIM","FW",NA,25,0,1,0,0,18,7,38.9,0.06,0.14,13.1,0,15,11,4,0,0,0
"Tom Lacoux","Bordeaux","FRA","DF","MF",19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,8,5,3,1,2
"Toma Bašić","Bordeaux","CRO","MF",NA,24,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,6,2,4,1,0,1
"Tristan Dingomé","Troyes","CMR","MF","FW",30,4,6,0,0,20,4,20,0.1,0.5,22.8,1,40,24,16,6,3,3
"Vagner Gonçalves","Metz","CPV","FW",NA,25,0,0,0,0,1,1,100,0,0,7.7,0,5,3,2,0,0,0
"Valentin Rongier","Marseille","FRA","MF","DF",26,1,1,0,0,28,9,32.1,0,0,21.5,0,58,46,12,6,4,2
"Valère Germain","Montpellier","FRA","FW",NA,31,3,7,0,0,32,16,50,0.13,0.25,12.5,0,29,25,4,5,4,1
"Valon Berisha","Reims","KVX","MF","FW",28,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,10,5,5,2,1,1
"Vanderson","Monaco","BRA","FW","DF",20,1,3,0,0,14,6,42.9,0.14,0.33,19.8,0,29,26,3,6,6,0
"Vincent Le Goff","Lorient","FRA","DF",NA,31,1,2,0,0,27,4,14.8,0.04,0.25,16.8,0,69,57,12,5,4,1
"Vincent Manceau","Angers","FRA","DF",NA,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,12,12,0,4,4,0
"Vincent Pajot","Metz","FRA","MF",NA,30,0,1,0,0,14,2,14.3,0.07,0.5,20,0,37,32,5,0,0,0
"Vital N'Simba","Clermont Foot","COD","DF",NA,28,3,4,0,0,19,5,26.3,0.05,0.2,26.3,0,64,53,11,8,7,1
"Wahbi Khazri","Saint-Étienne","TUN","FW","MF",30,0,10,4,4,69,18,26.1,0.09,0.33,23.6,9,82,53,29,6,4,2
"Walter Benítez","Nice","ARG","GK",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,1,1,0
"Waniss Taibi","Angers","FRA","MF","FW",19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1
"Warmed Omari","Rennes","COM","DF",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18,17,1,3,3,0
"Warren Tchimbembé","Metz","CGO","MF",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,0,0
"Wesley Saïd","Lens","FRA","FW","MF",26,0,5,0,0,26,10,38.5,0.19,0.5,14,0,28,20,8,5,2,3
"Willem Geubbels","Nantes","FRA","FW","MF",19,1,3,0,0,12,3,25,0.17,0.67,17,0,3,3,0,1,1,0
"William Mikelbrencis","Metz","FRA","DF",NA,17,1,1,0,0,6,1,16.7,0,0,25.9,0,8,4,4,0,0,0
"William Saliba","Marseille","FRA","DF",NA,20,0,0,0,0,17,4,23.5,0,0,10,0,29,26,3,3,2,1
"Wilson Isidor","Monaco","FRA","FW","MF",20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Wissam Ben Yedder","Monaco","FRA","FW",NA,30,5,30,8,8,64,36,56.3,0.27,0.47,14.7,4,71,57,14,14,10,4
"Wout Faes","Reims","BEL","DF",NA,23,0,4,0,0,22,9,40.9,0.18,0.44,13.6,0,23,20,3,0,0,0
"Wuilker Faríñez","Lens","VEN","GK",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0
"Wylan Cyprien","Nantes","FRA","MF",NA,26,3,5,0,0,20,8,40,0.1,0.25,24.4,2,61,34,27,9,4,5
"Xavi Simons","Paris S-G","NED","MF","FW",18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Xavier Chavalerin","Troyes","FRA","MF",NA,30,2,7,0,0,31,10,32.3,0.16,0.5,19,0,5,5,0,0,0,0
"Xavier Chavalerin","Troyes","FRA","MF",NA,30,2,7,0,0,31,10,32.3,0.16,0.5,19,0,57,40,17,8,6,2
"Xavier Chavalerin","Reims","FRA","MF",NA,30,0,0,0,0,31,10,32.3,0.16,0.5,19,0,5,5,0,0,0,0
"Xavier Chavalerin","Reims","FRA","MF",NA,30,0,0,0,0,31,10,32.3,0.16,0.5,19,0,57,40,17,8,6,2
"Xeka","Lille","POR","MF",NA,26,0,3,0,0,22,5,22.7,0.14,0.6,24,2,31,20,11,3,0,3
"Xherdan Shaqiri","Lyon","SUI","FW","MF",29,3,5,0,0,13,5,38.5,0.15,0.4,20.3,3,24,18,6,3,2,1
"Yacine Adli","Bordeaux","FRA","MF","FW",21,7,8,0,0,32,15,46.9,0.03,0.07,21.2,4,121,81,40,18,13,5
"Yadaly Diaby","Clermont Foot","GUI","FW","MF",20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Yanis Guermouche","Montpellier","FRA","MF","FW",20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Yanis Lhery","Saint-Étienne","FRA","FW","MF",18,0,0,0,0,2,1,50,0,0,16.3,0,3,0,3,0,0,0
"Yannick Cahuzac","Lens","FRA","MF",NA,36,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,1,1,0
"Yannis M'Bemba","Nantes","GAB","DF","FW",20,0,0,0,0,2,1,50,0,0,10,0,0,0,0,0,0,0
"Yasser Larouci","Troyes","ALG","DF",NA,20,0,0,0,0,3,1,33.3,0,0,20.3,0,13,7,6,1,0,1
"Yoann Salmier","Troyes","GUF","DF",NA,28,1,1,0,0,10,1,10,0,0,16.1,0,23,20,3,1,0,1
"Yoann Touzghar","Troyes","TUN","FW",NA,34,0,4,0,0,28,12,42.9,0.14,0.33,13.2,0,33,25,8,2,1,1
"Yohann Magnin","Clermont Foot","FRA","MF","DF",24,0,1,0,0,19,3,15.8,0.05,0.33,14.7,0,27,22,5,2,1,1
