"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Giovani Lo Celso","Tottenham","ARG","MF",NA,24,1,2,0,0,15,5,33.3,0.07,0.2,19,1,32,23,9,4,4,0
"Grady Diangana","West Brom","COD","MF","FW",22,0,1,0,0,14,4,28.6,0.07,0.25,17.4,0,26,15,11,1,0,1
"Granit Xhaka","Arsenal","SUI","MF","DF",27,2,3,0,0,21,7,33.3,0.05,0.14,27.1,7,50,43,7,5,4,1
"Gylfi Sigurðsson","Everton","ISL","MF","FW",30,5,11,4,3,45,13,28.9,0.07,0.23,22.8,7,75,42,33,7,4,3
"Hakim Ziyech","Chelsea","MAR","MF","FW",27,3,5,0,0,35,12,34.3,0.06,0.17,23.1,1,73,54,19,6,5,1
"Hal Robson-Kanu","West Brom","WAL","FW",NA,31,0,2,0,0,13,6,46.2,0.15,0.33,20.1,0,12,8,4,0,0,0
"Hamza Choudhury","Leicester City","ENG","MF",NA,22,0,0,0,0,4,1,25,0,0,22.2,0,3,2,1,1,1,0
"Hannibal Mejbri","Manchester Utd","TUN","MF",NA,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Harrison Reed","Fulham","ENG","MF",NA,25,2,2,0,0,13,4,30.8,0,0,26.1,0,44,36,8,3,2,1
"Harry Kane","Tottenham","ENG","FW",NA,27,14,37,4,4,133,47,35.3,0.14,0.4,18.3,14,127,75,52,26,15,11
"Harry Maguire","Manchester Utd","ENG","DF",NA,27,1,3,0,0,36,9,25,0.06,0.22,12.8,0,38,30,8,7,5,2
"Harry Winks","Tottenham","ENG","MF",NA,24,0,0,0,0,4,1,25,0,0,30.9,0,7,6,1,1,1,0
"Harvey Barnes","Leicester City","ENG","FW","MF",22,4,13,0,0,56,25,44.6,0.16,0.36,17.5,0,71,49,22,10,8,2
"Héctor Bellerín","Arsenal","ESP","DF","MF",25,2,3,0,0,15,5,33.3,0.07,0.2,20.3,0,46,43,3,7,6,1
"Hélder Costa","Leeds United","ANG","MF","FW",26,3,6,0,0,16,6,37.5,0.19,0.5,14.8,0,19,14,5,6,5,1
"Hugo Lloris","Tottenham","FRA","GK",NA,33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,0
"Ian Poveda","Leeds United","ENG","MF",NA,20,0,0,0,0,5,3,60,0,0,17.8,0,9,8,1,0,0,0
"Ibrahima Diallo","Southampton","FRA","MF",NA,21,0,0,0,0,7,1,14.3,0,0,22.4,0,19,15,4,1,1,0
"Iliman Ndiaye","Sheffield Utd","SEN","MF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"İlkay Gündoğan","Manchester City","GER","MF",NA,29,2,15,2,1,52,21,40.4,0.23,0.57,17.3,4,88,67,21,9,3,6
"Illan Meslier","Leeds United","FRA","GK",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,4,3,1,1,0
"Isaac Hayden","Newcastle Utd","ENG","MF","DF",25,0,0,0,0,16,2,12.5,0,0,20.4,0,21,17,4,0,0,0
"Islam Slimani","Leicester City","ALG","FW",NA,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Issa Diop","West Ham","FRA","DF",NA,23,0,2,0,0,3,2,66.7,0.67,1,9.6,0,4,4,0,1,1,0
"Ivan Cavaleiro","Fulham","POR","FW",NA,26,0,3,2,1,45,15,33.3,0.04,0.13,18.1,1,85,57,28,2,1,1
"Jack Butland","Crystal Palace","ENG","GK",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Jack Cork","Burnley","ENG","MF",NA,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,22,19,3,0,0,0
