"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Dušan Vlahović","Fiorentina","SRB","FW",NA,20,13,4,30.7692307692308,16,16,31.3,16,2,14,4,15,0
"Mërgim Vojvoda","Torino","KVX","DF","FW",25,24,14,58.3333333333333,22,22,54.5,19,4,15,18,35,1
"Stefan de Vrij","Inter","NED","DF",NA,28,28,16,57.1428571428571,24,24,62.5,24,18,6,41,95,0
"Miloš Vulić","Crotone","SRB","MF",NA,23,15,8,53.3333333333333,21,21,38.1,10,1,9,8,8,0
"Walace","Udinese","BRA","MF",NA,25,50,23,46,60,60,35,36,3,33,34,23,0
"Sebastian Walukiewicz","Cagliari","POL","DF",NA,20,27,19,70.3703703703704,30,30,40,22,14,8,36,60,0
"Maya Yoshida","Sampdoria","JPN","DF",NA,31,17,4,23.5294117647059,13,13,53.8,45,34,11,57,93,1
"Ashley Young","Inter","ENG","DF",NA,35,15,7,46.6666666666667,13,13,23.1,13,0,13,6,31,0
"Mattia Zaccagni","Hellas Verona","ITA","MF",NA,25,27,13,48.1481481481481,25,25,32,28,4,24,27,13,1
"Miha Zajc","Genoa","SVN","MF",NA,26,22,14,63.6363636363636,39,39,33.3,30,4,26,27,19,0
"Nicola Zalewski","Roma","POL","MF",NA,18,1,1,100,1,1,100,0,0,0,0,0,0
"Niccolò Zanellato","Crotone","ITA","MF",NA,22,24,14,58.3333333333333,36,36,36.1,19,5,14,16,12,2
"Cristián Zapata","Genoa","COL","DF",NA,33,18,12,66.6666666666667,14,14,71.4,15,11,4,15,56,0
"Duván Zapata","Atalanta","COL","FW",NA,29,12,5,41.6666666666667,13,13,30.8,19,5,14,6,19,0
"Gabriele Zappa","Cagliari","ITA","DF",NA,20,34,17,50,49,49,44.9,36,4,32,24,50,0
"Davide Zappacosta","Genoa","ITA","DF",NA,28,33,16,48.4848484848485,30,30,50,17,1,16,18,41,0
"Simone Zaza","Torino","ITA","FW",NA,29,15,9,60,20,20,30,14,0,14,3,5,1
"Marvin Zeegelaar","Udinese","NED","DF",NA,29,40,18,45,39,39,51.3,21,9,12,24,43,0
"Piotr Zieliński","Napoli","POL","MF",NA,26,18,10,55.5555555555556,20,20,35,23,4,19,18,12,0
"Joshua Zirkzee","Parma","NED","FW","MF",19,2,2,100,3,3,33.3,1,1,0,0,1,0
"Jeroen Zoet","Spezia","NED","GK",NA,29,0,0,NA,1,1,0,0,0,0,0,4,2
"Filip Đuričić","Sassuolo","SRB","MF","FW",28,32,23,71.875,30,30,40,20,2,18,9,12,0
