"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Alberto Grassi","Parma","ITA","MF","DF",25,13,34,30,362,461,78.5,176,212,83,26,45,57.8,152,175,86.9,3,3,0,426,33,13,0,3,11,19,0,2,637,14,7,50,7,50
"Albin Ekdal","Sampdoria","SWE","MF",NA,31,22,95,18,878,1049,83.7,440,491,89.6,58,89,65.2,346,401,86.3,11,8,0,990,59,57,0,6,2,2,0,0,1326,24,20,83.3,4,16.7
"Aleksandar Kolarov","Inter","SRB","DF",NA,34,14,41,9,310,366,84.7,141,153,92.2,32,52,61.5,137,155,88.4,6,4,1,333,33,7,0,8,18,14,7,0,398,3,0,0,3,100
"Aleksei Miranchuk","Atalanta","RUS","MF","FW",24,26,47,68,316,408,77.5,169,198,85.4,23,39,59,111,135,82.2,14,21,3,385,20,4,2,1,15,5,9,3,493,23,14,60.9,9,39.1
"Alessandro Bastoni","Inter","ITA","DF",NA,21,70,146,60,2065,2306,89.5,910,952,95.6,226,315,71.7,899,961,93.5,12,16,4,2175,124,63,1,24,24,32,0,7,2547,15,12,80,3,20
"Alessandro Buongiorno","Torino","ITA","DF",NA,21,9,30,3,362,436,83,138,156,88.5,21,53,39.6,196,212,92.5,1,1,1,413,23,18,0,3,1,5,0,0,550,3,3,100,0,0
"Alessandro Deiola","Cagliari","ITA","MF",NA,24,5,14,9,197,241,81.7,104,121,86,23,32,71.9,67,77,87,6,3,3,240,1,0,0,4,7,0,0,0,184,2,2,100,0,0
"Alessandro Deiola","Cagliari","ITA","MF",NA,24,5,14,9,197,241,81.7,104,121,86,23,32,71.9,67,77,87,6,3,3,240,1,0,0,4,7,0,0,0,310,1,1,100,0,0
"Alessandro Deiola","Spezia","ITA","MF",NA,24,3,12,16,197,241,81.7,104,121,86,23,32,71.9,67,77,87,6,3,3,240,1,0,0,4,7,0,0,0,184,2,2,100,0,0
"Alessandro Deiola","Spezia","ITA","MF",NA,24,3,12,16,197,241,81.7,104,121,86,23,32,71.9,67,77,87,6,3,3,240,1,0,0,4,7,0,0,0,310,1,1,100,0,0
"Alessandro Deiola","Spezia","ITA","MF",NA,24,3,12,16,117,156,75,51,57,89.5,16,29,55.2,45,55,81.8,8,0,0,240,1,0,0,4,7,0,0,0,184,2,2,100,0,0
"Alessandro Deiola","Spezia","ITA","MF",NA,24,3,12,16,117,156,75,51,57,89.5,16,29,55.2,45,55,81.8,8,0,0,240,1,0,0,4,7,0,0,0,310,1,1,100,0,0
"Alessandro Deiola","Cagliari","ITA","MF",NA,24,5,14,9,117,156,75,51,57,89.5,16,29,55.2,45,55,81.8,8,0,0,240,1,0,0,4,7,0,0,0,184,2,2,100,0,0
"Alessandro Deiola","Cagliari","ITA","MF",NA,24,5,14,9,117,156,75,51,57,89.5,16,29,55.2,45,55,81.8,8,0,0,240,1,0,0,4,7,0,0,0,310,1,1,100,0,0
"Alessandro Deiola","Spezia","ITA","MF",NA,24,3,12,16,197,241,81.7,104,121,86,23,32,71.9,67,77,87,6,3,3,146,10,4,0,4,8,1,5,0,184,2,2,100,0,0
"Alessandro Deiola","Spezia","ITA","MF",NA,24,3,12,16,197,241,81.7,104,121,86,23,32,71.9,67,77,87,6,3,3,146,10,4,0,4,8,1,5,0,310,1,1,100,0,0
"Alessandro Deiola","Cagliari","ITA","MF",NA,24,5,14,9,117,156,75,51,57,89.5,16,29,55.2,45,55,81.8,8,0,0,146,10,4,0,4,8,1,5,0,184,2,2,100,0,0
