"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Marco Richter","Augsburg","GER","FW","MF",22,17,9,52.9411764705882,23,23,30.4,10,0,10,6,9,0
"Marc Roca","Bayern Munich","ESP","MF",NA,23,2,2,100,4,4,0,4,1,3,2,1,0
"Sebastian Rode","Eint Frankfurt","GER","MF",NA,29,44,25,56.8181818181818,46,46,30.4,30,3,27,47,18,0
"Jérôme Roussillon","Wolfsburg","FRA","DF",NA,27,24,12,50,20,20,55,10,1,9,19,28,0
"Sebastian Rudy","Hoffenheim","GER","MF","FW",30,35,26,74.2857142857143,45,45,35.6,24,4,20,13,21,1
"Sebastian Rudy","Schalke 04","GER","DF",NA,30,4,2,50,7,7,57.1,6,4,2,1,4,0
"Georginio Rutter","Hoffenheim","FRA","FW",NA,18,4,4,100,2,2,50,2,0,2,0,2,0
"Julian Ryerson","Union Berlin","NOR","DF","MF",22,22,15,68.1818181818182,15,15,80,13,0,13,11,17,0
"Victor Sá","Wolfsburg","BRA","FW",NA,26,9,6,66.6666666666667,11,11,54.5,11,0,11,8,2,0
"Marcel Sabitzer","RB Leipzig","AUT","MF",NA,26,29,21,72.4137931034483,37,37,32.4,7,2,5,35,27,0
"Roland Sallai","Freiburg","HUN","MF","FW",23,18,14,77.7777777777778,13,13,38.5,11,1,10,11,8,0
"Lazar Samardzic","RB Leipzig","SRB","MF",NA,18,10,7,70,13,13,38.5,6,0,6,2,1,0
"Diadie Samassékou","Hoffenheim","MLI","MF",NA,24,71,41,57.7464788732394,90,90,36.7,41,12,29,78,50,0
"Jadon Sancho","Dortmund","ENG","FW","MF",20,18,11,61.1111111111111,16,16,43.8,20,1,19,16,9,0
"Leroy Sané","Bayern Munich","GER","FW","MF",24,18,10,55.5555555555556,30,30,43.3,23,1,22,9,8,1
"Salif Sané","Schalke 04","SEN","DF",NA,29,17,9,52.9411764705882,23,23,56.5,25,13,12,25,66,0
"Baptiste Santamaria","Freiburg","FRA","MF",NA,25,51,38,74.5098039215686,54,54,37,36,7,29,52,34,1
"Josh Sargent","Werder Bremen","USA","FW","MF",20,32,19,59.375,27,27,48.1,39,4,35,17,36,0
"Bouna Sarr","Bayern Munich","SEN","DF",NA,28,9,8,88.8888888888889,6,6,50,7,0,7,10,7,1
"Patrik Schick","Leverkusen","CZE","FW",NA,24,7,2,28.5714285714286,4,4,25,5,2,3,3,20,0
"Sven Schipplock","Arminia","GER","FW","MF",31,15,8,53.3333333333333,27,27,22.2,13,2,11,6,8,0
"Xaver Schlager","Wolfsburg","AUT","MF",NA,22,66,40,60.6060606060606,68,68,32.4,50,6,44,54,38,0
"Keven Schlotterbeck","Freiburg","GER","DF",NA,23,31,10,32.258064516129,23,23,43.5,26,18,8,36,89,2
"Nico Schlotterbeck","Union Berlin","GER","DF",NA,20,34,19,55.8823529411765,28,28,64.3,13,6,7,31,29,1
"Jonathan Schmid","Freiburg","FRA","MF","DF",30,37,19,51.3513513513514,30,30,53.3,26,10,16,28,38,0
"Romano Schmid","Werder Bremen","AUT","MF","FW",20,22,16,72.7272727272727,35,35,22.9,21,0,21,8,6,0
"Benno Schmitz","Köln","GER","DF",NA,25,14,7,50,13,13,53.8,8,2,6,6,7,0
"Alessandro Schöpf","Schalke 04","AUT","FW","MF",26,11,9,81.8181818181818,6,6,16.7,15,1,14,6,6,0
"Nico Schulz","Dortmund","GER","DF",NA,27,9,6,66.6666666666667,11,11,18.2,12,4,8,6,10,0
"Christopher Scott","Bayern Munich","GER","MF","FW",18,2,1,50,2,2,100,0,0,0,0,1,0
"Davie Selke","Werder Bremen","GER","FW",NA,25,3,2,66.6666666666667,6,6,0,3,2,1,1,7,0
"Suat Serdar","Schalke 04","GER","MF",NA,23,55,35,63.6363636363636,52,52,32.7,29,4,25,23,21,0
"Ryan Sessegnon","Hoffenheim","ENG","DF","FW",20,47,25,53.1914893617021,34,34,44.1,26,3,23,30,46,0
"Nils Seufert","Arminia","GER","MF","FW",23,12,9,75,8,8,25,3,1,2,5,6,0
"Tim Siersleben","Wolfsburg","GER","DF",NA,20,2,2,100,1,1,100,1,0,1,0,0,0
"André Silva","Eint Frankfurt","POR","FW",NA,24,11,2,18.1818181818182,13,13,46.2,11,1,10,3,15,0
"Daley Sinkgraven","Leverkusen","NED","DF",NA,25,32,17,53.125,35,35,51.4,22,5,17,23,23,0
"Ellyes Skhiri","Köln","TUN","MF",NA,25,83,48,57.8313253012048,65,65,50.8,49,13,36,82,38,2
"Robert Skov","Hoffenheim","DEN","FW","MF",24,19,10,52.6315789473684,16,16,43.8,9,2,7,15,10,1
"Steven Skrzybski","Schalke 04","GER","FW","DF",27,5,4,80,7,7,14.3,13,1,12,5,1,1
"Yann Sommer","Gladbach","SUI","GK",NA,31,1,1,100,1,1,100,0,0,0,2,9,2
"Borna Sosa","Stuttgart","CRO","DF","FW",22,14,10,71.4285714285714,25,25,32,23,4,19,31,74,0
"Cebio Soukou","Arminia","BEN","FW","MF",27,12,8,66.6666666666667,11,11,54.5,3,0,3,3,4,0
"Djibril Sow","Eint Frankfurt","SUI","MF",NA,23,58,33,56.8965517241379,41,41,43.9,31,8,23,51,17,0
"Jerry St. Juste","Mainz 05","NED","DF",NA,23,65,38,58.4615384615385,36,36,55.6,46,27,19,64,82,1
"Benjamin Stambouli","Schalke 04","FRA","DF","MF",29,45,29,64.4444444444444,37,37,40.5,42,14,28,49,45,1
"Josip Stanišić","Bayern Munich","CRO","DF",NA,20,2,2,100,1,1,100,3,0,3,2,2,0
"Niklas Stark","Hertha BSC","GER","DF","MF",25,49,28,57.1428571428571,31,31,41.9,43,16,27,42,101,0
"Renato Steffen","Wolfsburg","SUI","FW","MF",28,24,15,62.5,24,24,54.2,21,2,19,22,15,0
"Pascal Stenzel","Stuttgart","GER","DF",NA,24,33,14,42.4242424242424,50,50,44,19,4,15,26,39,1
"Lars Stindl","Gladbach","GER","MF","FW",31,24,17,70.8333333333333,32,32,21.9,26,3,23,13,14,0
"Kevin Stöger","Mainz 05","AUT","MF","FW",26,12,6,50,16,16,31.3,5,0,5,6,4,0
"Tobias Strobl","Augsburg","GER","MF",NA,30,21,10,47.6190476190476,30,30,33.3,21,8,13,28,27,0
"Marek Suchý","Augsburg","CZE","DF",NA,32,4,2,50,2,2,50,3,3,0,4,9,0
