"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Tin Jedvaj","Leverkusen","CRO","DF",NA,24,1995,3,152,51,5,2,68,1,1,17,1.67,1,0,36538,1900000
"Tobias Sippel","Gladbach","GER","GK",NA,32,1988,4,344,86,11.2,3,90,3,1,74,1.25,9,6,8462,440000
"Tobias Strobl","Augsburg","GER","MF",NA,30,1990,29,1846,64,60.3,21,80,13,8,21,1.03,19,32,19231,1e+06
"Tony Jantschke","Gladbach","GER","DF",NA,30,1990,8,269,34,8.8,3,78,2,5,7,2.38,7,6,32692,1700000
"Tuta","Eint Frankfurt","BRA","DF",NA,21,1999,19,1459,77,47.7,16,88,14,3,17,1.89,36,29,4038,210000
"Tyler Adams","RB Leipzig","USA","MF","DF",21,1999,27,1850,69,60.5,21,83,13,6,20,2.11,35,19,19231,1e+06
"Valentino Lazaro","Gladbach","AUT","DF","FW",24,1996,22,1240,56,40.5,13,79,5,9,24,1.23,25,24,46154,2400000
"Vedad Ibišević","Schalke 04","BIH","FW",NA,35,1984,4,156,39,5.1,1,56,0,3,33,0.5,2,3,36538,1900000
"Victor Sá","Wolfsburg","BRA","FW",NA,26,1994,21,469,22,15.3,3,61,0,18,16,1.9,7,8,23077,1200000
"Vincenzo Grifo","Freiburg","ITA","MF","FW",27,1993,31,2313,75,75.6,27,81,8,4,33,1.35,44,40,18269,950000
"Vladimír Darida","Hertha BSC","CZE","MF",NA,29,1990,27,1903,70,62.2,24,77,9,3,17,1,24,36,46154,2400000
"Waldemar Anton","Stuttgart","GER","DF",NA,24,1996,31,2711,87,88.6,30,90,29,1,18,1.29,50,52,14423,750000
"Wendell","Leverkusen","BRA","DF",NA,27,1993,22,1457,66,47.6,15,86,13,7,25,1.41,23,21,19231,1e+06
"Willi Orban","RB Leipzig","HUN","DF",NA,27,1992,29,2363,81,77.2,25,90,25,4,28,1.9,46,24,48077,2500000
"William","Schalke 04","BRA","DF","FW",25,1995,8,474,59,15.5,7,65,3,1,21,0.38,1,15,36538,1900000
"Wout Weghorst","Wolfsburg","NED","FW",NA,27,1992,34,2941,87,96.1,33,89,24,1,14,1.79,58,35,57692,3e+06
"Xaver Schlager","Wolfsburg","AUT","MF",NA,22,1997,32,2626,82,85.8,30,84,15,2,47,1.72,51,33,76923,4e+06
"Yannick Gerhardt","Wolfsburg","GER","MF","FW",26,1994,29,1936,67,63.3,21,85,16,8,20,1.76,39,24,69231,3600000
"Yannik Keitel","Freiburg","GER","MF",NA,20,2000,12,498,42,16.3,4,78,1,8,24,1.25,6,10,1346,70000
"Youssoufa Moukoko","Dortmund","GER","FW","MF",15,2004,14,422,30,13.8,2,85,1,12,21,1.14,10,5,962,50000
"Yussuf Poulsen","RB Leipzig","DEN","FW",NA,26,1994,27,1354,50,44.2,14,77,7,13,22,1.96,28,15,76923,4e+06
"Yuya Osako","Werder Bremen","JPN","MF","FW",30,1990,24,762,32,24.9,7,65,0,17,18,0.63,9,20,34615,1800000
