"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Antoine Griezmann","Atlético Madrid","FRA","FW","MF",31,1991,38,2859,75,83.6,31,86,23,7,29,2.03,61,29,240385,12500000
"Antonio Blanco","Cádiz","ESP","MF",NA,22,2000,3,158,53,4.6,2,67,0,1,25,0,1,6,6923,360000
"Antonio Rüdiger","Real Madrid","GER","DF",NA,29,1993,33,2415,73,70.6,26,90,25,7,12,2,44,25,280385,14580000
"Antonio Sánchez","Mallorca","ESP","MF","DF",25,1997,32,1076,34,31.5,11,64,1,21,18,1.28,7,19,7500,390000
"Aridane Hernández","Osasuna","ESP","DF",NA,33,1989,23,1793,78,52.4,20,88,19,3,13,1.17,17,25,11731,610000
"Aritz Elustondo","Real Sociedad","ESP","DF",NA,28,1994,25,1449,58,42.4,16,78,8,9,22,2.2,26,14,35577,1850000
"Arnau Martinez","Girona","ESP","DF",NA,19,2003,33,2732,83,79.9,32,85,25,1,9,1.18,46,49,7692,4e+05
"Arnau Puigmal","Almería","ESP","MF","FW",21,2001,22,763,35,22.3,7,63,0,15,21,0.64,11,18,2981,155000
"Arnaut Danjuma","Villarreal","NED","FW",NA,25,1997,10,479,48,14,6,69,2,4,16,1.4,4,7,60192,3130000
"Asier Illarramendi","Real Sociedad","ESP","MF",NA,32,1990,24,1076,45,31.5,13,69,2,11,16,2.04,15,5,57692,3e+06
"Asier Villalibre","Athletic Club","ESP","FW",NA,24,1997,5,97,19,2.8,1,56,0,4,10,1.6,2,0,34038,1770000
"Augusto Solari","Celta Vigo","ARG","MF",NA,30,1992,12,262,22,7.7,3,48,0,9,13,1.92,5,3,25962,1350000
"Aurélien Tchouaméni","Real Madrid","FRA","MF",NA,22,2000,33,2119,64,62,24,80,14,9,21,2.03,51,27,240385,12500000
"Awer Mabil","Cádiz","AUS","MF","FW",26,1995,5,165,33,4.8,1,61,0,4,26,0,1,6,7500,390000
"Axel Witsel","Atlético Madrid","BEL","DF","MF",33,1989,33,2258,68,66,25,86,21,8,14,2.03,59,27,160192,8330000
"Ayoze Pérez","Betis","ESP","FW","MF",29,1993,19,1386,73,40.5,17,79,5,2,21,1.53,18,17,24038,1250000
"Beñat Turrientes","Real Sociedad","ESP","MF","FW",20,2002,6,106,18,3.1,1,45,0,5,12,1.5,1,2,9615,5e+05
"Bernardo Espinosa","Girona","COL","DF",NA,33,1989,20,1225,61,35.8,14,82,10,6,13,1.05,14,26,9231,480000
"Borja García","Girona","ESP","MF","FW",31,1990,11,679,62,19.9,10,66,2,1,16,1.55,16,12,5769,3e+05
"Borja Iglesias","Betis","ESP","FW",NA,29,1993,35,2365,68,69.2,29,76,6,6,29,1.63,36,24,30769,1600000
"Borja Mayoral","Getafe","ESP","FW",NA,25,1997,35,2759,79,80.7,33,82,14,2,19,1,26,40,92115,4790000
"Braian Cufré","Mallorca","ARG","DF",NA,25,1996,5,220,44,6.4,2,90,2,3,13,0.8,2,2,9615,5e+05
"Brais Méndez","Real Sociedad","ESP","MF",NA,25,1997,34,2407,71,70.4,28,78,12,6,36,1.79,40,25,42308,2200000
"Brian Ocampo","Cádiz","URU","MF","FW",23,1999,18,1119,62,32.7,15,69,2,3,26,1.17,10,17,10385,540000
"Brian Oliván","Espanyol","ESP","DF",NA,28,1994,30,2403,80,70.3,29,82,18,1,17,1.1,37,44,10385,540000
"Bryan Gil","Sevilla","ESP","FW","DF",21,2001,17,918,54,26.8,10,72,1,7,29,1.47,13,13,45192,2350000
"Cala","Cádiz","ESP","DF",NA,32,1989,3,137,46,4,1,72,0,2,33,0.67,0,3,21154,1100000
"Carles Aleñá","Getafe","ESP","MF","FW",24,1998,35,2119,61,62,26,75,7,9,20,1,17,27,12115,630000
"Carles Pérez","Celta Vigo","ESP","MF","FW",24,1998,35,2144,61,62.7,23,77,8,12,30,1.14,26,26,80192,4170000
"Carlos Clerc","Elche","ESP","DF","MF",30,1992,32,2639,82,77.2,31,84,21,1,22,0.72,24,50,20769,1080000
"Carlos Dominguez","Celta Vigo","ESP","DF",NA,21,2001,3,108,36,3.2,1,90,1,2,9,3,2,1,5769,3e+05
"Carlos Fernández","Real Sociedad","ESP","FW",NA,26,1996,24,631,26,18.5,8,54,0,16,13,1.79,7,8,19231,1e+06
"Cenk Özkacar","Valencia","TUR","DF",NA,21,2000,17,1365,80,39.9,14,87,13,3,50,1.24,13,18,11346,590000
"César de la Hoz","Almería","ESP","MF",NA,30,1992,25,1673,67,48.9,18,84,12,7,23,1.48,25,30,7308,380000
"César Montes","Espanyol","MEX","DF",NA,25,1997,20,1590,80,46.5,18,87,17,2,11,0.9,26,40,13077,680000
"Chris Ramos","Cádiz","ESP","FW",NA,25,1997,15,710,47,20.8,7,77,3,8,21,1.07,6,10,6154,320000
"Chumi","Almería","ESP","DF",NA,23,1999,21,1489,71,43.5,15,89,13,6,27,1.1,20,30,18654,970000
"Clément Grenier","Mallorca","FRA","MF",NA,31,1991,21,718,34,21,6,71,1,15,20,1.48,9,11,10385,540000
"Copete","Mallorca","ESP","DF",NA,22,1999,28,2206,79,64.5,27,81,16,1,14,1.39,22,26,4038,210000
"Cristhian Mosquera","Valencia","ESP","DF",NA,18,2004,3,145,48,4.2,1,90,1,2,28,2,0,2,3077,160000
"Cristhian Stuani","Girona","URU","FW",NA,35,1986,32,1090,34,31.9,8,79,3,24,19,1.31,22,16,23077,1200000
"Cyle Larin","Valladolid","CAN","FW",NA,27,1995,19,1469,77,43,16,87,13,3,26,1.21,20,26,8077,420000
"Damián Suárez","Getafe","URU","DF","MF",34,1988,28,1946,70,56.9,26,75,12,2,1,1.36,21,20,11923,620000
"Dani Carvajal","Real Madrid","ESP","DF",NA,30,1992,27,1784,66,52.2,20,82,8,7,20,1.96,38,22,200385,10420000
