"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Raúl Jiménez","Wolves","MEX","FW",NA,30,40,65,163,549,775,70.8,325,409,79.5,31,50,62,147,206,71.4,38,19,2,715,55,2,8,7,10,9,0,5,1150,87,36,41.4,51,58.6
"Rayan Aït-Nouri","Wolves","ALG","DF","MF",20,60,49,127,763,1025,74.4,418,472,88.6,54,141,38.3,273,361,75.6,17,14,10,811,211,10,1,7,96,172,29,3,1293,81,42,51.9,39,48.1
"Reece James","Chelsea","ENG","DF",NA,21,52,149,203,1450,1687,86,803,856,93.8,93,133,69.9,509,593,85.8,48,51,15,1439,244,33,2,8,108,196,15,4,1881,47,36,76.6,11,23.4
"Ricardo Pereira","Leicester City","POR","DF",NA,27,28,43,34,519,655,79.2,329,370,88.9,18,38,47.4,162,206,78.6,10,17,2,549,106,3,0,1,14,103,0,0,816,19,11,57.9,8,42.1
"Richarlison","Everton","BRA","FW",NA,24,44,42,146,339,568,59.7,192,278,69.1,15,41,36.6,96,141,68.1,29,13,1,556,8,1,3,3,38,2,0,4,999,82,40,48.8,41,50
"Rico Henry","Brentford","ENG","DF",NA,24,61,81,131,876,1215,72.1,504,592,85.1,58,132,43.9,287,396,72.5,18,29,15,1092,120,5,0,0,74,115,0,3,1542,60,27,45,33,55
"Riyad Mahrez","Manchester City","ALG","FW",NA,30,74,70,234,777,947,82,443,486,91.2,53,102,52,264,313,84.3,39,34,6,842,99,11,7,6,97,18,70,6,1135,50,26,52,24,48
"Rob Holding","Arsenal","ENG","DF",NA,25,4,23,0,420,483,87,147,160,91.9,29,55,52.7,241,261,92.3,0,0,0,468,15,7,0,2,0,7,0,0,587,1,0,0,1,100
"Roberto Firmino","Liverpool","BRA","FW",NA,29,27,40,100,390,501,77.8,237,266,89.1,15,21,71.4,107,150,71.3,16,12,1,486,15,1,5,2,8,7,0,0,664,33,17,51.5,16,48.5
"Robin Koch","Leeds United","GER","MF","DF",25,3,52,14,555,718,77.3,224,279,80.3,45,73,61.6,268,326,82.2,5,6,0,693,24,9,0,5,4,15,0,1,889,8,5,62.5,3,37.5
"Rodri","Manchester City","ESP","MF",NA,25,43,285,47,2640,2887,91.4,1107,1185,93.4,294,358,82.1,1207,1271,95,29,37,3,2837,44,37,4,25,9,7,0,6,3171,22,12,54.5,10,45.5
"Rodrigo","Leeds United","ESP","MF","FW",30,47,105,164,682,914,74.6,371,453,81.9,63,96,65.6,188,243,77.4,38,31,6,861,51,10,9,12,29,11,9,2,1160,42,22,52.4,20,47.6
"Rodrigo Bentancur","Tottenham","URU","MF",NA,24,20,76,11,912,1019,89.5,420,454,92.5,64,88,72.7,384,409,93.9,15,4,2,1002,17,14,5,8,9,3,0,0,1184,20,14,70,6,30
"Romain Perraud","Southampton","FRA","DF",NA,23,34,48,91,478,749,63.8,296,361,82,19,84,22.6,148,236,62.7,8,8,5,592,153,8,1,3,69,142,3,4,957,18,8,44.4,10,55.6
"Romain Saïss","Wolves","MAR","DF",NA,31,18,137,9,1437,1808,79.5,585,658,88.9,148,298,49.7,691,812,85.1,7,1,0,1745,58,45,1,30,9,13,0,5,2163,10,7,70,3,30
"Romelu Lukaku","Chelsea","BEL","FW",NA,28,29,19,125,231,327,70.6,157,194,80.9,6,12,50,43,65,66.2,24,9,0,296,28,0,2,0,7,0,0,3,483,25,13,52,12,48
"Ross Barkley","Chelsea","ENG","MF","FW",27,14,14,17,106,128,82.8,59,66,89.4,9,11,81.8,32,39,82.1,8,7,0,121,7,0,1,0,7,0,7,0,153,8,7,87.5,1,12.5
"Rúben Dias","Manchester City","POR","DF",NA,24,33,139,4,2133,2287,93.3,742,786,94.4,173,218,79.4,1201,1248,96.2,15,3,0,2233,52,36,1,6,3,15,0,2,2471,4,2,50,2,50
"Ruben Loftus-Cheek","Chelsea","ENG","MF","DF",25,69,108,53,876,981,89.3,507,547,92.7,33,42,78.6,315,355,88.7,18,20,0,956,24,10,5,1,7,14,0,1,1172,60,42,70,18,30
"Rúben Neves","Wolves","POR","MF",NA,24,34,202,19,1635,1992,82.1,487,553,88.1,299,416,71.9,827,937,88.3,25,30,5,1907,70,61,16,39,44,4,5,15,2281,32,26,81.3,6,18.8
"Ryan Fraser","Newcastle Utd","SCO","FW","MF",27,35,34,86,334,482,69.3,197,234,84.2,40,84,47.6,86,128,67.2,25,24,15,432,44,9,1,2,88,2,29,6,590,4,1,25,3,75
"Ryan Fredericks","West Ham","ENG","DF",NA,28,4,6,14,113,150,75.3,72,85,84.7,3,6,50,34,48,70.8,2,2,1,128,21,0,0,0,9,21,0,1,172,1,0,0,1,100
"Ryan Sessegnon","Tottenham","ENG","DF","MF",21,30,22,80,315,428,73.6,185,218,84.9,20,41,48.8,96,132,72.7,14,12,4,357,69,2,0,1,38,65,2,2,574,19,6,31.6,13,68.4
"Sadio Mané","Liverpool","SEN","FW",NA,29,105,130,305,818,1100,74.4,460,550,83.6,44,67,65.7,274,360,76.1,41,61,5,1082,12,3,16,3,50,8,0,6,1492,77,47,61,29,37.7
"Saïd Benrahma","West Ham","ALG","FW","MF",25,73,73,222,632,841,75.1,367,432,85,32,68,47.1,191,250,76.4,32,29,10,813,27,4,5,5,74,4,1,1,1121,80,37,46.3,43,53.8
"Salomón Rondón","Everton","VEN","FW",NA,31,5,9,41,117,193,60.6,77,116,66.4,5,5,100,23,41,56.1,8,1,0,190,3,0,0,0,6,1,0,0,285,10,4,40,6,60
"Sam Byram","Norwich City","ENG","DF",NA,27,11,23,16,393,515,76.3,219,248,88.3,17,36,47.2,144,197,73.1,4,2,0,441,73,9,0,2,9,64,0,1,669,8,3,37.5,5,62.5
"Sam Greenwood","Leeds United","ENG","MF","FW",19,3,5,10,54,80,67.5,30,37,81.1,1,10,10,18,24,75,4,1,0,75,4,2,1,0,6,0,1,1,106,5,2,40,3,60
"Saman Ghoddos","Brentford","IRN","MF","DF",27,7,25,40,143,216,66.2,79,105,75.2,11,32,34.4,50,66,75.8,6,11,3,189,26,12,2,2,21,4,8,1,296,7,5,71.4,2,28.6
"Samir Santos","Watford","BRA","DF",NA,26,1,24,2,538,669,80.4,185,202,91.6,55,125,44,292,328,89,2,2,0,655,12,12,0,5,0,0,0,2,872,3,2,66.7,1,33.3
"Samuel Kalu","Watford","NGA","FW",NA,23,7,8,18,56,69,81.2,40,44,90.9,3,8,37.5,11,14,78.6,1,3,0,63,6,4,0,0,8,0,2,0,98,10,4,40,6,60
"Saúl Ñíguez","Chelsea","ESP","DF","MF",26,4,15,27,306,353,86.7,168,185,90.8,20,29,69,108,122,88.5,3,2,2,329,24,6,0,1,10,18,0,0,430,3,2,66.7,1,33.3
