"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Séamus Coleman","Everton","IRL","DF",NA,32,4,0,0,0,14
"Nathan Collins","Burnley","IRL","DF",NA,20,2,1,0,1,20
"Aaron Connolly","Brighton","IRL","FW","MF",21,0,0,0,0,0
"Liam Cooper","Leeds United","SCO","DF",NA,29,5,0,0,0,19
"Jack Cork","Burnley","ENG","MF",NA,32,4,0,0,0,31
"Maxwel Cornet","Burnley","CIV","FW","MF",24,2,0,0,0,20
"Hélder Costa","Leeds United","ANG","MF",NA,27,0,0,0,0,1
"Vladimír Coufal","West Ham","CZE","DF",NA,28,5,1,1,2,29
"Philippe Coutinho","Aston Villa","BRA","MF","FW",29,0,0,0,0,8
"Aaron Cresswell","West Ham","ENG","DF",NA,31,3,0,0,0,14
"Charlie Cresswell","Leeds United","ENG","DF",NA,18,1,0,0,0,3
"Cucho","Watford","COL","FW","MF",22,3,0,0,0,13
"Marc Cucurella","Brighton","ESP","DF",NA,23,6,0,0,0,28
"Luke Cundle","Wolves","ENG","MF",NA,19,0,0,0,0,3
"Patson Daka","Leicester City","ZAM","FW",NA,22,2,0,0,0,17
"Stuart Dallas","Leeds United","NIR","DF","MF",30,5,0,0,0,33
"Diogo Dalot","Manchester Utd","POR","DF",NA,22,4,0,0,0,18
"Karl Darlow","Newcastle Utd","WAL","GK",NA,30,1,0,0,0,1
"Josh Dasilva","Brentford","ENG","MF","FW",22,0,1,0,1,4
"Ben Davies","Tottenham","WAL","DF",NA,28,6,0,0,0,31
"Tom Davies","Everton","ENG","MF",NA,23,1,0,0,0,4
"Keinan Davis","Aston Villa","ENG","FW",NA,23,0,0,0,0,0
"Craig Dawson","West Ham","ENG","DF",NA,31,5,1,0,1,39
"Kevin De Bruyne","Manchester City","BEL","MF",NA,30,2,0,0,0,21
"Troy Deeney","Watford","ENG","FW",NA,33,0,0,0,0,0
"Fabian Delph","Everton","ENG","MF",NA,31,2,0,0,0,8
"Leander Dendoncker","Wolves","BEL","MF",NA,26,4,0,0,0,13
"Emmanuel Dennis","Watford","NGA","FW","MF",23,9,1,1,2,59
"Kiernan Dewsbury-Hall","Leicester City","ENG","MF",NA,22,4,0,0,0,20
"Ibrahima Diallo","Southampton","FRA","MF",NA,22,1,0,0,0,8
"Rúben Dias","Manchester City","POR","DF",NA,24,5,0,0,0,27
"Luis Díaz","Liverpool","COL","FW",NA,24,0,0,0,0,14
"Eric Dier","Tottenham","ENG","DF",NA,27,1,0,0,0,12
"Lucas Digne","Aston Villa","FRA","DF",NA,28,2,0,0,0,18
"Lucas Digne","Everton","FRA","DF",NA,28,4,0,0,0,15
"Issa Diop","West Ham","FRA","DF",NA,24,0,0,0,0,5
"Moussa Djenepo","Southampton","MLI","MF",NA,23,3,0,0,0,9
"Lewis Dobbin","Everton","ENG","FW","MF",18,1,0,0,0,1
"Matt Doherty","Tottenham","IRL","DF",NA,29,0,0,0,0,11
"Abdoulaye Doucouré","Everton","MLI","MF",NA,28,6,0,0,0,39
"Kieran Dowell","Norwich City","ENG","FW","MF",23,0,0,0,0,19
"Cody Drameh","Leeds United","ENG","DF","MF",19,1,0,0,0,2
"Martin Dúbravka","Newcastle Utd","SVK","GK",NA,32,1,0,0,0,0
"Shane Duffy","Brighton","IRL","DF",NA,29,7,0,0,0,15
"Paul Dummett","Newcastle Utd","WAL","DF",NA,29,2,0,0,0,3
"Lewis Dunk","Brighton","ENG","DF",NA,29,3,1,0,1,9
"Ederson","Manchester City","BRA","GK",NA,27,3,0,0,0,1
"Odsonne Édouard","Crystal Palace","FRA","FW",NA,23,4,0,0,0,25
"Anthony Elanga","Manchester Utd","SWE","FW",NA,19,0,0,0,0,8
"Harvey Elliott","Liverpool","ENG","MF",NA,18,0,0,0,0,2
"Mohamed Elneny","Arsenal","EGY","MF",NA,29,1,0,0,0,5
"Mohamed Elyounoussi","Southampton","NOR","MF","FW",26,4,0,0,0,28
"Emerson","Tottenham","BRA","DF","MF",22,5,0,0,0,28
"Christian Eriksen","Brentford","DEN","MF",NA,29,1,0,0,0,5
"Oghenekaro Etebo","Watford","NGA","MF",NA,25,3,0,0,0,8
"Jonny Evans","Leicester City","NIR","DF",NA,33,3,0,0,0,15
"Eberechi Eze","Crystal Palace","ENG","MF","FW",23,1,0,0,0,5
"Łukasz Fabiański","West Ham","POL","GK",NA,36,2,0,0,0,1
"Fabinho","Liverpool","BRA","MF",NA,27,7,0,0,0,40
"Kiko Femenía","Watford","ESP","DF",NA,30,2,0,0,0,12
"Evan Ferguson","Brighton","IRL","MF",NA,16,0,0,0,0,0
"Bruno Fernandes","Manchester Utd","POR","MF",NA,26,10,0,0,0,33
"Álvaro Fernández","Brentford","ESP","GK",NA,23,0,0,0,0,0
"Federico Fernández","Newcastle Utd","ARG","DF",NA,32,0,0,0,0,1
"Fernandinho","Manchester City","BRA","MF","DF",36,1,0,0,0,14
"Roberto Firmino","Liverpool","BRA","FW",NA,29,3,0,0,0,7
"Junior Firpo","Leeds United","DOM","DF","MF",24,11,0,0,0,39
"Ashley Fletcher","Watford","ENG","FW",NA,25,0,0,0,0,1
"Phil Foden","Manchester City","ENG","FW",NA,21,1,0,0,0,15
"Wesley Fofana","Leicester City","FRA","DF",NA,20,2,0,0,0,7
"Pablo Fornals","West Ham","ESP","FW","MF",25,4,0,0,0,24
"Adam Forshaw","Leeds United","ENG","MF",NA,29,5,0,0,0,26
"Marcus Forss","Brentford","FIN","FW","MF",22,0,0,0,0,3
"Fraser Forster","Southampton","ENG","GK",NA,33,1,0,0,0,0
"Ben Foster","Watford","ENG","GK",NA,38,0,0,0,0,1
"Tariqe Fosu","Brentford","GHA","DF",NA,25,0,0,0,0,0
"Ryan Fraser","Newcastle Utd","SCO","FW","MF",27,3,0,0,0,10
"Fred","Manchester Utd","BRA","MF",NA,28,5,0,0,0,31
"Ryan Fredericks","West Ham","ENG","DF",NA,28,1,0,0,0,3
"Leo Fuhr Hjelde","Leeds United","NOR","MF","DF",17,0,0,0,0,1
"Conor Gallagher","Crystal Palace","ENG","MF",NA,21,10,0,0,0,65
"Dwight Gayle","Newcastle Utd","ENG","FW","DF",30,1,0,0,0,2
"Jean-Philippe Gbamin","Everton","CIV","MF",NA,25,0,0,0,0,0
"David de Gea","Manchester Utd","ESP","GK",NA,30,0,0,0,0,0
"Joe Gelhardt","Leeds United","ENG","FW","MF",19,4,0,0,0,17
"Anwar El Ghazi","Aston Villa","NED","FW","MF",26,2,0,0,0,8
"Anwar El Ghazi","Everton","NED","FW","MF",26,0,0,0,0,0
"Saman Ghoddos","Brentford","IRN","MF","DF",27,2,0,0,0,12
"Dimitris Giannoulis","Norwich City","GRE","DF",NA,25,2,0,0,0,16
"Morgan Gibbs-White","Wolves","ENG","DF","FW",21,1,0,0,0,2
"Ben Gibson","Norwich City","ENG","DF",NA,28,5,1,1,2,12
"Bryan Gil","Tottenham","ESP","FW","MF",20,0,0,0,0,1
"Billy Gilmour","Norwich City","SCO","MF",NA,20,2,0,0,0,28
"Ben Godfrey","Everton","ENG","DF",NA,23,6,0,0,0,17
"André Gomes","Everton","POR","MF",NA,28,3,0,0,0,24
"Toti Gomes","Wolves","POR","DF",NA,22,1,0,0,0,2
"Joe Gomez","Liverpool","ENG","DF",NA,24,2,0,0,0,5
"Charlie Goode","Brentford","ENG","DF",NA,25,3,0,0,0,5
"Anthony Gordon","Everton","ENG","MF","FW",20,4,0,0,0,25
"Kaide Gordon","Liverpool","ENG","FW",NA,16,0,0,0,0,1
"Dan Gosling","Watford","ENG","MF",NA,31,0,0,0,0,2
"Demarai Gray","Everton","JAM","MF","FW",25,3,0,0,0,12
"Jack Grealish","Manchester City","ENG","FW",NA,25,3,0,0,0,17
"Mason Greenwood","Manchester Utd","ENG","FW","MF",19,1,0,0,0,15
"Sam Greenwood","Leeds United","ENG","MF","FW",19,0,0,0,0,7
"Pascal Groß","Brighton","GER","MF","DF",30,1,0,0,0,15
"Vicente Guaita","Crystal Palace","ESP","GK",NA,34,2,0,0,0,1
"Marc Guéhi","Crystal Palace","ENG","DF",NA,21,4,0,0,0,14
"Bruno Guimarães","Newcastle Utd","BRA","MF",NA,23,4,0,0,0,13
"İlkay Gündoğan","Manchester City","GER","MF",NA,30,1,0,0,0,13
"Angus Gunn","Norwich City","SCO","GK",NA,25,0,0,0,0,0
"Grant Hanley","Norwich City","SCO","DF",NA,29,2,0,0,0,22
"Jack Harrison","Leeds United","ENG","FW","MF",24,3,0,0,0,29
"Kortney Hause","Aston Villa","ENG","DF",NA,26,0,0,0,0,6
"Kai Havertz","Chelsea","GER","FW","MF",22,3,0,0,0,40
"Isaac Hayden","Newcastle Utd","ENG","MF","DF",26,5,0,0,0,14
