"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Morgan Sanson","Marseille","FRA","MF",NA,25,21,12,57.1428571428571,28,28,32.1,12,0,12,9,5,0
"Baptiste Santamaria","Angers","FRA","MF",NA,25,9,6,66.6666666666667,7,7,28.6,4,0,4,7,8,0
"Pablo Sarabia","Paris S-G","ESP","FW","MF",28,15,11,73.3333333333333,38,38,26.3,9,1,8,5,8,0
"Bouna Sarr","Marseille","SEN","DF",NA,28,1,1,100,1,1,100,1,1,0,1,1,0
"Sidy Sarr","Nîmes","SEN","MF",NA,24,10,6,60,5,5,40,1,1,0,7,4,0
"Téji Savanier","Montpellier","FRA","MF",NA,28,49,33,67.3469387755102,73,73,30.1,28,6,22,38,15,0
"Aurélien Scheidler","Dijon","FRA","FW",NA,22,2,0,0,2,2,0,0,0,0,1,5,0
"Morgan Schneiderlin","Nice","FRA","MF",NA,30,51,31,60.7843137254902,54,54,37,21,11,10,53,46,0
"Malik Sellouki","Nice","FRA","FW","MF",20,0,0,NA,1,1,0,2,0,2,2,0,0
"Jean Seri","Bordeaux","CIV","MF",NA,29,17,9,52.9411764705882,15,15,26.7,8,2,6,12,7,0
"Mahame Siby","Strasbourg","MLI","MF",NA,24,0,0,NA,1,1,0,0,0,0,0,1,0
"Abdoulaye Sidibé","Saint-Étienne","FRA","MF",NA,18,1,1,100,2,2,50,0,0,0,0,0,0
"Djibril Sidibé","Monaco","FRA","DF",NA,28,58,34,58.6206896551724,52,52,71.2,20,5,15,50,37,2
"Kaj Sierhuis","Reims","NED","FW","MF",22,7,2,28.5714285714286,9,9,22.2,2,1,1,2,5,0
"Caio Henrique Oliveira Silva","Monaco","BRA","DF",NA,23,50,34,68,51,51,60.8,20,3,17,16,37,0
"Gabriel Silva","Saint-Étienne","BRA","DF",NA,29,7,6,85.7142857142857,2,2,50,4,1,3,6,8,0
"Mohamed Simakan","Strasbourg","FRA","DF",NA,20,32,22,68.75,18,18,50,17,11,6,31,41,0
"Moses Simon","Nantes","NGA","FW","MF",25,27,14,51.8518518518519,36,36,47.2,24,1,23,15,15,1
"Issouf Sissokho","Bordeaux","MLI","MF","DF",18,6,4,66.6666666666667,6,6,50,2,0,2,1,0,0
"Ibrahima Sissoko","Strasbourg","MLI","MF",NA,22,68,48,70.5882352941177,68,68,41.2,22,5,17,48,44,0
"Nelson Sissoko","Saint-Étienne","FRA","DF",NA,23,12,6,50,12,12,58.3,2,1,1,12,16,1
"Jacques Siwe","Dijon","FRA","FW",NA,19,4,1,25,1,1,0,1,0,1,1,1,0
"Petar Škuletić","Montpellier","SRB","FW","MF",30,3,2,66.6666666666667,5,5,0,4,2,2,0,4,0
"Islam Slimani","Lyon","ALG","FW",NA,32,7,5,71.4285714285714,12,12,25,4,1,3,1,6,0
"Brandon Soppy","Rennes","FRA","DF",NA,18,21,15,71.4285714285714,16,16,62.5,3,0,3,6,12,0
"Florian Sotoca","Lens","FRA","FW",NA,29,31,20,64.5161290322581,22,22,27.3,27,0,27,9,24,0
"Boubakary Soumaré","Lille","FRA","MF",NA,21,44,29,65.9090909090909,29,29,48.3,14,6,8,39,21,0
"Yaya Soumaré","Lyon","FRA","FW",NA,20,1,1,100,2,2,50,0,0,0,2,0,0
"Arnaud Souquet","Montpellier","FRA","DF",NA,28,50,33,66,48,48,56.3,15,6,9,17,34,0
"Saidou Sow","Saint-Étienne","GUI","DF",NA,18,23,12,52.1739130434783,19,19,68.4,12,8,4,14,39,1
"Kevin Strootman","Marseille","NED","MF","FW",30,9,6,66.6666666666667,8,8,50,5,2,3,5,7,0
"Abdoulaye Sylla","Nantes","GUI","DF",NA,20,2,1,50,1,1,100,1,0,1,0,1,0
"Issiaga Sylla","Lens","GUI","DF","MF",26,28,20,71.4285714285714,21,21,52.4,13,3,10,16,21,0
"Eddy Sylvestre","Nice","FRA","FW","MF",20,1,1,100,1,1,0,1,0,1,1,0,0
"Waniss Taibi","Angers","FRA","MF",NA,18,0,0,NA,2,2,0,1,0,1,0,0,0
"Flavien Tait","Rennes","FRA","MF","FW",27,26,11,42.3076923076923,32,32,31.3,17,3,14,13,2,0
"Heriberto Tavares","Brest","POR","FW","MF",23,2,0,0,3,3,33.3,0,0,0,1,1,0
"Warren Tchimbembé","Metz","CGO","MF","FW",22,7,4,57.1428571428571,9,9,33.3,6,1,5,2,3,0
"Aurélien Tchouaméni","Monaco","FRA","MF",NA,20,127,68,53.5433070866142,92,92,52.2,39,11,28,60,47,0
