"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"M'Bala Nzola","Spezia","ANG","FW",NA,25,8,0,0,0,57
"Pedro Obiang","Sassuolo","EQG","MF",NA,30,2,0,0,0,16
"Guillermo Ochoa","Salernitana","MEX","GK",NA,37,1,0,0,0,0
"Marios Oikonomou","Sampdoria","GRE","DF",NA,29,3,0,0,0,3
"David Okereke","Cremonese","NGA","FW","MF",24,4,0,0,0,21
"Caleb Okoli","Atalanta","ITA","DF",NA,21,3,0,0,0,15
"Mathías Olivera","Napoli","URU","DF",NA,24,2,0,0,0,21
"André Onana","Inter","CMR","GK",NA,26,1,0,0,0,0
"Divock Origi","Milan","BEL","FW",NA,27,1,0,0,0,13
"Riccardo Orsolini","Bologna","ITA","FW",NA,25,8,2,1,3,39
"Victor Osimhen","Napoli","NGA","FW",NA,23,4,0,0,0,40
"Remi Oudin","Lecce","FRA","FW","MF",25,3,0,0,0,10
"Adam Ounas","Napoli","ALG","FW",NA,25,0,0,0,0,0
"Simone Pafundi","Udinese","ITA","MF","FW",16,0,0,0,0,0
"Flavio Paoletti","Sampdoria","ITA","MF",NA,19,1,0,0,0,5
"Leandro Paredes","Juventus","ARG","MF",NA,28,7,1,0,1,20
"Fabiano Parisi","Empoli","ITA","DF",NA,21,10,1,0,1,34
"Mario Pašalić","Atalanta","CRO","MF","FW",27,3,0,0,0,24
"Patric","Lazio","ESP","DF",NA,29,1,0,0,0,3
"Rui Patrício","Roma","POR","GK",NA,34,1,0,0,0,1
"Pedro","Lazio","ESP","FW",NA,35,1,0,0,0,26
"Pietro Pellegri","Torino","ITA","FW",NA,21,3,0,0,0,15
"Lorenzo Pellegrini","Roma","ITA","MF",NA,26,5,0,0,0,25
"Luca Pellegrini","Lazio","ITA","DF",NA,23,3,0,0,0,5
"Pepín","Monza","EQG","MF",NA,25,4,0,0,0,19
"Roberto Pereyra","Udinese","ARG","DF","MF",31,7,0,0,0,31
"Nehuén Pérez","Udinese","ARG","DF",NA,22,7,1,0,1,29
"Mattia Perin","Juventus","ITA","GK",NA,29,0,0,0,0,0
"Samuele Perisan","Empoli","ITA","GK",NA,24,0,0,0,0,0
"Matteo Pessina","Monza","ITA","MF",NA,25,6,0,0,0,41
"Andrea Petagna","Monza","ITA","FW",NA,27,2,0,0,0,29
"Giuseppe Pezzella","Lecce","ITA","DF",NA,24,2,0,0,0,16
"Krzysztof Piątek","Salernitana","POL","FW",NA,27,5,0,0,0,39
"Roberto Piccoli","Hellas Verona","ITA","FW",NA,21,0,0,0,0,2
"Roberto Piccoli","Empoli","ITA","FW",NA,21,0,0,0,0,7
"Charles Pickel","Cremonese","COD","MF",NA,25,8,1,0,1,34
"Andrea Pinamonti","Sassuolo","ITA","FW",NA,23,3,1,0,1,21
"Lorenzo Pirola","Salernitana","ITA","DF",NA,20,4,0,0,0,28
"Marko Pjaca","Empoli","CRO","MF","FW",27,1,0,0,0,2
"Tommaso Pobega","Milan","ITA","MF",NA,23,4,0,0,0,30
"Paul Pogba","Juventus","FRA","MF","FW",29,0,0,0,0,2
"Matteo Politano","Napoli","ITA","FW",NA,28,1,0,0,0,11
"Marin Pongračić","Lecce","CRO","DF",NA,24,2,0,0,0,15
"Stefan Posch","Bologna","AUT","DF",NA,25,6,0,0,0,47
"Ivan Provedel","Lazio","ITA","GK",NA,28,1,0,0,0,0
"Ignacio Pussetto","Sampdoria","ARG","MF","DF",26,1,0,0,0,7
"Niklas Pyyhtiä","Bologna","FIN","MF",NA,18,0,0,0,0,0
"Fabio Quagliarella","Sampdoria","ITA","FW",NA,39,2,0,0,0,4
"Giacomo Quagliata","Cremonese","ITA","DF",NA,22,0,1,0,1,13
"Adrien Rabiot","Juventus","FRA","MF",NA,27,9,0,0,0,45
"Nemanja Radonjić","Torino","SRB","MF","FW",26,1,0,0,0,17
"Ivan Radovanović","Salernitana","SRB","MF","DF",33,1,1,0,1,4
"Ionuț Radu","Cremonese","ROU","GK",NA,25,0,0,0,0,0
"Antonio Raimondo","Bologna","ITA","FW",NA,18,0,0,0,0,0
"Luca Ranieri","Fiorentina","ITA","DF",NA,23,1,0,0,0,6
"Andrea Ranocchia","Monza","ITA","DF",NA,34,0,0,0,0,2
"Filippo Ranocchia","Monza","ITA","MF",NA,21,1,0,0,0,7
"Giacomo Raspadori","Napoli","ITA","FW","MF",22,1,0,0,0,7
"Nicola Ravaglia","Sampdoria","ITA","GK",NA,33,0,0,0,0,1
"Ante Rebić","Milan","CRO","FW","MF",28,4,0,0,0,18
"Arkadiusz Reca","Spezia","POL","DF",NA,27,5,0,0,0,32
"Panagiotis Retsos","Hellas Verona","GRE","DF",NA,23,0,0,0,0,4
"Samuele Ricci","Torino","ITA","MF",NA,20,6,0,0,0,22
"Tomás Rincón","Sampdoria","VEN","MF",NA,34,7,1,0,1,58
"Pablo Rodríguez","Lecce","ESP","FW","MF",20,0,0,0,0,1
"Ricardo Rodríguez","Torino","SUI","DF",NA,29,3,0,0,0,25
"Rogério","Sassuolo","BRA","DF",NA,24,5,1,0,1,30
"Filippo Romagna","Sassuolo","ITA","DF",NA,25,0,0,0,0,0
"Alessio Romagnoli","Lazio","ITA","DF",NA,27,6,0,0,0,35
"Simone Romagnoli","Lecce","ITA","DF",NA,32,0,0,0,0,3
"Luka Romero","Lazio","ARG","FW",NA,17,0,0,0,0,3
"Marten de Roon","Atalanta","NED","MF",NA,31,7,0,0,0,46
"Nicolò Rovella","Monza","ITA","MF",NA,20,5,1,0,1,26
"Amir Rrahmani","Napoli","KVX","DF",NA,28,2,0,0,0,22
"Ruan","Sassuolo","BRA","DF",NA,23,13,3,2,5,27
"Daniele Rugani","Juventus","ITA","DF",NA,28,0,0,0,0,5
"Matteo Ruggeri","Atalanta","ITA","DF","MF",20,3,0,0,0,10
"Mário Rui","Napoli","POR","DF",NA,31,2,1,0,1,19
"Abdelhamid Sabiri","Sampdoria","MAR","MF","FW",25,5,0,0,0,28
"Alexis Saelemaekers","Milan","BEL","FW","DF",23,1,0,0,0,23
"Jacopo Sala","Spezia","ITA","MF",NA,30,1,0,0,0,3
"Lazar Samardzic","Udinese","SRB","MF",NA,20,1,0,0,0,26
"Junior Sambia","Salernitana","FRA","DF",NA,25,3,0,0,0,11
"Antonio Sanabria","Torino","PAR","FW",NA,26,4,0,0,0,33
"Leandro Sanca","Spezia","GNB","FW","MF",22,0,0,0,0,0
"Alex Sandro","Juventus","BRA","DF",NA,31,5,1,0,1,27
"Nicola Sansone","Bologna","ITA","FW",NA,30,2,0,0,0,13
"Riccardo Saponara","Fiorentina","ITA","FW",NA,30,4,0,0,0,14
"Mouhamadou Sarr","Cremonese","SEN","GK",NA,25,0,0,0,0,0
"Martin Satriano","Empoli","URU","FW",NA,21,4,0,0,0,20
"Giorgio Scalvini","Atalanta","ITA","DF",NA,18,7,0,0,0,55
"Jerdy Schouten","Bologna","NED","MF",NA,25,3,0,0,0,25
"Perr Schuurs","Torino","NED","DF",NA,22,5,0,0,0,31
"Demba Seck","Torino","SEN","MF","FW",21,0,0,0,0,8
"Jacopo Segre","Torino","ITA","DF",NA,25,0,0,0,0,0
"Vivaldo Semedo","Udinese","POR","FW","MF",17,0,0,0,0,1
"Stefano Sensi","Monza","ITA","MF",NA,26,8,0,0,0,18
"Luigi Sepe","Salernitana","ITA","GK",NA,31,3,0,0,0,1
"Leonardo Sernicola","Cremonese","ITA","DF",NA,25,11,0,0,0,40
"Stephan El Shaarawy","Roma","ITA","DF","MF",29,3,0,0,0,16
"Eldor Shomurodov","Spezia","UZB","FW",NA,27,2,0,0,0,9
"Eldor Shomurodov","Roma","UZB","FW",NA,27,0,0,0,0,1
"Marco Silvestri","Udinese","ITA","GK",NA,31,0,0,0,0,0
"Giovanni Simeone","Napoli","ARG","FW",NA,27,1,0,0,0,7
"Wilfried Singo","Torino","CIV","DF",NA,21,8,0,0,0,42
"Leo Skiri Østigård","Napoli","NOR","DF",NA,22,1,0,0,0,2
"Łukasz Skorupski","Bologna","POL","GK",NA,31,4,0,0,0,1
"Milan Škriniar","Inter","SVK","DF",NA,27,5,1,1,2,35
"Chris Smalling","Roma","ENG","DF",NA,32,7,0,0,0,18
"Ola Solbakken","Roma","NOR","MF","FW",23,2,0,0,0,6
"Brandon Soppy","Udinese","FRA","DF",NA,20,1,0,0,0,2
"Brandon Soppy","Atalanta","FRA","DF",NA,20,2,0,0,0,18
"Roberto Soriano","Bologna","ITA","FW","MF",31,1,0,0,0,20
"Joaquin Sosa","Bologna","URU","DF",NA,20,2,0,0,0,16
"Riccardo Sottil","Fiorentina","ITA","FW",NA,23,1,0,0,0,4
"Matìas Soulé","Juventus","ARG","MF","FW",19,0,0,0,0,3
"Adama Soumaoro","Bologna","FRA","DF",NA,30,5,1,1,2,21
"Leonardo Spinazzola","Roma","ITA","DF",NA,29,3,0,0,0,13
"Marco Sportiello","Atalanta","ITA","GK",NA,30,0,0,0,0,0
"Petar Stojanović","Empoli","SVN","DF",NA,26,3,0,0,0,12
"Gabriel Strefezza","Lecce","BRA","FW","MF",25,5,0,0,0,51
"Dávid Strelec","Spezia","SVK","FW",NA,21,0,0,0,0,4
"Isaac Success","Udinese","NGA","FW",NA,26,4,0,0,0,34
"Ibrahim Sulemana","Hellas Verona","GHA","MF",NA,19,4,0,0,0,11
"Wojciech Szczęsny","Juventus","POL","GK",NA,32,0,0,0,0,0
"Benjamin Tahirovic","Roma","BIH","MF",NA,19,1,0,0,0,5
"Adrien Tameze","Hellas Verona","CMR","MF",NA,28,3,0,0,0,32
"Ciprian Tătărușanu","Milan","ROU","GK",NA,36,0,0,0,0,0
"Filippo Terracciano","Hellas Verona","ITA","DF","MF",19,2,0,0,0,7
"Pietro Terracciano","Fiorentina","ITA","GK",NA,32,1,0,0,0,2
"Aleksa Terzić","Fiorentina","SRB","DF",NA,22,2,0,0,0,4
"Florian Thauvin","Udinese","FRA","FW","MF",29,1,0,0,0,9
"Malick Thiaw","Milan","GER","DF",NA,20,5,0,0,0,14
"Kristian Thorstvedt","Sassuolo","NOR","MF",NA,23,5,0,0,0,18
"Jeremy Toljan","Sassuolo","GER","DF",NA,27,3,0,0,0,10
"Rafael Tolói","Atalanta","ITA","DF",NA,31,8,0,0,0,38
"Fikayo Tomori","Milan","ENG","DF",NA,24,5,0,0,0,28
"Sandro Tonali","Milan","ITA","MF",NA,22,7,0,0,0,35
"William Troost-Ekong","Salernitana","NGA","DF",NA,28,1,0,0,0,7
"Frank Tsadjout","Cremonese","ITA","FW",NA,23,1,0,0,0,22
"Alessandro Tuia","Lecce","ITA","DF",NA,32,1,0,0,0,9
"Martin Turk","Sampdoria","SVN","GK",NA,18,0,0,0,0,0
"Destiny Udogie","Udinese","ITA","DF",NA,19,5,0,0,0,37
"Samuel Umtiti","Lecce","FRA","DF",NA,28,8,0,0,0,32
"Diego Valencia","Salernitana","CHI","MF","FW",22,1,0,0,0,8
"Emanuele Valeri","Cremonese","ITA","DF",NA,23,3,0,0,0,27
"Mattia Valoti","Monza","ITA","MF","FW",28,1,0,0,0,16
"Johan Vásquez","Cremonese","MEX","DF",NA,23,7,0,0,0,21
"Matías Vecino","Lazio","URU","MF",NA,30,6,0,0,0,27
"Miguel Veloso","Hellas Verona","POR","MF",NA,36,6,0,0,0,20
"Lorenzo Venuti","Fiorentina","ITA","DF",NA,27,2,0,0,0,7
"Daniele Verde","Spezia","ITA","FW","MF",26,1,0,0,0,2
"Simone Verdi","Hellas Verona","ITA","MF","FW",30,3,0,0,0,15
"Valerio Verre","Sampdoria","ITA","MF",NA,28,5,0,0,0,14
"Guglielmo Vicario","Empoli","ITA","GK",NA,25,3,0,0,0,0
"Ronaldo Vieira","Torino","ENG","MF",NA,24,0,0,0,0,1
"Ronaldo Vieira","Sampdoria","ENG","MF",NA,24,3,0,0,0,21
"Emanuel Vignato","Bologna","ITA","MF","FW",21,1,0,0,0,3
"Emanuel Vignato","Empoli","ITA","MF","FW",21,0,0,0,0,1
"Samuele Vignato","Monza","ITA","MF","FW",18,0,0,0,0,0
"Tonny Vilhena","Salernitana","NED","MF",NA,27,5,0,0,0,34
"Gonzalo Villar","Sampdoria","ESP","MF",NA,24,2,0,0,0,17
"Matías Viña","Roma","URU","DF",NA,24,0,0,0,0,4
"Dušan Vlahović","Juventus","SRB","FW",NA,22,1,0,0,0,19
"Nikola Vlašić","Torino","CRO","MF","FW",24,1,0,0,0,32
"Joel Voelkerling Persson","Lecce","SWE","FW","MF",19,0,0,0,0,3
"Mërgim Vojvoda","Torino","KVX","DF",NA,27,3,0,0,0,19
"Cristian Volpato","Roma","ITA","MF",NA,18,0,0,0,0,7
"Lukáš Vorlický","Atalanta","CZE","MF","FW",20,0,0,0,0,0
"Aster Vranckx","Milan","BEL","MF",NA,19,1,0,0,0,6
"Stefan de Vrij","Inter","NED","DF",NA,30,4,0,0,0,15
"Walace","Udinese","BRA","MF",NA,27,6,0,0,0,40
"Sebastian Walukiewicz","Empoli","POL","DF",NA,22,0,0,0,0,5
"Georginio Wijnaldum","Roma","NED","MF",NA,31,0,0,0,0,3
"Harry Winks","Sampdoria","ENG","MF",NA,26,2,0,0,0,15
"Przemysław Wiśniewski","Spezia","POL","DF",NA,24,3,0,0,0,13
"Gerard Yepes","Sampdoria","ESP","MF",NA,19,2,0,0,0,7
"Mattia Zaccagni","Lazio","ITA","FW",NA,27,9,0,0,0,53
"Nicola Zalewski","Roma","POL","DF",NA,20,3,0,0,0,22
"Andre-Frank Zambo Anguissa","Napoli","CMR","MF",NA,26,3,0,0,0,44
"Luca Zanimacchia","Cremonese","ITA","MF","FW",24,2,0,0,0,9
"Nicolò Zaniolo","Roma","ITA","MF","FW",23,4,0,0,0,22
"Alessandro Zanoli","Sampdoria","ITA","DF",NA,21,3,0,0,0,4
"Alessandro Zanoli","Napoli","ITA","DF",NA,21,0,0,0,0,0
"Mattia Zanotti","Inter","ITA","DF",NA,19,0,0,0,0,2
"Duván Zapata","Atalanta","COL","FW",NA,31,1,0,0,0,17
"Davide Zappacosta","Atalanta","ITA","DF",NA,30,4,0,0,0,18
"Karim Zedadka","Napoli","FRA","FW",NA,22,0,0,0,0,0
"Marvin Zeegelaar","Udinese","NED","DF",NA,31,3,1,1,2,13
"Alessio Zerbin","Napoli","ITA","FW",NA,23,1,0,0,0,9
"Piotr Zieliński","Napoli","POL","MF",NA,28,3,0,0,0,21
"David Zima","Torino","CZE","DF",NA,21,0,0,0,0,4
"Joshua Zirkzee","Bologna","NED","FW",NA,21,1,0,0,0,8
"Nadir Zortea","Atalanta","ITA","DF","MF",23,1,0,0,0,4
"Nadir Zortea","Sassuolo","ITA","DF",NA,23,4,0,0,0,11
"Szymon Żurkowski","Fiorentina","POL","MF",NA,24,0,0,0,0,1
"Szymon Żurkowski","Spezia","POL","MF",NA,24,1,0,0,0,15
"Milan Đurić","Hellas Verona","BIH","FW",NA,32,3,0,0,0,24
"Filip Đuričić","Sampdoria","SRB","MF","FW",30,9,0,0,0,38
