"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Gleison Bremer","Juventus","BRA","DF",NA,25,6,0,0,0,29
"Dylan Bronn","Salernitana","TUN","DF",NA,27,5,1,0,1,29
"Marcelo Brozović","Inter","CRO","MF",NA,29,8,0,0,0,24
"Cristian Buonaiuto","Cremonese","ITA","MF","FW",29,3,0,0,0,17
"Alessandro Buongiorno","Torino","ITA","DF",NA,23,8,0,0,0,64
"Arthur Cabral","Fiorentina","BRA","FW",NA,24,4,0,0,0,26
"Liberato Cacace","Empoli","NZL","DF",NA,21,1,0,0,0,9
"Davide Calabria","Milan","ITA","DF",NA,25,6,0,0,0,16
"Mattia Caldara","Spezia","ITA","DF",NA,28,6,0,0,0,16
"Luca Caldirola","Monza","ITA","DF",NA,31,6,0,0,0,30
"Hakan Çalhanoğlu","Inter","TUR","MF",NA,28,3,0,0,0,46
"Mohamed Camara","Roma","GUI","MF",NA,25,3,0,0,0,15
"Nicolò Cambiaghi","Empoli","ITA","FW","MF",21,5,1,1,2,25
"Andrea Cambiaso","Bologna","ITA","DF",NA,22,2,0,0,0,26
"Matteo Cancellieri","Lazio","ITA","FW",NA,20,4,0,0,0,14
"Antonio Candreva","Salernitana","ITA","MF","DF",35,3,1,1,2,7
"Gianluca Caprari","Monza","ITA","MF","FW",29,7,0,0,0,34
"Francesco Caputo","Sampdoria","ITA","FW",NA,34,0,0,0,0,5
"Francesco Caputo","Empoli","ITA","FW",NA,34,1,0,0,0,13
"Andrea Carboni","Monza","ITA","DF",NA,21,0,0,0,0,1
"Franco Carboni","Monza","ITA","DF","FW",19,0,0,0,0,2
"Valentin Carboni","Inter","ARG","MF","DF",17,0,0,0,0,0
"Marco Carnesecchi","Cremonese","ITA","GK",NA,22,1,0,0,0,0
"Nicolò Casale","Lazio","ITA","DF",NA,24,6,0,0,0,22
"Michele Castagnetti","Cremonese","ITA","MF",NA,32,2,0,0,0,16
"Gaetano Castrovilli","Fiorentina","ITA","MF",NA,25,3,0,0,0,12
"Danilo Cataldi","Lazio","ITA","MF",NA,27,5,0,0,0,12
"Federico Ceccherini","Hellas Verona","ITA","DF",NA,30,9,1,0,1,31
"Assan Ceesay","Lecce","GAM","FW",NA,28,2,0,0,0,36
"Emil Ceide","Sassuolo","NOR","FW",NA,20,0,0,0,0,4
"Zeki Çelik","Roma","TUR","DF",NA,25,7,1,1,2,26
"Federico Chiesa","Juventus","ITA","DF","MF",24,2,0,0,0,13
"Vlad Chiricheș","Cremonese","ROU","DF",NA,32,2,0,0,0,16
"Daniel Ciofani","Cremonese","ITA","FW",NA,37,1,0,0,0,9
"Tio Cipot","Spezia","SVN","FW","MF",19,0,0,0,0,1
"Patrick Ciurria","Monza","ITA","DF","MF",27,4,0,0,0,32
"Omar Colley","Sampdoria","GAM","DF",NA,29,5,0,0,0,15
"Lorenzo Colombo","Lecce","ITA","FW",NA,20,4,0,0,0,36
"Andrea Colpani","Monza","ITA","MF",NA,23,1,0,0,0,22
"Andrea Consigli","Sassuolo","ITA","GK",NA,35,0,0,0,0,0
"Diego Coppola","Hellas Verona","ITA","DF",NA,18,5,0,0,0,10
"Joaquín Correa","Inter","ARG","FW",NA,27,1,0,0,0,12
"Alessandro Cortinovis","Hellas Verona","ITA","MF",NA,21,0,0,0,0,0
"Lassana Coulibaly","Salernitana","MLI","MF",NA,26,12,0,0,0,53
"Bryan Cristante","Roma","ITA","MF","DF",27,8,1,0,1,52
"Domen Črnigoj","Salernitana","SVN","MF",NA,26,1,0,0,0,6
"Juan Cuadrado","Juventus","COL","DF","FW",34,6,1,0,1,33
"Mickaël Cuisance","Sampdoria","FRA","MF",NA,22,1,0,0,0,8
"Marco D'Alessandro","Monza","ITA","DF","FW",31,2,0,0,0,6
"Danilo D'Ambrosio","Inter","ITA","DF",NA,33,3,1,0,1,16
"Luca D'Andrea","Sassuolo","ITA","FW",NA,17,0,0,0,0,4
"Flavius Daniliuc","Salernitana","AUT","DF",NA,21,9,0,0,0,33
"Danilo","Juventus","BRA","DF",NA,31,5,0,0,0,33
"Matteo Darmian","Inter","ITA","DF",NA,32,3,0,0,0,21
"Juan David Cabal","Hellas Verona","COL","DF",NA,21,3,0,0,0,7
"Paweł Dawidowicz","Hellas Verona","POL","DF",NA,27,6,1,0,1,37
"Charles De Ketelaere","Milan","BEL","MF","FW",21,2,0,0,0,19
"Manuel De Luca","Sampdoria","ITA","FW","MF",24,0,0,0,0,3
"Tommaso De Nipoti","Atalanta","ITA","MF",NA,19,0,0,0,0,0
"Mattia De Sciglio","Juventus","ITA","DF",NA,29,0,0,0,0,4
"Lorenzo De Silvestri","Bologna","ITA","DF",NA,34,1,0,0,0,6
"Koni De Winter","Empoli","BEL","DF",NA,20,3,0,0,0,13
"Grégoire Defrel","Sassuolo","MTQ","FW",NA,31,3,0,0,0,14
"Merih Demiral","Atalanta","TUR","DF",NA,24,5,0,0,0,13
"Diego Demme","Napoli","GER","MF",NA,30,0,0,0,0,2
"Fabio Depaoli","Hellas Verona","ITA","DF",NA,25,7,0,0,0,43
"Fabio Depaoli","Sampdoria","ITA","DF","MF",25,1,0,0,0,1
"Cyriel Dessers","Cremonese","NGA","FW",NA,27,3,0,0,0,34
"Sergiño Dest","Milan","USA","DF",NA,21,0,0,0,0,6
"Mattia Destro","Empoli","ITA","FW","MF",31,3,0,0,0,12
"Gerard Deulofeu","Udinese","ESP","FW",NA,28,1,0,0,0,8
"Samuel Di Carmine","Cremonese","ITA","FW","MF",33,0,0,0,0,0
"Federico Di Francesco","Lecce","ITA","FW","MF",28,5,0,0,0,43
"Michele Di Gregorio","Monza","ITA","GK",NA,25,0,0,0,0,0
"Giovanni Di Lorenzo","Napoli","ITA","DF",NA,28,2,0,0,0,31
"Ángel Di María","Juventus","ARG","FW","MF",34,1,1,0,1,6
"Boulaye Dia","Salernitana","SEN","FW","MF",25,4,0,0,0,28
"Brahim Díaz","Milan","MAR","MF","FW",22,3,0,0,0,29
"Federico Dimarco","Inter","ITA","DF",NA,24,0,0,0,0,12
"Koffi Djidji","Torino","CIV","DF",NA,29,3,0,0,0,27
"Berat Djimsiti","Atalanta","ALB","DF",NA,29,3,0,0,0,15
"Dodô","Fiorentina","BRA","DF",NA,23,5,1,1,2,28
"Josh Doig","Hellas Verona","SCO","DF",NA,20,1,0,0,0,14
"Nicolás Domínguez","Bologna","ARG","MF",NA,24,10,0,0,0,43
"Giulio Donati","Monza","ITA","DF",NA,32,4,2,1,3,7
"Bartłomiej Drągowski","Spezia","POL","GK",NA,24,1,0,0,0,0
"Ondrej Duda","Hellas Verona","SVK","MF",NA,27,4,0,0,0,17
"Denzel Dumfries","Inter","NED","DF",NA,26,4,0,0,0,31
"Alfred Duncan","Fiorentina","GHA","MF",NA,29,3,0,0,0,26
"Paulo Dybala","Roma","ARG","MF","FW",28,5,0,0,0,10
"Edin Džeko","Inter","BIH","FW",NA,36,3,0,0,0,26
"Festy Ebosele","Udinese","IRL","DF",NA,19,4,0,0,0,11
"Enzo Ebosse","Udinese","CMR","DF",NA,23,3,0,0,0,9
"Tyronne Ebuehi","Empoli","NGA","DF",NA,26,0,0,0,0,12
"Éderson","Atalanta","BRA","MF",NA,23,4,0,0,0,28
"Kingsley Ehizibue","Udinese","NED","DF",NA,27,7,0,0,0,33
"Albin Ekdal","Spezia","SWE","MF",NA,33,6,1,1,2,32
"Emmanuel Ekong","Empoli","SWE","FW","MF",20,0,0,0,0,0
"Mikael Ellertsson","Spezia","ISL","MF","DF",20,3,0,0,0,6
"Elif Elmas","Napoli","MKD","FW","MF",22,5,0,0,0,22
"Martin Erlic","Sassuolo","CRO","DF",NA,24,2,0,0,0,21
"Gonzalo Escalante","Cremonese","ARG","MF",NA,29,0,1,0,1,6
"Salvatore Esposito","Spezia","ITA","MF",NA,21,5,1,1,2,11
"Nicolò Fagioli","Juventus","ITA","MF",NA,21,3,0,0,0,20
"Wladimiro Falcone","Lecce","ITA","GK",NA,27,2,0,0,0,1
"Davide Faraoni","Hellas Verona","ITA","DF",NA,30,7,0,0,0,21
"Federico Fazio","Salernitana","ARG","DF",NA,35,2,1,0,1,11
"Jacopo Fazzini","Empoli","ITA","MF",NA,19,4,0,0,0,20
"Lewis Ferguson","Bologna","SCO","MF","FW",22,4,0,0,0,50
"Alex Ferrari","Sampdoria","ITA","DF",NA,28,3,0,0,0,12
"Alex Ferrari","Cremonese","ITA","DF",NA,28,3,0,0,0,8
"Salvador Ferrer","Spezia","ESP","DF",NA,24,0,0,0,0,2
"Alessandro Florenzi","Milan","ITA","DF",NA,31,1,0,0,0,2
"Davide Frattesi","Sassuolo","ITA","MF",NA,22,4,0,0,0,39
"Matteo Gabbia","Milan","ITA","DF",NA,22,2,0,0,0,8
"Manolo Gabbiadini","Sampdoria","ITA","FW","MF",30,6,0,0,0,41
"Roberto Gagliardini","Inter","ITA","MF",NA,28,5,1,1,2,20
"Adolfo Gaich","Hellas Verona","ARG","FW",NA,23,2,0,0,0,17
"Pablo Galdames Millán","Cremonese","CHI","MF",NA,25,2,0,0,0,13
"Antonino Gallo","Lecce","ITA","DF",NA,22,5,1,1,2,13
"Federico Gatti","Juventus","ITA","DF",NA,24,4,0,0,0,16
"Valentin Gendrey","Lecce","FRA","DF",NA,22,4,0,0,0,23
"Paolo Ghiglione","Cremonese","ITA","DF",NA,25,4,0,0,0,16
"Mario Gila","Lazio","ESP","DF",NA,21,0,0,0,0,1
"Gvidas Gineitis","Torino","LTU","MF",NA,18,2,0,0,0,6
"Olivier Giroud","Milan","FRA","FW",NA,35,8,1,1,2,38
"Joan Gonzàlez","Lecce","ESP","MF",NA,20,8,0,0,0,36
"Nicolás González","Fiorentina","ARG","FW","MF",24,3,0,0,0,16
"Robin Gosens","Inter","GER","DF",NA,28,2,0,0,0,17
"Alberto Grassi","Empoli","ITA","MF",NA,27,3,0,0,0,22
