"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Alexis Saelemaekers","Milan","BEL","FW","DF",23,3,5,0,0,35,10,28.6,0.06,0.2,20.7,0,63,42,21,6,5,1
"Alfred Duncan","Fiorentina","GHA","MF",NA,29,0,1,0,0,9,2,22.2,0.11,0.5,24.1,0,39,32,7,5,3,2
"Amir Rrahmani","Napoli","KVX","DF",NA,28,1,3,0,0,21,3,14.3,0.1,0.67,13.4,0,26,23,3,4,4,0
"André Onana","Inter","CMR","GK",NA,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,6,2,0,0,0
"Andre-Frank Zambo Anguissa","Napoli","CMR","MF",NA,26,5,8,0,0,50,15,30,0.06,0.2,18.1,1,79,67,12,9,9,0
"Andrea Barberis","Monza","ITA","MF",NA,28,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,10,9,1,2,1,1
"Andrea Belotti","Roma","ITA","FW",NA,28,2,2,1,0,19,9,47.4,0,0,12.7,0,27,22,5,3,3,0
"Andrea Cambiaso","Bologna","ITA","DF",NA,22,3,3,0,0,17,5,29.4,0,0,20.5,0,55,43,12,7,7,0
"Andrea Carboni","Monza","ITA","DF",NA,21,0,0,0,0,1,1,100,0,0,10.8,0,3,3,0,0,0,0
"Andrea Colpani","Monza","ITA","MF",NA,23,1,5,0,0,25,10,40,0.16,0.4,19.1,0,38,23,15,2,1,1
"Andrea Consigli","Sassuolo","ITA","GK",NA,35,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,5,1,0,0,0
"Andrea Conti","Sampdoria","ITA","DF",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andrea Petagna","Monza","ITA","FW",NA,27,5,9,1,1,35,12,34.3,0.09,0.25,13.2,0,41,32,9,7,3,4
"Andrea Pinamonti","Sassuolo","ITA","FW",NA,23,0,5,1,1,66,21,31.8,0.06,0.19,15.3,0,53,34,19,3,0,3
"Andrea Ranocchia","Monza","ITA","DF",NA,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andrew Gravillon","Torino","GLP","DF",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Ángel Di María","Juventus","ARG","FW","MF",34,4,8,1,1,37,12,32.4,0.08,0.25,21.5,1,83,45,38,7,5,2
"Ante Rebić","Milan","CRO","FW","MF",28,2,5,0,0,27,13,48.1,0.11,0.23,16,2,34,23,11,3,3,0
"Antonín Barák","Fiorentina","CZE","MF",NA,27,0,2,0,0,32,7,21.9,0.06,0.29,17.7,0,44,35,9,1,1,0
"Antonín Barák","Fiorentina","CZE","MF",NA,27,0,2,0,0,32,7,21.9,0.06,0.29,17.7,0,0,0,0,0,0,0
"Antonín Barák","Hellas Verona","CZE","MF",NA,27,0,0,0,0,32,7,21.9,0.06,0.29,17.7,0,44,35,9,1,1,0
"Antonín Barák","Hellas Verona","CZE","MF",NA,27,0,0,0,0,32,7,21.9,0.06,0.29,17.7,0,0,0,0,0,0,0
"Antonino Gallo","Lecce","ITA","DF",NA,22,1,1,0,0,10,2,20,0,0,25.8,0,64,50,14,1,1,0
"Antonio Candreva","Salernitana","ITA","MF","DF",35,4,11,0,0,46,20,43.5,0.15,0.35,22.2,3,99,67,32,11,9,2
"Antonio Iervolino","Salernitana","ITA","MF",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,1,0
"Antonio Mirante","Milan","ITA","GK",NA,39,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Antonio Raimondo","Bologna","ITA","FW",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Antonio Sanabria","Torino","PAR","FW",NA,26,4,16,1,1,67,24,35.8,0.16,0.46,13.5,0,50,41,9,5,5,0
"Ardian Ismajli","Empoli","ALB","DF",NA,25,0,0,0,0,9,2,22.2,0,0,12,0,11,9,2,0,0,0
"Arkadiusz Milik","Juventus","POL","FW",NA,28,1,8,1,0,43,22,51.2,0.16,0.32,14.2,2,36,20,16,3,2,1
"Arkadiusz Reca","Spezia","POL","DF",NA,27,1,2,0,0,22,8,36.4,0.05,0.13,23.7,0,50,39,11,2,1,1
"Armand Lauriente","Sassuolo","FRA","FW",NA,23,6,13,1,1,55,21,38.2,0.11,0.29,20.4,10,113,78,35,12,7,5
"Armando Izzo","Monza","ITA","DF",NA,30,0,1,0,0,16,4,25,0.06,0.25,10.4,0,26,22,4,1,0,1
"Arthur Cabral","Fiorentina","BRA","FW",NA,24,1,9,2,2,52,20,38.5,0.12,0.3,13.1,0,36,26,10,2,1,1
"Assan Ceesay","Lecce","GAM","FW",NA,28,0,6,1,1,41,10,24.4,0.12,0.5,14.7,0,37,25,12,6,2,4
"Aster Vranckx","Milan","BEL","MF",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0
"Axel Guessand","Udinese","FRA","DF",NA,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Bartłomiej Drągowski","Spezia","POL","GK",NA,24,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,7,6,1,2,2,0
"Bartosz Bereszyński","Napoli","POL","DF",NA,30,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,1,0
"Bartosz Bereszyński","Napoli","POL","DF",NA,30,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,8,6,2,0,0,0
"Bartosz Bereszyński","Sampdoria","POL","DF",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,1,0
"Bartosz Bereszyński","Sampdoria","POL","DF",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,6,2,0,0,0
"Benjamin Tahirovic","Roma","BIH","MF",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,6,0,0,0,0
"Berat Djimsiti","Atalanta","ALB","DF",NA,29,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,10,8,2,4,3,1
"Beto","Udinese","GNB","FW",NA,24,1,11,1,1,60,20,33.3,0.15,0.45,13.7,0,49,31,18,4,3,1
"Boulaye Dia","Salernitana","SEN","FW","MF",25,6,22,1,1,47,21,44.7,0.32,0.71,15,0,64,53,11,9,8,1
"Brahim Díaz","Milan","MAR","MF","FW",22,7,13,0,0,35,16,45.7,0.17,0.38,14.5,1,96,69,27,18,8,10
"Bram Nuytinck","Udinese","NED","DF",NA,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,5,1,1,1,0
"Bram Nuytinck","Udinese","NED","DF",NA,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0
"Bram Nuytinck","Sampdoria","NED","DF",NA,32,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,6,5,1,1,1,0
"Bram Nuytinck","Sampdoria","NED","DF",NA,32,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0
"Brandon Soppy","Udinese","FRA","DF",NA,20,0,0,0,0,2,1,50,0,0,18.5,0,22,17,5,6,5,1
"Brandon Soppy","Udinese","FRA","DF",NA,20,0,0,0,0,2,1,50,0,0,18.5,0,4,2,2,0,0,0
"Brandon Soppy","Udinese","FRA","DF",NA,20,0,0,0,0,7,2,28.6,0,0,18.9,0,22,17,5,6,5,1
"Brandon Soppy","Udinese","FRA","DF",NA,20,0,0,0,0,7,2,28.6,0,0,18.9,0,4,2,2,0,0,0
"Brandon Soppy","Atalanta","FRA","DF",NA,20,3,3,0,0,2,1,50,0,0,18.5,0,22,17,5,6,5,1
"Brandon Soppy","Atalanta","FRA","DF",NA,20,3,3,0,0,2,1,50,0,0,18.5,0,4,2,2,0,0,0
"Brandon Soppy","Atalanta","FRA","DF",NA,20,3,3,0,0,7,2,28.6,0,0,18.9,0,22,17,5,6,5,1
"Brandon Soppy","Atalanta","FRA","DF",NA,20,3,3,0,0,7,2,28.6,0,0,18.9,0,4,2,2,0,0,0
"Brian Bayeye","Torino","COD","DF",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0
"Bruno Amione","Sampdoria","ARG","DF",NA,20,1,2,0,0,12,2,16.7,0.08,0.5,11.5,0,0,0,0,0,0,0
"Bruno Amione","Sampdoria","ARG","DF",NA,20,1,2,0,0,12,2,16.7,0.08,0.5,11.5,0,12,6,6,2,1,1
