"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Ander Barrenetxea","Real Sociedad","ESP","MF","FW",18,0,3,0,0,23,7,30.4,0.13,0.43,19.4,0,34,26,8,4,4,0
"Ander Capa","Athletic Club","ESP","DF",NA,28,1,3,0,0,12,6,50,0.17,0.33,14.2,0,45,37,8,3,2,1
"Ander Guevara","Real Sociedad","ESP","MF",NA,23,1,2,0,0,9,2,22.2,0.11,0.5,22.1,0,36,33,3,4,3,1
"Andoni Gorosabel","Real Sociedad","ESP","DF",NA,23,1,1,0,0,9,2,22.2,0,0,20,0,56,44,12,4,4,0
"Andrés Fernández","Huesca","ESP","GK",NA,33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andrés Guardado","Betis","MEX","MF",NA,33,0,1,0,0,11,5,45.5,0.09,0.2,24.3,0,26,25,1,1,1,0
"Ángel","Granada","ESP","GK",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Ángel Correa","Atlético Madrid","ARG","FW","MF",25,8,17,0,0,52,23,44.2,0.17,0.39,17.4,0,86,65,21,15,10,5
"Ángel Montoro","Granada","ESP","MF",NA,32,1,2,1,1,14,1,7.1,0,0,33.6,3,50,28,22,2,1,1
"Ángel Rodríguez","Getafe","ESP","FW","MF",33,0,5,2,1,36,12,33.3,0.11,0.33,16.9,0,31,19,12,2,1,1
"Ansu Fati","Barcelona","ESP","FW",NA,17,0,4,0,0,14,7,50,0.29,0.57,15.5,0,21,13,8,4,2,2
"Ante Budimir","Osasuna","CRO","FW",NA,29,0,11,0,0,47,21,44.7,0.23,0.52,12.2,0,26,16,10,2,1,1
"Ante Palaversa","Getafe","CRO","MF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0
"Anthony Lozano","Cádiz","HON","FW",NA,27,1,4,0,0,35,14,40,0.09,0.21,13.7,0,42,21,21,5,3,2
"Antoine Griezmann","Barcelona","FRA","FW","MF",29,7,20,2,1,69,32,46.4,0.17,0.38,14.7,0,95,80,15,11,8,3
"Antonio Barragán","Elche","ESP","DF",NA,33,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,27,21,6,7,4,3
"Antonio Blanco","Real Madrid","ESP","MF","FW",20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0
"Antonio Puertas","Granada","ESP","FW","MF",28,5,8,0,0,26,11,42.3,0.12,0.27,16.8,0,46,33,13,6,5,1
"Antonio Sanabria","Betis","PAR","FW",NA,24,0,3,0,0,25,12,48,0.12,0.25,11.7,0,20,16,4,3,3,0
"Antonio Sivera","Alavés","ESP","GK",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
