"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Milot Rashica","Werder Bremen","KVX","FW",NA,23,2,0,0,0,28
"Ante Rebić","Eint Frankfurt","CRO","FW","MF",25,1,0,0,0,5
"Fabian Reese","Schalke 04","GER","FW",NA,21,0,0,0,0,0
"Ken Reichel","Union Berlin","GER","DF",NA,32,0,0,0,0,9
"Karim Rekik","Hertha BSC","NED","DF",NA,24,0,0,0,0,9
"Panagiotis Retsos","Leverkusen","GRE","DF",NA,20,0,0,0,0,1
"Marco Reus","Dortmund","GER","MF","FW",30,1,0,0,0,17
"Elvis Rexhbeçaj","Köln","KVX","MF",NA,21,3,0,0,0,8
"Gio Reyna","Dortmund","USA","MF","FW",16,2,0,0,0,4
"Lucas Ribeiro","Hoffenheim","BRA","MF",NA,20,1,0,0,0,1
"Chris Richards","Bayern Munich","USA","DF",NA,19,0,0,0,0,0
"Marco Richter","Augsburg","GER","MF","FW",21,2,0,0,0,32
"Marlon Ritter","Paderborn 07","GER","MF",NA,24,3,0,0,0,4
"Sebastian Rode","Eint Frankfurt","GER","MF",NA,28,6,0,0,0,40
"Jérôme Roussillon","Wolfsburg","FRA","DF",NA,26,4,0,0,0,18
"Sebastian Rudy","Hoffenheim","GER","MF","DF",29,9,0,0,0,27
"Lukas Rupp","Hoffenheim","GER","MF",NA,28,0,0,0,0,10
"Julian Ryerson","Union Berlin","NOR","DF","MF",21,2,0,0,0,8
"Frederik Rønnow","Eint Frankfurt","DEN","GK",NA,26,0,0,0,0,0
"Victor Sá","Wolfsburg","BRA","MF","FW",25,4,0,0,0,26
"Abdelhamid Sabiri","Paderborn 07","MAR","MF",NA,22,6,0,0,0,27
"Marcel Sabitzer","RB Leipzig","AUT","MF","FW",25,4,0,0,0,20
"Nuri Şahin","Werder Bremen","TUR","MF",NA,30,5,1,1,2,22
"Roland Sallai","Freiburg","HUN","MF","FW",22,2,0,0,0,30
"Lazar Samardzic","Hertha BSC","SRB","MF","FW",17,0,0,0,0,0
"Diadie Samassékou","Hoffenheim","MLI","MF",NA,23,4,0,0,0,18
"Jadon Sancho","Dortmund","ENG","FW","MF",19,2,0,0,0,9
"Salif Sané","Schalke 04","SEN","DF",NA,28,3,0,0,0,11
"Marcelo Saracchi","RB Leipzig","URU","DF",NA,21,1,0,0,0,1
"Josh Sargent","Werder Bremen","USA","FW",NA,19,2,0,0,0,22
"Louis Schaub","Köln","AUT","MF",NA,24,0,0,0,0,7
"Patrik Schick","RB Leipzig","CZE","FW",NA,23,3,0,0,0,16
"Julian Schieber","Augsburg","GER","FW",NA,30,1,0,0,0,2
"Kingsley Schindler","Köln","GHA","FW","MF",26,0,0,0,0,12
"Xaver Schlager","Wolfsburg","AUT","MF",NA,21,4,0,0,0,33
"Keven Schlotterbeck","Union Berlin","GER","DF",NA,22,6,1,0,1,21
"Nico Schlotterbeck","Freiburg","GER","DF",NA,19,0,0,0,0,6
"Marcel Schmelzer","Dortmund","GER","DF",NA,31,0,0,0,0,1
"Jonathan Schmid","Freiburg","FRA","DF",NA,29,1,0,0,0,13
"Manuel Schmiedebach","Union Berlin","GER","MF",NA,30,0,0,0,0,5
"Benno Schmitz","Köln","GER","DF",NA,24,1,0,0,0,23
"Sebastian Schonlau","Paderborn 07","GER","DF",NA,24,2,0,0,0,20
"Alessandro Schöpf","Schalke 04","AUT","MF",NA,25,3,0,0,0,20
"Markus Schubert","Schalke 04","GER","GK",NA,21,0,0,0,0,0
"Nico Schulz","Dortmund","GER","DF","MF",26,0,0,0,0,12
"Alexander Schwolow","Freiburg","GER","GK",NA,27,0,0,0,0,0
"Davie Selke","Hertha BSC","GER","FW",NA,24,3,0,0,0,26
"Davie Selke","Werder Bremen","GER","FW",NA,24,3,0,0,0,13
"Suat Serdar","Schalke 04","GER","MF",NA,22,2,0,0,0,29
"André Silva","Eint Frankfurt","POR","FW",NA,23,1,0,0,0,14
"Sarpreet Singh","Bayern Munich","NZL","FW","MF",20,0,0,0,0,3
"Daley Sinkgraven","Leverkusen","NED","DF","MF",24,1,0,0,0,12
"Ellyes Skhiri","Köln","TUN","MF",NA,24,4,0,0,0,35
"Robert Skov","Hoffenheim","DEN","DF","FW",23,4,0,0,0,21
"Steven Skrzybski","Düsseldorf","GER","FW","MF",26,0,0,0,0,3
"Lasse Sobiech","Köln","GER","DF",NA,28,1,0,0,0,2
"Marcel Sobottka","Düsseldorf","GER","MF",NA,25,2,0,0,0,17
"Yann Sommer","Gladbach","SUI","GK",NA,30,0,0,0,0,0
"Djibril Sow","Eint Frankfurt","SUI","MF",NA,22,2,0,0,0,37
"Dennis Srbeny","Paderborn 07","GER","FW","MF",25,2,0,0,0,18
"Jerry St. Juste","Mainz 05","NED","DF",NA,22,7,0,0,0,22
"Kostas Stafylidis","Hoffenheim","GRE","DF",NA,25,0,0,0,0,6
"Benjamin Stambouli","Schalke 04","FRA","DF",NA,28,2,0,0,0,9
"Niklas Stark","Hertha BSC","GER","DF",NA,24,8,0,0,0,26
"Renato Steffen","Wolfsburg","SUI","MF","FW",27,6,0,0,0,33
"Zack Steffen","Düsseldorf","USA","GK",NA,24,0,0,0,0,0
"Lars Stindl","Gladbach","GER","MF","FW",30,4,0,0,0,21
"Kevin Stöger","Düsseldorf","AUT","MF",NA,25,3,0,0,0,29
"Tobias Strobl","Gladbach","GER","MF","DF",29,1,0,0,0,12
"Christian Strohdiek","Paderborn 07","GER","DF",NA,31,3,0,0,0,10
"Neven Subotić","Union Berlin","SRB","DF",NA,30,3,1,1,2,17
"Marek Suchý","Augsburg","CZE","DF",NA,31,1,0,0,0,4
"Niklas Süle","Bayern Munich","GER","DF",NA,23,1,0,0,0,6
"Markus Suttner","Düsseldorf","AUT","DF",NA,32,3,0,0,0,14
"Ádám Szalai","Mainz 05","HUN","FW",NA,31,1,0,0,0,23
"Jonathan Tah","Leverkusen","GER","DF",NA,23,4,1,0,1,29
"Edmond Tapsoba","Leverkusen","BFA","DF",NA,20,2,0,0,0,13
"Bernard Tekpetey","Düsseldorf","GHA","FW","MF",21,4,0,0,0,14
"Lino Tempelmann","Freiburg","GER","MF",NA,20,0,0,0,0,1
"Simon Terodde","Köln","GER","FW",NA,31,4,0,0,0,25
"Malick Thiaw","Schalke 04","GER","DF",NA,17,0,0,0,0,1
"Jan Thielmann","Köln","GER","FW","MF",17,2,0,0,0,7
"Erik Thommy","Düsseldorf","GER","MF","FW",24,3,0,0,0,17
"Marcus Thuram","Gladbach","FRA","FW",NA,21,3,0,0,0,52
"Marcel Tisserand","Wolfsburg","COD","DF",NA,26,8,1,1,2,26
"Jean-Clair Todibo","Schalke 04","FRA","DF",NA,19,2,0,0,0,6
"Corentin Tolisso","Bayern Munich","FRA","MF",NA,24,0,0,0,0,6
"Ömer Toprak","Werder Bremen","TUR","DF",NA,30,2,0,0,0,6
"Lucas Torró","Eint Frankfurt","ESP","MF",NA,25,5,1,1,2,6
"Jordan Torunarigha","Hertha BSC","GER","DF",NA,21,3,0,0,0,17
"Almamy Touré","Eint Frankfurt","MLI","DF",NA,23,2,0,0,0,18
"Kevin Trapp","Eint Frankfurt","GER","GK",NA,29,1,0,0,0,0
"Christopher Trimmel","Union Berlin","AUT","DF","MF",32,6,0,0,0,35
"Anthony Ujah","Union Berlin","NGA","FW","MF",28,0,0,0,0,20
"Dayot Upamecano","RB Leipzig","FRA","DF",NA,20,8,1,1,2,27
"Mark Uth","Köln","GER","MF","FW",27,5,0,0,0,21
"Mark Uth","Schalke 04","GER","FW","MF",27,0,0,0,0,8
"Ruben Vargas","Augsburg","SUI","FW","MF",20,8,0,0,0,41
"Sebastian Vasiliadis","Paderborn 07","GRE","MF",NA,21,10,0,0,0,49
"Miloš Veljković","Werder Bremen","SRB","DF",NA,23,7,0,0,0,21
"Birger Verstraete","Köln","BEL","MF",NA,25,3,0,0,0,13
"Kevin Vogt","Hoffenheim","GER","DF",NA,27,2,0,0,0,9
"Kevin Vogt","Werder Bremen","GER","DF","MF",27,3,0,0,0,20
"Kevin Volland","Leverkusen","GER","FW",NA,27,3,0,0,0,21
"Luca Waldschmidt","Freiburg","GER","FW","MF",23,3,0,0,0,16
"Wout Weghorst","Wolfsburg","NED","FW",NA,26,7,0,0,0,46
"Julian Weigl","Dortmund","GER","MF","DF",23,4,0,0,0,8
"Mitchell Weiser","Leverkusen","GER","DF","MF",25,3,0,0,0,18
"Wendell","Leverkusen","BRA","DF","MF",26,6,1,1,2,31
"Oscar Wendt","Gladbach","SWE","DF",NA,33,3,0,0,0,14
"Timo Werner","RB Leipzig","GER","FW",NA,23,4,0,0,0,18
"Felix Wiedwald","Eint Frankfurt","GER","GK",NA,29,0,0,0,0,0
"William","Wolfsburg","BRA","DF",NA,24,0,0,0,0,30
"Florian Wirtz","Leverkusen","GER","FW",NA,16,0,0,0,0,7
"Axel Witsel","Dortmund","BEL","MF",NA,30,4,0,0,0,38
"Hannes Wolf","RB Leipzig","AUT","FW","MF",20,0,0,0,0,2
"Marius Wolf","Hertha BSC","GER","FW","MF",24,2,1,1,2,15
"Nick Woltemade","Werder Bremen","GER","FW","MF",17,0,0,0,0,2
"Dan-Axel Zagadou","Dortmund","FRA","DF",NA,20,1,0,0,0,6
"Denis Zakaria","Gladbach","SUI","MF","DF",22,7,0,0,0,24
"Robin Zentner","Mainz 05","GER","GK",NA,24,1,0,0,0,0
"Jean Zimmer","Düsseldorf","GER","DF","FW",25,2,0,0,0,11
"Matthias Zimmermann","Düsseldorf","GER","DF","MF",27,4,0,0,0,37
"Leopold Zingerle","Paderborn 07","GER","GK",NA,25,1,0,0,0,0
"Joshua Zirkzee","Bayern Munich","NED","FW",NA,18,0,0,0,0,2
"Ben Zolinski","Paderborn 07","GER","FW","MF",27,3,0,0,0,25
"Steven Zuber","Hoffenheim","SUI","DF","FW",27,1,0,0,0,8
