"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Jacob Bruun Larsen","Hoffenheim","DEN","FW","MF",20,0,0,0,0,2
"Jacob Bruun Larsen","Dortmund","DEN","FW",NA,20,0,0,0,0,1
"Marius Bülter","Union Berlin","GER","MF","FW",26,1,0,0,0,33
"Guido Burgstaller","Schalke 04","AUT","FW",NA,30,3,0,0,0,21
"Jonathan Burkardt","Mainz 05","GER","FW","MF",19,0,0,0,0,2
"Roman Bürki","Dortmund","SUI","GK",NA,28,0,0,0,0,0
"Daniel Caligiuri","Schalke 04","ITA","MF","FW",31,5,0,0,0,25
"Emre Can","Dortmund","GER","MF","DF",25,5,0,0,0,14
"Koen Casteels","Wolfsburg","BEL","GK",NA,27,1,0,0,0,0
"Timothy Chandler","Eint Frankfurt","USA","DF","MF",29,4,0,0,0,16
"Kwon Chang-hoon","Freiburg","KOR","MF","FW",25,0,0,0,0,4
"Per Ciljan Skjelbred","Hertha BSC","NOR","MF",NA,32,4,0,0,0,22
"Jamilu Collins","Paderborn 07","NGA","DF",NA,24,9,1,1,2,45
"Kingsley Coman","Bayern Munich","FRA","FW","MF",23,2,0,0,0,11
"Jhon Córdoba","Köln","COL","FW",NA,26,5,0,0,0,57
"Sergio Córdova","Augsburg","VEN","FW",NA,21,0,0,0,0,6
"Danny da Costa","Eint Frankfurt","GER","DF","FW",26,0,0,0,0,7
"Philippe Coutinho","Bayern Munich","BRA","MF","FW",27,0,0,0,0,5
"Mickaël Cuisance","Bayern Munich","FRA","MF","FW",19,1,0,0,0,11
"Matheus Cunha","Hertha BSC","BRA","FW","MF",20,3,0,0,0,25
"Matheus Cunha","RB Leipzig","BRA","FW","MF",20,0,0,0,0,9
"Rafael Czichos","Köln","GER","DF",NA,29,4,1,1,2,25
"Moanes Dabbur","Hoffenheim","ISR","FW",NA,27,4,0,0,0,23
"Mahmoud Dahoud","Dortmund","GER","MF",NA,23,1,0,0,0,12
"Vladimír Darida","Hertha BSC","CZE","MF",NA,28,8,1,1,2,38
"Alphonso Davies","Bayern Munich","CAN","DF",NA,18,4,1,1,2,25
"Thomas Delaney","Dortmund","DEN","MF",NA,27,4,0,0,0,20
"Kerem Demirbay","Leverkusen","GER","MF",NA,26,4,1,1,2,24
"Diego Demme","RB Leipzig","GER","MF",NA,27,3,0,0,0,19
"Moussa Diaby","Leverkusen","FRA","FW","MF",20,3,0,0,0,13
"Javairô Dilrosun","Hertha BSC","NED","MF","FW",21,2,0,0,0,6
"Ji Dong-won","Mainz 05","KOR","FW","MF",28,1,0,0,0,3
"Bas Dost","Eint Frankfurt","NED","FW",NA,30,2,0,0,0,16
"Mohamed Dräger","Paderborn 07","TUN","DF",NA,23,2,0,0,0,16
"Aleksandar Dragović","Leverkusen","AUT","DF",NA,28,7,1,1,2,17
"Dominick Drexler","Köln","GER","MF","FW",29,5,0,0,0,26
"Ondrej Duda","Hertha BSC","SVK","MF",NA,24,2,0,0,0,12
"Erik Durm","Eint Frankfurt","GER","DF","FW",27,0,0,0,0,4
"Johannes Eggestein","Werder Bremen","GER","MF","FW",21,3,1,1,2,8
"Maximilian Eggestein","Werder Bremen","GER","MF",NA,22,6,0,0,0,34
"Kingsley Ehizibue","Köln","NED","DF",NA,24,6,1,0,1,55
"Nico Elvedi","Gladbach","SUI","DF",NA,22,5,0,0,0,22
"Breel Embolo","Gladbach","SUI","FW","MF",22,4,0,0,0,42
"Alexander Esswein","Hertha BSC","GER","FW","MF",29,1,0,0,0,5
"Antony Evans","Paderborn 07","ENG","MF","DF",20,0,0,0,0,5
"Simon Falette","Eint Frankfurt","GUI","DF",NA,27,0,0,0,0,0
"Ohis Felix Uduokhai","Augsburg","GER","DF",NA,21,3,0,0,0,14
"Edimilson Fernandes","Mainz 05","SUI","MF","DF",23,7,1,1,2,19
"Gelson Fernandes","Eint Frankfurt","SUI","MF",NA,32,5,1,1,2,25
"Oliver Fink","Düsseldorf","GER","MF","FW",37,2,0,0,0,13
"Alfreð Finnbogason","Augsburg","ISL","FW",NA,30,1,0,0,0,14
"Mark Flekken","Freiburg","NED","GK",NA,26,0,0,0,0,1
"Emil Forsberg","RB Leipzig","SWE","MF",NA,27,1,0,0,0,12
"Raphael Framberger","Augsburg","GER","DF",NA,23,3,0,0,0,17
"Mike Frantz","Freiburg","GER","MF",NA,32,2,0,0,0,7
"Marco Friedl","Werder Bremen","AUT","DF","MF",21,9,0,0,0,32
"Marvin Friedrich","Union Berlin","GER","DF",NA,23,11,1,1,2,38
"Samúel Friðjónsson","Paderborn 07","ISL","MF",NA,23,1,0,0,0,2
"Niclas Füllkrug","Werder Bremen","GER","FW",NA,26,2,0,0,0,10
"Mijat Gaćinović","Eint Frankfurt","SRB","MF","FW",24,2,0,0,0,19
"Theodor Gebre Selassie","Werder Bremen","CZE","DF","MF",32,2,0,0,0,25
"Dennis Geiger","Hoffenheim","GER","MF",NA,21,3,0,0,0,26
"Christian Gentner","Union Berlin","GER","MF",NA,33,4,0,0,0,31
"Yannick Gerhardt","Wolfsburg","GER","MF",NA,25,1,0,0,0,10
"Niko Gießelmann","Düsseldorf","GER","DF",NA,27,6,0,0,0,26
"Rafał Gikiewicz","Union Berlin","POL","GK",NA,31,0,0,0,0,2
"Daniel Ginczek","Wolfsburg","GER","FW",NA,28,2,0,0,0,9
"Matthias Ginter","Gladbach","GER","DF",NA,25,2,0,0,0,12
"Klaus Gjasula","Paderborn 07","ALB","MF",NA,29,17,0,0,0,50
"Serge Gnabry","Bayern Munich","GER","FW","MF",24,0,0,0,0,15
"Akaki Gogia","Union Berlin","GER","MF","FW",27,0,0,0,0,2
"Benjamin Goller","Werder Bremen","GER","FW","MF",20,0,0,0,0,4
"Jérôme Gondorf","Freiburg","GER","MF",NA,31,1,0,0,0,4
