"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Andrej Kramarić","Hoffenheim","CRO","FW","MF",28,54,59,115,440,549,80.1,215,250,86,29,46,63,161,196,82.1,28,22,3,510,36,3,1,2,27,7,2,3,682,35,23,65.7,12,34.3
"Angeliño","RB Leipzig","ESP","DF","FW",22,24,56,92,574,767,74.8,282,324,87,56,117,47.9,208,262,79.4,19,22,7,613,151,19,1,5,80,102,30,3,881,25,20,80,5,20
"Anthony Modeste","Köln","FRA","FW",NA,31,10,16,62,126,232,54.3,69,108,63.9,8,19,42.1,42,83,50.6,3,4,0,195,35,1,2,1,6,0,0,2,358,10,9,90,1,10
"Anthony Ujah","Union Berlin","NGA","FW","MF",28,12,22,65,154,273,56.4,91,139,65.5,8,20,40,35,68,51.5,11,2,0,262,9,0,0,0,7,1,0,2,363,15,8,53.3,7,46.7
"Antony Evans","Paderborn 07","ENG","MF","DF",20,1,6,11,41,65,63.1,15,20,75,11,22,50,12,19,63.2,4,3,2,51,14,3,0,2,16,1,10,0,91,5,2,40,3,60
"Arne Maier","Hertha BSC","GER","MF",NA,20,11,36,15,267,328,81.4,92,107,86,47,62,75.8,120,139,86.3,10,5,0,315,13,4,0,1,15,1,8,0,375,6,6,100,0,0
"Axel Witsel","Dortmund","BEL","MF",NA,30,26,148,35,1690,1802,93.8,870,912,95.4,85,105,81,676,699,96.7,15,9,1,1746,55,46,3,13,7,9,0,1,1992,26,22,84.6,4,15.4
"Aymen Barkok","Düsseldorf","MAR","FW","MF",21,0,3,3,17,29,58.6,11,19,57.9,2,4,50,4,6,66.7,0,1,0,29,0,0,0,2,0,0,0,0,42,1,0,0,1,100
"Bas Dost","Eint Frankfurt","NED","FW",NA,30,2,42,72,271,460,58.9,150,240,62.5,14,25,56,83,145,57.2,19,5,0,446,13,0,1,3,1,0,0,1,573,4,2,50,2,50
"Bastian Oczipka","Schalke 04","GER","DF",NA,30,102,136,95,1355,1790,75.7,681,762,89.4,132,287,46,515,642,80.2,42,32,12,1377,403,72,0,4,147,258,73,10,2118,68,38,55.9,30,44.1
"Ben Zolinski","Paderborn 07","GER","FW","MF",27,18,28,77,269,367,73.3,156,184,84.8,15,23,65.2,72,101,71.3,14,4,0,347,17,0,2,5,4,5,0,3,503,13,7,53.8,6,46.2
"Benito Raman","Schalke 04","BEL","FW",NA,24,32,22,89,220,346,63.6,122,169,72.2,19,34,55.9,64,92,69.6,15,7,2,309,34,1,0,7,19,11,1,3,516,40,24,60,16,40
"Benjamin Goller","Werder Bremen","GER","FW","MF",20,16,4,22,63,99,63.6,44,55,80,2,6,33.3,12,21,57.1,2,0,0,88,9,1,0,0,4,3,0,2,148,28,14,50,14,50
"Benjamin Hübner","Hoffenheim","GER","DF",NA,30,23,128,7,1367,1589,86,575,606,94.9,141,240,58.8,641,715,89.7,8,13,1,1526,59,49,4,15,6,9,0,4,1859,7,4,57.1,3,42.9
"Benjamin Pavard","Bayern Munich","FRA","DF",NA,23,70,224,145,2187,2512,87.1,1078,1175,91.7,158,239,66.1,891,993,89.7,19,34,16,2267,242,34,0,9,73,208,0,3,2791,26,13,50,13,50
"Benjamin Stambouli","Schalke 04","FRA","DF",NA,28,9,37,2,352,459,76.7,103,122,84.4,49,88,55.7,198,231,85.7,0,3,0,445,11,11,1,2,2,0,0,3,559,8,6,75,2,25
"Benno Schmitz","Köln","GER","DF",NA,24,19,84,47,530,760,69.7,235,274,85.8,80,163,49.1,205,282,72.7,15,17,11,600,155,10,1,4,33,145,0,5,883,5,1,20,4,80
"Bernard Tekpetey","Düsseldorf","GHA","FW","MF",21,21,18,35,61,103,59.2,31,50,62,9,11,81.8,20,31,64.5,5,4,3,97,6,0,0,0,14,5,0,0,188,25,9,36,16,64
"Birger Verstraete","Köln","BEL","MF",NA,25,4,27,7,181,252,71.8,65,75,86.7,26,57,45.6,86,108,79.6,10,4,1,200,50,28,0,2,32,0,22,2,333,8,5,62.5,3,37.5
"Brandon Borrello","Freiburg","AUS","MF","FW",24,6,2,23,50,68,73.5,25,34,73.5,1,3,33.3,24,29,82.8,2,0,0,68,0,0,1,0,4,0,0,0,132,9,5,55.6,4,44.4
"Breel Embolo","Gladbach","SUI","FW","MF",22,35,43,120,288,384,75,176,210,83.8,14,19,73.7,80,101,79.2,21,17,1,358,19,1,4,0,3,0,0,7,654,76,41,53.9,35,46.1
"Can Bozdogan","Schalke 04","GER","MF",NA,18,5,12,6,52,74,70.3,27,31,87.1,5,13,38.5,16,20,80,1,0,0,73,1,1,0,1,0,0,0,0,106,12,9,75,3,25
"Carlos Gruezo","Augsburg","ECU","MF",NA,24,5,34,7,257,313,82.1,94,105,89.5,43,63,68.3,109,122,89.3,3,1,0,304,8,7,0,9,1,1,0,1,377,7,3,42.9,4,57.1
"Cauly Oliveira Souza","Paderborn 07","BRA","MF","FW",23,16,24,34,169,249,67.9,97,113,85.8,15,49,30.6,42,57,73.7,10,7,0,189,59,15,0,2,39,8,36,1,359,30,18,60,12,40
"Charles Aránguiz","Leverkusen","CHI","MF",NA,30,14,155,19,1385,1628,85.1,712,772,92.2,116,170,68.2,511,579,88.3,23,8,0,1577,42,37,2,8,13,1,4,9,1861,24,14,58.3,10,41.7
"Christian Gentner","Union Berlin","GER","MF",NA,33,23,109,71,743,1054,70.5,392,493,79.5,52,107,48.6,248,333,74.5,27,24,8,985,61,20,2,2,29,4,0,8,1385,24,15,62.5,9,37.5
"Christian Groß","Werder Bremen","GER","DF","MF",30,13,28,1,413,483,85.5,157,168,93.5,31,46,67.4,220,253,87,2,1,1,466,13,10,0,1,3,3,0,4,607,15,10,66.7,5,33.3
"Christian Günter","Freiburg","GER","DF",NA,26,113,119,217,1144,1655,69.1,531,640,83,115,302,38.1,479,616,77.8,81,59,45,1166,481,63,3,12,274,335,83,8,1930,45,15,33.3,30,66.7
"Christian Strohdiek","Paderborn 07","GER","DF",NA,31,5,45,2,495,678,73,132,161,82,111,191,58.1,248,301,82.4,11,3,0,626,47,39,2,26,5,8,0,5,870,2,2,100,0,0
"Christoph Baumgartner","Hoffenheim","AUT","MF","FW",19,39,35,105,344,496,69.4,197,241,81.7,17,39,43.6,110,149,73.8,18,9,1,457,34,2,0,2,17,6,8,5,753,48,24,50,24,50
"Christoph Kramer","Gladbach","GER","MF",NA,28,16,81,13,788,932,84.5,429,482,89,59,86,68.6,257,298,86.2,9,10,1,892,36,33,1,3,7,2,1,4,1092,20,14,70,6,30
"Christopher Antwi-Adjei","Paderborn 07","GHA","MF","FW",25,114,68,155,593,854,69.4,326,395,82.5,52,96,54.2,184,268,68.7,42,28,8,703,145,6,1,9,69,107,31,6,1153,70,35,50,35,50
"Christopher Lenz","Union Berlin","GER","DF","MF",24,48,79,80,836,1177,71,433,498,86.9,82,180,45.6,288,398,72.4,24,20,10,855,318,9,0,4,64,309,0,4,1489,38,23,60.5,15,39.5
"Christopher Nkunku","RB Leipzig","FRA","MF","FW",21,86,94,184,661,841,78.6,381,427,89.2,63,128,49.2,167,207,80.7,74,32,3,700,138,33,5,3,121,22,80,3,1118,90,55,61.1,35,38.9
"Christopher Trimmel","Union Berlin","AUT","DF","MF",32,47,85,69,1085,1593,68.1,502,577,87,166,395,42,380,515,73.8,67,23,19,1032,553,97,1,7,267,334,122,8,1904,31,22,71,9,29
"Claudio Pizarro","Werder Bremen","PER","FW","MF",40,2,9,21,58,87,66.7,36,40,90,3,5,60,14,23,60.9,5,8,1,84,3,0,1,0,2,1,0,0,122,6,3,50,3,50
"Corentin Tolisso","Bayern Munich","FRA","MF",NA,24,13,87,41,493,555,88.8,233,253,92.1,55,70,78.6,184,196,93.9,13,10,1,542,12,9,2,11,7,2,0,1,630,11,7,63.6,4,36.4
"Daichi Kamada","Eint Frankfurt","JPN","MF","FW",22,63,119,138,568,772,73.6,290,342,84.8,66,126,52.4,190,242,78.5,37,18,3,673,96,19,4,3,89,6,59,3,1011,58,39,67.2,19,32.8
"Daley Sinkgraven","Leverkusen","NED","DF","MF",24,18,41,29,621,741,83.8,282,311,90.7,54,93,58.1,265,301,88,9,7,1,654,83,8,3,3,19,73,2,4,838,19,13,68.4,6,31.6
"Dan-Axel Zagadou","Dortmund","FRA","DF",NA,20,7,51,3,759,834,91,274,289,94.8,102,128,79.7,375,400,93.8,6,0,0,818,15,12,0,11,1,3,0,1,947,7,6,85.7,1,14.3
"Dani Olmo","RB Leipzig","ESP","MF","FW",21,15,46,57,262,361,72.6,154,178,86.5,18,37,48.6,61,85,71.8,9,13,2,340,17,4,4,2,17,2,10,4,469,15,6,40,9,60
"Daniel Baier","Augsburg","GER","MF",NA,35,7,77,12,667,897,74.4,299,371,80.6,82,134,61.2,263,329,79.9,10,6,0,859,32,27,1,6,5,5,0,6,1093,14,10,71.4,4,28.6
"Daniel Brosinski","Mainz 05","GER","DF",NA,31,43,77,88,662,1073,61.7,244,295,82.7,135,311,43.4,273,413,66.1,55,33,9,708,356,57,0,5,173,218,81,9,1268,18,8,44.4,10,55.6
"Daniel Caligiuri","Schalke 04","ITA","MF","FW",31,66,105,131,626,1001,62.5,327,427,76.6,66,138,47.8,197,305,64.6,40,27,2,832,160,64,3,4,123,30,66,9,1394,77,42,54.5,35,45.5
"Daniel Ginczek","Wolfsburg","GER","FW",NA,28,11,16,66,133,203,65.5,82,115,71.3,9,12,75,31,51,60.8,9,3,0,187,16,0,1,2,4,3,0,0,286,12,6,50,6,50
"Danny da Costa","Eint Frankfurt","GER","DF","FW",26,40,52,144,417,636,65.6,202,255,79.2,43,82,52.4,162,240,67.5,22,28,19,522,109,1,1,2,83,108,0,5,800,40,23,57.5,17,42.5
"Danny Latza","Mainz 05","GER","MF",NA,29,12,72,24,495,626,79.1,200,246,81.3,56,87,64.4,225,258,87.2,20,12,2,598,28,18,1,7,10,5,4,0,806,28,18,64.3,10,35.7
"David Abraham","Eint Frankfurt","ARG","DF",NA,33,18,99,12,738,911,81,249,287,86.8,105,156,67.3,379,445,85.2,2,8,2,857,52,22,0,12,9,30,0,2,1075,9,7,77.8,2,22.2
"David Alaba","Bayern Munich","AUT","DF",NA,27,69,285,42,2263,2516,89.9,861,908,94.8,232,322,72,1128,1208,93.4,19,22,5,2397,115,55,5,14,29,56,4,4,2691,9,7,77.8,2,22.2
"Davie Selke","Werder Bremen","GER","FW",NA,24,8,8,44,88,141,62.4,54,84,64.3,0,2,0,21,32,65.6,4,2,0,132,9,0,0,0,3,0,0,0,352,12,5,41.7,7,58.3
