"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Álvaro Jiménez","Cádiz","ESP","MF","FW",26,11,5,19,43,72,59.7,26,32,81.3,6,13,46.2,9,19,47.4,2,4,2,66,6,0,0,0,23,3,3,0,112,15,8,53.3,7,46.7
"Álvaro Negredo","Cádiz","ESP","FW",NA,35,20,50,104,321,542,59.2,167,249,67.1,44,68,64.7,87,147,59.2,22,9,3,509,32,0,4,12,15,3,0,1,758,34,21,61.8,13,38.2
"Alvaro Sanz","Barcelona","ESP","MF",NA,20,0,1,0,11,13,84.6,5,6,83.3,0,1,0,6,6,100,1,0,0,12,1,0,0,0,0,1,0,0,14,1,0,0,1,100
"Amath","Mallorca","SEN","FW","MF",25,18,19,58,159,202,78.7,89,107,83.2,7,8,87.5,44,54,81.5,6,5,1,196,5,0,2,0,7,3,1,1,326,31,15,48.4,16,51.6
"Ander Barrenetxea","Real Sociedad","ESP","FW","MF",19,20,22,72,129,184,70.1,74,90,82.2,5,12,41.7,43,61,70.5,6,10,0,184,0,0,1,1,8,0,0,0,275,37,15,40.5,22,59.5
"Ander Guevara","Real Sociedad","ESP","MF",NA,24,8,48,11,525,611,85.9,233,264,88.3,41,49,83.7,240,265,90.6,6,4,0,594,13,13,1,4,0,0,0,4,693,4,3,75,1,25
"Ander Martin","Real Sociedad","ESP","FW","MF",20,3,2,7,36,49,73.5,25,29,86.2,1,5,20,7,9,77.8,2,1,0,44,5,2,2,0,5,1,2,0,71,4,1,25,3,75
"Andoni Gorosabel","Real Sociedad","ESP","DF",NA,24,51,99,110,1199,1453,82.5,675,729,92.6,56,117,47.9,413,508,81.3,22,27,13,1172,281,26,0,1,63,252,3,0,1676,34,18,52.9,16,47.1
"Andrés Guardado","Betis","MEX","MF",NA,34,13,95,17,798,954,83.6,333,372,89.5,119,176,67.6,328,367,89.4,10,7,0,903,46,32,1,14,9,13,1,5,1108,10,6,60,4,40
"Andrés Martín","Rayo Vallecano","ESP","FW","MF",22,1,4,5,21,35,60,12,17,70.6,0,2,0,9,13,69.2,0,1,0,30,5,1,0,0,2,0,1,0,54,3,1,33.3,2,66.7
"Ángel Correa","Atlético Madrid","ARG","FW","MF",26,38,65,149,465,638,72.9,300,353,85,17,42,40.5,97,146,66.4,25,15,1,608,27,2,6,1,34,2,15,3,901,55,32,58.2,23,41.8
"Ángel Montoro","Granada","ESP","MF",NA,33,4,71,20,493,664,74.2,196,229,85.6,80,151,53,205,249,82.3,23,11,1,574,89,51,1,11,45,1,27,1,801,3,0,0,3,100
"Ángel Rodríguez","Mallorca","ESP","FW","MF",34,23,27,85,187,263,71.1,106,133,79.7,13,25,52,43,56,76.8,13,10,2,251,11,0,2,2,10,1,0,1,442,23,13,56.5,10,43.5
"Ansu Fati","Barcelona","ESP","FW",NA,18,20,9,49,133,160,83.1,84,92,91.3,2,3,66.7,23,29,79.3,2,6,1,148,10,2,1,1,3,1,4,2,222,14,4,28.6,10,71.4
"Ante Budimir","Osasuna","CRO","FW",NA,30,19,23,90,204,358,57,130,205,63.4,7,13,53.8,48,76,63.2,10,6,1,335,18,0,2,1,7,3,0,5,606,31,11,35.5,20,64.5
"Anthony Lozano","Cádiz","HON","FW","MF",28,43,25,84,175,282,62.1,107,151,70.9,10,21,47.6,44,69,63.8,10,6,3,266,16,1,3,2,26,1,0,0,525,59,36,61,23,39
"Anthony Martial","Sevilla","FRA","FW","MF",25,14,11,43,129,158,81.6,76,91,83.5,7,9,77.8,32,36,88.9,2,4,1,151,7,0,0,1,6,1,0,0,219,16,7,43.8,9,56.3
"Antoine Griezmann","Barcelona","FRA","FW",NA,30,5,11,15,544,704,77.3,315,373,84.5,35,61,57.4,143,186,76.9,26,12,0,653,46,12,5,8,34,7,22,5,890,29,19,65.5,10,34.5
"Antoine Griezmann","Barcelona","FRA","FW",NA,30,5,11,15,544,704,77.3,315,373,84.5,35,61,57.4,143,186,76.9,26,12,0,653,46,12,5,8,34,7,22,5,143,7,3,42.9,4,57.1
"Antoine Griezmann","Barcelona","FRA","FW",NA,30,5,11,15,544,704,77.3,315,373,84.5,35,61,57.4,143,186,76.9,26,12,0,99,2,2,0,3,0,0,0,0,890,29,19,65.5,10,34.5
