"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Krzysztof Piątek","Fiorentina","POL","FW",NA,26,1995,14,733,52,21.4,9,71,1,5,18,1.5,7,11,74038,3850000
"Lautaro Martínez","Inter","ARG","FW",NA,23,1997,35,2282,65,66.7,28,76,4,7,22,2.14,60,25,213654,11110000
"Leo Štulac","Empoli","SVN","MF",NA,26,1994,23,833,36,24.4,8,67,1,15,20,1.39,14,21,30962,1610000
"Leonardo Bonucci","Juventus","ITA","DF",NA,34,1987,24,2005,84,58.6,22,89,21,2,19,1.54,32,28,231538,12040000
"Leonardo Capezzi","Salernitana","ITA","MF",NA,26,1995,5,175,35,5.1,2,65,0,3,15,0.8,3,6,21346,1110000
"Leonardo Mancuso","Empoli","ITA","FW",NA,29,1992,8,425,53,12.4,5,67,0,3,29,0.5,2,9,49808,2590000
"Leonardo Pavoletti","Cagliari","ITA","FW",NA,32,1988,33,1518,46,44.4,14,80,5,19,21,0.79,14,30,49808,2590000
"Leonardo Spinazzola","Roma","ITA","DF",NA,28,1993,3,127,42,3.7,2,63,0,1,1,1.33,3,1,106923,5560000
"Liam Henderson","Empoli","SCO","MF",NA,25,1996,38,2020,53,59.1,23,76,9,15,19,1.08,31,44,28462,1480000
"Liberato Cacace","Empoli","NZL","DF",NA,20,2000,10,466,47,13.6,5,77,2,5,17,0.9,5,9,5577,290000
"Lorenzo De Silvestri","Bologna","ITA","DF",NA,33,1988,31,2294,74,67.1,27,82,18,4,21,1.23,30,44,32115,1670000
"Lorenzo Insigne","Napoli","ITA","FW",NA,30,1991,32,2290,72,67,28,76,4,4,42,2.16,51,21,163846,8520000
"Lorenzo Pellegrini","Roma","ITA","MF",NA,25,1996,28,2289,82,66.9,27,84,15,1,32,1.64,40,30,142500,7410000
"Lorenzo Tonelli","Empoli","ITA","DF",NA,31,1990,14,870,62,25.4,8,82,7,6,36,1.21,14,19,35577,1850000
"Lorenzo Venuti","Fiorentina","ITA","DF",NA,26,1995,23,1571,68,45.9,20,77,11,3,14,1.87,26,21,14231,740000
"Luca Ceppitelli","Cagliari","ITA","DF",NA,31,1989,24,1445,60,42.3,16,82,9,8,16,0.79,14,31,35577,1850000
"Luca Fiordilino","Venezia","ITA","MF",NA,25,1996,15,661,44,19.3,5,69,1,10,32,0.8,5,14,4231,220000
"Luca Pellegrini","Juventus","ITA","DF",NA,22,1999,18,1107,62,32.4,15,68,4,3,28,2.22,21,8,46346,2410000
"Luca Ranieri","Salernitana","ITA","DF",NA,22,1999,27,2103,78,61.5,25,81,10,2,34,0.81,20,47,21346,1110000
"Lucas Leiva","Lazio","BRA","MF",NA,34,1987,35,1697,48,49.6,19,74,5,16,19,1.77,36,27,81923,4260000
"Lucas Martínez Quarta","Fiorentina","ARG","DF",NA,25,1996,20,1431,72,41.8,16,85,13,4,19,1.6,26,23,24615,1280000
"Lucas Torreira","Fiorentina","URU","MF",NA,25,1996,31,2195,71,64.2,26,81,12,5,20,1.52,42,32,74038,3850000
"Luis Alberto","Lazio","ESP","MF",NA,28,1992,34,2353,69,68.8,27,80,11,7,29,1.74,51,35,89038,4630000
"Luis Muriel","Atalanta","COL","FW","MF",30,1991,27,1539,57,45,17,71,2,10,33,1.44,31,21,44423,2310000
"Luiz Felipe","Lazio","ITA","DF",NA,24,1997,31,2491,80,72.8,28,87,22,3,21,1.61,51,39,28462,1480000
"Luka Bogdan","Salernitana","CRO","DF",NA,25,1996,6,399,67,11.7,4,90,4,2,20,0,1,17,12885,670000
"Lys Mousset","Salernitana","FRA","MF","FW",25,1996,6,160,27,4.7,2,52,0,4,14,0.83,4,6,29615,1540000
"M'Bala Nzola","Spezia","ANG","FW",NA,24,1996,21,1068,51,31.2,10,87,8,11,18,0.95,12,20,14231,740000
"Mamadou Coulibaly","Salernitana","SEN","MF",NA,22,1999,12,808,67,23.6,9,82,5,3,24,0.67,7,17,15000,780000
"Manolo Gabbiadini","Sampdoria","ITA","FW","MF",29,1991,18,1140,63,33.3,15,73,5,3,16,0.94,15,19,27115,1410000
"Manolo Portanova","Genoa","ITA","FW","MF",21,2000,24,1322,55,38.7,17,67,2,7,27,0.79,5,15,21346,1110000
"Manuel Lazzari","Lazio","ITA","DF",NA,27,1993,31,1665,54,48.7,16,81,9,15,25,1.61,39,30,53462,2780000
"Manuel Locatelli","Juventus","ITA","MF",NA,23,1998,31,2160,70,63.2,23,83,15,8,31,1.74,37,22,106923,5560000
"Marash Kumbulla","Roma","ALB","DF",NA,21,2000,17,1025,60,30,13,79,8,4,1,2.18,15,11,64038,3330000
"Marco Benassi","Fiorentina","ITA","DF","MF",26,1994,6,158,26,4.6,1,64,0,5,19,0.5,2,4,39231,2040000
"Marco Benassi","Empoli","ITA","MF",NA,26,1994,12,382,32,11.2,3,64,0,9,21,0.42,2,10,39231,2040000
"Marco Modolo","Venezia","ITA","DF",NA,32,1989,6,392,65,11.5,4,90,4,2,16,1.17,4,6,10769,560000
"Mario Pašalić","Atalanta","CRO","MF","FW",26,1995,37,2002,54,58.5,24,74,5,13,18,1.57,41,19,35577,1850000
"Marko Arnautović","Bologna","AUT","FW",NA,32,1989,33,2694,82,78.8,32,84,20,1,13,1.24,35,43,66538,3460000
"Marko Pjaca","Torino","CRO","MF",NA,26,1995,24,1149,48,33.6,13,72,4,11,20,1.38,16,17,53462,2780000
"Marko Rog","Cagliari","CRO","MF",NA,26,1995,8,311,39,9.1,2,57,0,6,33,0.63,2,5,53462,2780000
"Marten de Roon","Atalanta","NED","MF","DF",30,1991,30,2548,85,74.5,28,88,26,2,37,1.67,53,39,35577,1850000
"Martin Hongla","Hellas Verona","CMR","MF",NA,23,1998,18,651,36,19,7,72,2,11,14,1.28,10,15,15962,830000
"Marvin Zeegelaar","Udinese","NED","DF",NA,30,1990,14,643,46,18.8,6,84,5,8,17,1.21,9,15,12308,640000
"Matheus Henrique","Sassuolo","BRA","MF",NA,23,1997,25,1078,43,31.5,10,77,5,15,21,1.48,23,22,10962,570000
"Matías Vecino","Inter","URU","MF",NA,29,1991,17,377,22,11,2,78,1,15,15,2.18,12,4,89038,4630000
"Matías Viña","Roma","URU","DF","FW",23,1997,26,1565,60,45.8,18,80,9,8,16,1.77,26,24,29615,1540000
"Mato Jajalo","Udinese","BIH","MF",NA,33,1988,22,629,29,18.4,6,69,2,16,13,1.5,13,10,25000,1300000
"Matteo Darmian","Inter","ITA","DF",NA,31,1989,25,1507,60,44.1,18,76,9,7,19,2.04,34,21,49231,2560000
"Matteo Gabbia","Milan","ITA","DF",NA,21,1999,8,537,67,15.7,6,82,4,2,23,2,13,7,21346,1110000
"Matteo Lovato","Atalanta","ITA","DF",NA,21,2000,6,305,51,8.9,3,82,2,3,20,2.33,7,3,17885,930000
"Matteo Lovato","Cagliari","ITA","DF",NA,21,2000,16,1238,77,36.2,14,83,10,2,39,1.25,15,21,17885,930000
"Matteo Pessina","Atalanta","ITA","MF","FW",24,1997,27,1438,53,42,18,69,3,9,22,1.67,24,22,28462,1480000
"Matteo Politano","Napoli","ITA","FW",NA,27,1993,33,1650,50,48.2,20,67,0,13,24,2.15,25,16,78269,4070000
"Matthijs de Ligt","Juventus","NED","DF",NA,21,1999,31,2674,86,78.2,29,89,27,2,53,1.97,47,29,197308,10260000
"Mattia Aramu","Venezia","ITA","MF","FW",26,1995,32,2100,66,61.4,25,75,7,7,31,0.81,24,39,17885,930000
"Mattia Bani","Genoa","ITA","DF",NA,27,1993,17,1211,71,35.4,13,81,8,4,41,0.88,8,16,25000,1300000
"Mattia Caldara","Venezia","ITA","DF",NA,27,1994,31,2704,87,79.1,30,90,30,1,4,0.81,27,52,71154,3700000
"Mattia De Sciglio","Juventus","ITA","DF",NA,28,1992,20,1168,58,34.2,13,80,9,7,18,1.65,18,13,106923,5560000
"Mattia Destro","Genoa","ITA","FW",NA,30,1991,27,1744,65,51,21,74,7,6,31,0.93,19,32,19615,1020000
"Mattia Viti","Empoli","ITA","DF",NA,19,2002,20,1491,75,43.6,16,87,14,4,27,1.35,24,24,3654,190000
"Mattia Zaccagni","Lazio","ITA","FW",NA,26,1995,29,1876,65,54.9,21,80,11,8,23,1.72,48,24,71154,3700000
"Mattias Svanberg","Bologna","SWE","MF",NA,22,1999,36,2564,71,75,31,79,15,5,26,1.11,25,42,17885,930000
"Maxime Lopez","Sassuolo","FRA","MF",NA,23,1997,35,2938,84,85.9,33,88,29,2,18,1.34,55,56,14808,770000
"Maya Yoshida","Sampdoria","JPN","DF",NA,32,1988,26,1823,70,53.3,19,86,16,7,27,0.81,27,42,24615,1280000
"Mehdi Bourabia","Spezia","MAR","MF",NA,29,1991,8,282,35,8.2,2,83,1,6,19,0.5,4,8,21346,1110000
"Mërgim Vojvoda","Torino","KVX","DF",NA,26,1995,29,1976,68,57.8,22,81,14,7,27,1.55,26,21,17308,9e+05
"Merih Demiral","Atalanta","TUR","DF",NA,23,1998,28,1917,68,56.1,22,81,16,6,22,1.61,30,22,71154,3700000
"Mert Müldür","Sassuolo","TUR","DF",NA,22,1999,31,2046,66,59.8,24,83,16,7,7,1.42,35,43,9808,510000
"Michael Svoboda","Venezia","AUT","DF",NA,22,1998,18,1236,69,36.1,13,85,10,5,26,0.78,14,29,2500,130000
"Miguel Veloso","Hellas Verona","POR","MF",NA,35,1986,22,1343,61,39.3,17,73,8,5,19,1.5,24,25,17885,930000
"Mikkel Damsgaard","Sampdoria","DEN","MF","FW",21,2000,11,578,53,16.9,6,80,2,5,20,0.82,9,10,2500,130000
"Milan Đurić","Salernitana","BIH","FW",NA,31,1990,33,2165,66,63.3,23,81,9,10,30,0.85,22,39,7308,380000
"Mitchell Dijks","Bologna","NED","DF","FW",28,1993,16,694,43,20.3,7,78,4,9,16,0.69,9,12,28462,1480000
"Mohamed Fares","Genoa","ALG","DF","FW",25,1996,9,587,65,17.2,6,80,4,3,36,0.78,11,13,42692,2220000
"Moise Kean","Juventus","ITA","FW",NA,21,2000,32,1098,34,32.1,12,66,1,20,15,2.03,19,14,61731,3210000
"Musa Barrow","Bologna","GAM","FW","MF",22,1998,34,2134,63,62.4,25,75,5,9,30,1.32,26,34,28462,1480000
"Nadiem Amiri","Genoa","GER","MF","FW",24,1996,13,683,53,20,9,65,2,4,25,1,4,10,61731,3210000
"Nahitan Nández","Cagliari","URU","MF","DF",25,1995,21,1523,73,44.5,16,86,14,5,30,0.52,16,32,39423,2050000
"Nahuel Molina","Udinese","ARG","DF",NA,23,1998,35,2638,75,77.1,31,82,16,4,21,1.34,50,46,7308,380000
"Nani","Venezia","POR","MF","FW",34,1986,10,287,29,8.4,3,64,0,7,14,0.2,4,8,19808,1030000
"Nedim Bajrami","Empoli","ALB","MF","FW",22,1999,35,2054,59,60.1,23,74,5,12,29,1.06,33,39,29615,1540000
"Nehuén Pérez","Udinese","ARG","DF",NA,21,2000,20,1692,85,49.5,19,87,15,1,36,1.2,31,32,16538,860000
"Nicola Murru","Sampdoria","ITA","DF",NA,26,1994,22,983,45,28.7,13,66,1,9,14,0.64,15,24,25000,1300000
"Nicola Sansone","Bologna","ITA","FW","MF",29,1991,27,896,33,26.2,6,66,1,21,24,1.22,19,20,39423,2050000
"Nicola Zalewski","Roma","POL","DF",NA,19,2002,16,793,50,23.2,9,70,0,7,23,1.63,12,7,10769,560000
"Nicolás Domínguez","Bologna","ARG","MF",NA,23,1998,28,2015,72,58.9,23,81,9,5,29,1.39,33,33,17308,9e+05
"Nicolás González","Fiorentina","ARG","FW",NA,23,1998,33,2357,71,68.9,26,84,14,7,24,1.61,42,36,61731,3210000
"Nicolas Haas","Empoli","SUI","MF",NA,25,1996,16,1001,63,29.3,11,74,3,5,37,1.44,18,18,28462,1480000
"Nicolò Rovella","Genoa","ITA","MF",NA,19,2001,21,1468,70,42.9,16,83,12,5,28,0.67,15,27,35577,1850000
"Nicolò Zaniolo","Roma","ITA","FW","MF",22,1999,28,1971,70,57.6,23,79,8,5,33,1.61,28,24,89038,4630000
"Niki Mäenpää","Venezia","FIN","GK",NA,36,1985,17,1485,87,43.4,16,90,16,1,45,0.59,13,27,5962,310000
"Nikola Kalinić","Hellas Verona","CRO","FW",NA,33,1988,14,406,29,11.9,4,57,0,10,18,1.57,8,9,53462,2780000
