"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Duje Ćaleta-Car","Lyon","CRO","DF",NA,26,2,1,0,1,16
"Lamine Camara","Metz","SEN","MF",NA,19,3,0,0,0,45
"Mahdi Camara","Brest","FRA","MF",NA,25,7,0,0,0,37
"Mohamed Camara","Monaco","MLI","MF",NA,23,4,0,0,0,25
"Axel Camblan","Brest","FRA","FW",NA,19,2,0,0,0,3
"Fali Candé","Metz","GNB","DF",NA,25,4,0,0,0,14
"Maxence Caqueret","Lyon","FRA","MF",NA,23,1,0,0,0,34
"Igor Carioca","Lorient","BRA","DF","MF",26,2,0,0,0,7
"Josué Casimir","Le Havre","FRA","FW","DF",21,6,0,0,0,25
"Cristian Cásseres Jr.","Toulouse","VEN","MF",NA,23,1,0,0,0,42
"Jean-Charles Castelletto","Nantes","CMR","DF",NA,28,5,0,0,0,33
"Maximiliano Caufriez","Clermont Foot","BEL","DF",NA,26,6,3,1,4,39
"Ivan Cavaleiro","Lille","POR","FW",NA,29,1,0,0,0,10
"Fabien Centonze","Nantes","FRA","DF",NA,27,1,0,0,0,2
"Fares Chaïbi","Toulouse","ALG","FW","MF",20,1,0,0,0,1
"Muhammed Cham","Clermont Foot","AUT","MF","FW",22,4,0,0,0,22
"Brendan Chardonnet","Brest","FRA","DF",NA,28,4,0,0,0,35
"Jhoanner Chávez","Lens","ECU","DF",NA,21,1,0,0,0,10
"Rayan Cherki","Lyon","FRA","MF","FW",19,0,0,0,0,10
"Lucas Chevalier","Lille","FRA","GK",NA,21,1,0,0,0,1
"Pedro Chirivella","Nantes","ESP","MF",NA,26,5,0,0,0,26
"Joris Chotard","Montpellier","FRA","MF",NA,21,5,0,0,0,30
"Ibrahim Cissoko","Toulouse","NED","FW","MF",20,1,0,0,0,1
"Alexis Claude-Maurice","Nice","FRA","MF",NA,25,1,0,0,0,16
"Jonathan Clauss","Marseille","FRA","DF",NA,30,2,1,0,1,11
"Marcus Coco","Nantes","FRA","DF","FW",27,2,0,0,0,23
"Maxime Colin","Metz","FRA","DF",NA,31,3,0,0,0,11
"Eray Cömert","Nantes","SUI","DF",NA,25,5,0,0,0,26
"Joaquín Correa","Marseille","ARG","FW","MF",28,2,0,0,0,6
"Oscar Cortés","Lens","COL","FW","MF",19,0,0,0,0,0
"David Costa","Lens","POR","MF",NA,22,3,0,0,0,12
"Logan Costa","Toulouse","CPV","DF",NA,22,6,0,0,0,38
"Mamadou Coulibaly","Monaco","FRA","MF",NA,19,0,0,0,0,3
"Tanguy Coulibaly","Montpellier","FRA","FW","MF",22,2,0,0,0,12
